language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
gami1243,-,-,-,-,-,-,-,-,-,g,-,-,-,u,-,-,-,n,-,-,-,-,d,-,-,-,-,a,h,-
gami1243,-,-,-,-,-,-,-,-,-,g,-,-,-,u,-,-,-,n,-,-,-,-,d,-,-,-,-,a,h,-
wira1262,-,-,-,-,-,-,-,-,-,d,a,r,b,u,-,w,a,n,-,-,-,a,n,-,-,-,-,a,-,-
wang1291,-,-,-,-,t,u,n,i,-,k,u,r,-,u,-,-,-,-,-,-,-,-,4,-,a,p,-,a,-,-
darl1243,-,-,-,-,t,-,-,i,-,k,-,-,-,u,-,-,-,-,-,-,-,-,w,-,-,-,-,a,-,-
guny1241,-,-,-,-,-,-,-,-,-,b,-,-,-,a,-,-,-,-,-,-,-,-,t,-,-,-,-,a,-,-
marg1253,-,-,-,-,-,-,-,-,-,b,-,-,-,a,-,-,-,-,-,-,-,-,t,-,-,-,-,a,-,-
gugu1255,-,-,-,-,-,-,-,-,-,g,-,-,-,u,-,-,-,-,-,-,-,-,w,-,-,-,-,a,r,-
kuku1273,-,-,-,-,-,-,-,-,-,k,-,-,-,u,-,-,-,-,-,-,-,-,w,-,-,-,-,a,-,-
dyaa1242,-,-,-,-,-,-,-,-,-,g,-,-,-,u,-,-,-,-,-,-,-,-,w,-,-,-,-,a,-,-
yidi1250,-,-,-,-,-,-,-,-,-,g,-,-,-,u,-,-,-,-,-,-,-,-,w,-,-,-,-,a,-,-
dyir1250,-,-,-,-,-,-,-,-,-,r,-,-,-,u,-,-,-,-,-,-,-,-,w,-,-,-,-,a,-,-
warr1255,-,-,-,-,-,-,-,-,-,g,-,-,-,u,-,-,-,-,-,-,-,-,w,-,-,-,-,a,-,-
paka1251,-,-,-,-,-,-,-,-,-,k,-,-,-,u,-,-,-,-,-,-,-,-,w,-,-,-,-,a,-,-
wikm1247,-,-,-,-,-,-,-,-,-,k,-,-,-,u,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-
umpi1239,-,-,-,-,-,-,-,i,-,T,-,-,-,u,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-
kuuk1238,-,-,-,-,-,-,-,i,-,T,-,-,-,u,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-
kanj1260,-,-,-,-,-,-,-,a,-,T,-,-,-,u,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-
gurd1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,o,N,-
ngaa1240,-,-,-,-,-,-,-,-,-,w,-,-,-,a,-,-,-,w,-,u,l,-,y,-,-,-,-,a,-,-
pint1251,-,-,-,-,-,-,-,-,-,w,-,-,-,i,-,-,-,l,-,u,r,a,r,-,-,-,-,a,-,-
pint1250,-,-,-,-,-,-,-,-,-,w,-,-,-,i,-,-,-,l,-,u,r,a,r,-,-,-,-,a,-,-
kuka1246,-,-,-,-,z,-,-,z,-,w,-,-,-,i,-,-,-,l,-,u,r,a,r,-,-,-,-,a,-,-
nyam1271,-,-,-,-,T,-,-,i,N,k,-,-,-,a,-,-,-,-,-,-,-,-,l,-,-,p,-,a,-,-
