language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31
gami1243,-,-,-,-,-,h,-,-,i,-,-,-,-,-,-,-,l,-,-,-,-,a,-,-,-,-,-,-,-,-,-
gami1243,-,-,-,-,-,y,-,-,i,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,-,-,-
wira1262,-,-,-,-,-,b,-,-,a,-,-,-,-,-,-,-,d,-,-,a,l,a,-,-,-,-,-,-,-,-,-
wang1291,-,-,-,-,-,k,-,-,a,-,-,-,-,-,-,-,t,-,-,a,l,i,-,-,-,-,-,-,-,-,-
muru1266,-,-,-,-,-,y,-,-,i,-,-,-,-,-,-,-,t,-,-,-,-,a,-,-,-,-,-,-,-,-,-
kumb1268,-,-,-,-,-,y,-,-,i,-,-,-,5,-,-,-,T,-,-,-,-,a,-,-,-,-,-,-,-,-,-
darl1243,-,-,-,-,-,d,-,-,a,-,-,-,-,-,-,-,T,-,-,-,-,a,-,-,-,-,-,-,-,-,-
guny1241,-,-,-,-,-,b,-,-,a,-,-,-,-,-,-,-,d,-,-,-,-,a,-,-,-,-,-,-,-,-,-
marg1253,-,-,-,-,-,b,-,-,a,-,-,-,-,-,-,-,d,-,-,-,-,a,-,-,-,-,-,-,-,-,-
kung1258,-,-,-,-,-,b,-,-,a,-,-,-,-,-,-,-,d,y,-,a,m,a,-,-,-,-,-,-,-,-,-
gugu1255,-,-,-,-,-,g,-,-,a,r,b,i,n,d,i,n,d,-,-,-,-,a,-,-,l,-,-,-,-,-,-
kuku1273,-,-,-,-,-,p,-,-,a,-,-,-,-,-,y,-,k,-,-,-,-,a,-,-,-,-,-,-,-,-,-
dyaa1242,-,-,-,-,-,b,-,-,a,-,-,-,-,-,-,-,y,-,-,-,-,a,-,-,-,-,-,-,-,-,-
yidi1250,-,-,-,-,-,p,-,-,a,-,-,-,-,-,-,-,T,-,-,-,-,a,-,-,-,-,-,-,-,-,-
dyir1250,-,-,-,-,-,p,-,-,a,-,-,-,-,-,-,-,T,-,-,-,-,a,-,-,-,-,-,-,-,-,-
warr1255,-,-,-,-,-,g,-,-,u,-,-,-,5,-,-,-,d,y,-,-,-,a,-,-,-,-,-,-,-,-,-
paka1251,-,-,-,-,-,p,-,-,a,-,-,-,-,-,-,-,t,-,-,-,-,a,-,-,-,-,-,-,-,-,-
