language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36
wira1262,-,-,-,y,-,-,u,-,-,r,u,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,N,-,-,-
muru1266,-,-,-,t,-,-,a,N,-,k,u,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,y,-,m,-,a,-
kumb1268,-,-,-,g,-,-,a,N,-,g,u,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,5,-,-,-
darl1243,-,-,-,-,-,-,-,-,-,g,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,a,-
guny1241,-,-,-,b,-,-,i,-,-,g,i,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
marg1253,-,-,-,b,-,-,i,-,-,g,i,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
kung1258,-,-,-,b,-,-,i,-,-,g,i,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
gugu1255,-,-,-,N,-,-,u,-,-,y,a,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kuku1273,-,-,-,b,-,-,i,-,-,T,a,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dyaa1242,-,-,-,b,-,-,i,d,-,T,a,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,b,a,y,-,a,l
yidi1250,-,-,-,b,-,-,i,-,-,T,a,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
paka1251,-,-,-,p,-,-,i,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
kuku1280,-,-,-,p,-,-,i,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
wikm1247,-,-,-,p,-,-,i,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
umpi1239,-,-,-,p,-,-,i,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
kuuk1238,-,-,-,m,-,-,u,-,-,k,a,-,y,-,-,-,-,-,-,-,N,a,n,-,-,-,-,-,-,a,-,-,-,-,-,-
gurd1238,-,-,-,-,-,-,-,-,-,T,a,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ngaa1240,t,-,-,T,-,-,u,-,-,k,u,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
pint1251,t,-,-,T,-,-,u,-,-,k,u,-,r,-,-,-,i,-,-,t,T,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-
pitj1243,t,-,-,T,-,-,u,-,-,k,u,-,r,m,-,-,a,-,-,n,-,a,5,-,-,-,-,-,-,i,-,-,-,-,-,-
pint1250,k,a,-,p,-,-,u,-,-,k,u,-,r,-,-,-,i,-,-,n,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-
kuka1246,k,a,-,p,-,-,u,-,-,k,u,-,r,-,-,-,i,-,-,-,y,a,n,-,-,-,-,-,-,u,-,-,-,-,-,-
nyam1271,k,a,-,p,-,-,u,-,-,k,a,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
nyan1301,-,-,-,p,-,-,i,-,-,t,a,-,5,-,-,-,y,-,-,-,-,a,n,-,-,-,-,-,-,a,-,-,-,-,-,-
mart1256,-,-,-,m,-,-,a,-,-,N,u,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,p,-,-,a,-,-,-,-,-,-
wanm1242,-,-,-,y,-,-,u,-,-,k,u,-,t,-,-,-,-,-,-,-,-,a,n,-,-,-,-,-,-,i,-,-,-,-,-,-
kara1476,-,-,-,b,-,-,u,-,-,g,a,-,r,-,-,-,i,y,a,n,N,a,n,i,a,r,b,i,g,a,-,-,d,-,i,-
kara1476,-,-,-,p,-,-,u,-,-,k,a,-,r,-,-,-,i,-,-,-,m,a,n,-,-,-,p,-,-,a,-,-,-,-,-,-
nhan1238,-,-,-,m,-,-,a,-,-,k,u,-,r,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-
waja1257,-,-,-,y,-,-,a,r,a,g,u,-,r,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bayu1240,-,-,-,m,a,n,u,N,-,g,u,-,l,-,-,-,a,-,-,n,m,a,y,-,-,-,-,-,-,i,-,-,-,-,-,-
dhal1245,-,-,-,N,-,-,u,-,-,T,-,-,-,-,-,-,i,-,-,-,m,a,y,-,-,-,-,-,-,i,-,-,n,-,-,-
dhar1247,-,-,-,N,-,-,u,-,-,y,-,-,-,-,-,-,i,-,-,-,m,a,r,-,-,-,-,-,-,u,-,-,-,-,-,-
pany1241,k,a,r,b,-,-,u,-,-,k,u,-,r,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ngar1287,-,-,-,p,-,-,u,-,-,k,a,-,r,-,-,-,i,-,-,-,T,a,l,-,-,-,-,-,k,u,-,-,-,-,-,-
yind1247,-,-,-,b,-,-,u,-,-,w,a,-,r,-,-,-,i,-,-,-,m,a,-,-,-,-,-,-,g,u,-,-,-,-,-,-
nyun1247,-,-,-,-,-,-,-,-,-,k,o,n,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,m,-,-,-
warl1255,-,-,-,p,-,-,u,-,-,w,a,-,r,-,-,-,i,-,-,-,T,-,-,-,-,-,p,-,-,a,-,-,-,-,-,-
warl1254,-,-,-,N,-,-,u,-,-,-,-,-,L,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-
waru1265,-,-,-,w,-,-,i,n,-,k,a,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
guri1247,-,-,-,k,-,-,u,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
ngar1235,-,-,-,b,-,-,u,-,-,w,a,-,r,-,-,-,a,-,-,-,T,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
mudb1240,-,-,-,k,-,-,u,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
jaru1254,-,-,-,g,-,-,u,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
walm1241,-,-,-,w,-,-,i,n,-,k,i,-,r,m,a,n,i,-,-,-,m,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
adny1235,-,-,-,y,-,-,a,-,-,N,u,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
dier1241,N,a,-,p,-,-,i,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
yand1253,-,-,-,p,-,-,u,-,-,k,u,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-
dhuw1249,-,-,-,b,-,-,u,-,-,k,a,-,w,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,y,-,-,-,-,-,-
djam1256,-,-,-,b,-,-,u,-,-,k,a,-,w,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,y,-,-,-,-,-,-
gupa1247,-,-,-,b,-,-,u,-,-,k,a,-,w,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,y,-,-,-,-,-,-
guma1253,-,-,-,b,-,-,u,-,-,k,a,-,w,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,y,-,-,-,-,-,-
dayi1244,-,-,-,b,-,-,u,-,-,k,u,-,w,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,y,-,a,N,-,i,n
rita1239,-,-,-,b,-,-,u,-,-,k,a,-,w,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,y,-,-,-,-,-,-
yann1237,-,-,-,b,-,-,u,-,-,k,a,-,w,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,y,-,-,7,y,u,n
djin1253,m,a,-,b,-,-,u,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
waga1260,-,-,-,m,-,-,a,-,-,-,-,-,n,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-
warl1256,-,-,-,m,-,-,a,-,-,-,-,-,r,-,-,-,a,-,-,-,4,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
yany1243,-,-,-,m,-,-,a,-,-,w,u,-,r,-,-,-,a,-,-,-,N,a,n,t,a,-,r,-,-,a,-,-,-,-,-,-
kala1377,-,-,-,p,-,-,i,-,-,k,i,n,t,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,i,-,-,-,-,-,-
alya1239,-,-,-,-,-,-,a,l,-,T,e,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
west2441,-,-,-,-,-,-,a,l,-,T,e,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-
