language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41
gami1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,u,-,-,l,-,a,-,7,-,7,-
gami1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,a,-,-,l,-,a,-,-,-,-,-
wira1262,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,a,-,-,g,-,a,-,7,-,7,-
wang1291,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,u,-,-,n,-,-,-,-,-,-,-,-,d,-,-,a,-,-,l,-,a,-,-,-,-,-
muru1266,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,i,-,-,r,-,a,-,-,-,-,-
kumb1268,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,T,u,g,i,-,-,d,-,a,-,-,-,-,-
darl1243,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,i,-,-,n,-,-,-,-,-,-,-,-,d,-,T,a,-,-,r,-,a,-,-,-,-,-
guny1241,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,a,-,-,4,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,a,-,-,-,-,-
marg1253,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,a,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
kung1258,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,i,-,-,n,-,-,-,-,-,-,-,-,d,-,-,i,-,-,-,-,a,-,-,-,-,-
gugu1255,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,a,-,-,4,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,a,-,-,-,-,-
kuku1273,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,a,-,-,5,-,-,-,-,-,-,-,-,T,-,-,-,-,-,-,-,a,-,p,u,r,-
