language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
gami1243,-,d,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,l,-,-,-,-,-,-,-,-,-,-,-
gami1243,-,d,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,l,-,-,-,-,-,-,-,-,-,-,-
wira1262,-,d,-,-,-,a,-,-,-,-,-,g,-,-,a,-,-,l,-,-,-,-,-,-,-,-,-,-,-
wang1291,-,t,-,-,-,a,-,-,-,-,-,k,-,-,a,-,-,l,-,-,-,-,-,-,-,-,-,-,-
muru1266,-,N,-,-,-,u,-,-,-,-,-,m,-,-,u,-,-,n,-,-,-,-,T,-,-,-,-,-,-
kumb1268,-,b,-,-,-,a,-,-,-,-,-,5,-,-,a,-,-,r,-,-,-,-,-,-,-,-,-,-,-
darl1243,-,N,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,L,-,-,-,-,i,-,-,-,-,-,-
guny1241,-,N,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,L,-,-,-,k,u,-,-,-,-,-,-
marg1253,-,N,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,L,-,-,-,k,u,-,-,-,-,-,-
bidy1243,-,N,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,k,i,-,-,-,-,-,-
kuku1273,-,T,-,-,-,a,-,-,n,-,-,g,-,-,o,-,-,l,-,-,-,-,-,-,-,-,-,-,-
dyaa1242,-,T,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,u,-,-,-,-,-,-
yidi1250,-,w,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,u,-,-,-,-,-,-
dyir1250,-,T,-,-,-,a,-,-,-,-,-,g,-,-,a,-,-,l,-,-,-,-,-,-,-,-,-,-,-
paka1251,-,w,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,l,-,-,-,-,u,p,a,-,t,a,-
kuku1280,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,l,-,-,-,-,u,m,a,n,t,a,-
wikm1247,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,l,-,-,-,-,-,-,-,-,-,-,-
umpi1239,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,l,-,-,-,-,u,-,-,-,-,-,-
gurd1238,-,x,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,l,-,-,-,-,i,-,-,-,r,e,m
ngaa1240,-,N,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,u,-,-,-,-,-,-
pint1251,-,N,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,u,-,-,-,-,-,-
pint1250,-,m,-,-,-,u,-,-,-,-,-,r,-,-,a,m,u,r,-,-,-,-,a,-,-,-,-,-,-
kuka1246,-,g,-,-,-,u,-,-,-,-,-,l,-,-,-,-,-,g,-,-,-,-,a,-,-,-,l,-,-
nyam1271,-,N,-,-,-,a,-,-,-,-,-,n,-,-,-,-,-,N,-,-,-,-,a,-,-,-,n,-,-
nyan1301,-,N,-,-,-,i,-,-,-,-,-,r,-,-,-,-,-,N,-,-,-,-,i,-,-,-,r,-,-
wanm1242,-,m,u,L,k,a,-,-,m,-,u,L,-,-,-,-,-,k,-,-,-,-,a,-,-,-,-,-,-
kara1476,-,m,-,-,-,a,-,-,-,-,-,l,-,-,a,-,-,m,-,-,-,-,a,-,-,-,l,a,-
nhan1238,i,d,-,-,-,a,-,-,-,-,-,b,-,-,i,-,-,l,-,-,-,-,i,-,-,-,-,-,-
waja1257,-,N,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,g,u,-,-,-,-,-,-
bayu1240,-,k,-,-,-,a,-,-,-,-,-,d,-,-,a,-,-,r,-,-,-,-,a,-,-,-,-,-,-
dhal1245,-,m,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,N,-,-,-,-,u,-,-,-,-,-,-
kurr1243,-,m,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,u,-,-,-,-,-,-
pany1241,-,k,-,-,-,a,-,-,-,-,-,t,-,-,a,-,-,r,-,-,-,-,a,-,-,-,-,-,-
ngar1287,-,g,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,a,-,-,-,-,-,-
nyun1247,-,n,-,-,-,i,-,-,-,-,-,d,-,-,-,-,-,y,-,-,-,-,a,-,-,-,-,-,-
warl1254,-,k,-,-,-,u,-,-,-,-,-,L,-,k,a,-,-,L,-,-,-,k,a,-,-,-,-,-,-
waru1265,-,k,-,-,-,a,-,-,-,-,-,L,i,k,a,-,-,L,-,-,-,-,i,-,-,-,-,-,-
guri1247,-,-,-,-,-,-,-,-,-,-,-,l,i,5,i,-,-,5,-,-,-,-,i,-,-,-,n,-,-
ngar1235,-,T,-,-,-,a,-,-,-,-,-,g,u,-,-,-,-,w,-,-,-,-,i,-,-,-,-,-,-
mudb1240,-,k,-,-,-,a,-,-,-,-,-,L,i,k,a,-,-,L,-,-,-,-,i,-,-,-,-,-,-
jaru1254,-,-,-,-,-,-,-,-,-,-,-,l,i,m,i,-,-,m,-,-,-,-,i,-,-,-,-,-,-
adny1235,-,m,-,-,-,a,-,-,L,-,-,d,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
naru1238,-,m,-,-,-,a,-,-,y,-,i,l,-,-,-,-,-,g,u,w,a,d,a,-,-,-,-,-,-
dier1241,-,k,-,-,-,a,t,i,n,T,a,l,-,-,-,-,-,k,-,-,-,-,a,-,-,-,-,-,-
yand1253,-,-,-,-,-,-,-,-,N,-,u,l,-,-,-,-,-,k,-,-,-,-,u,-,-,-,-,-,-
dhuw1249,-,d,-,-,-,a,-,-,-,-,-,k,-,-,a,-,-,l,-,-,-,-,-,-,-,-,-,-,-
djam1256,-,d,-,-,-,a,-,-,-,-,-,k,-,-,a,-,-,l,-,-,-,-,-,-,-,-,-,-,-
gupa1247,-,d,-,-,-,a,-,-,-,-,-,k,-,-,a,-,-,l,-,-,-,-,-,-,-,-,-,-,-
guma1253,-,d,-,-,-,a,-,-,-,-,-,k,-,-,a,-,-,l,-,-,-,-,-,-,-,-,-,-,-
dhan1270,-,d,-,-,-,a,-,-,-,-,-,k,-,-,a,-,-,l,-,-,-,-,-,-,-,-,-,-,-
dayi1244,-,d,-,-,-,a,-,-,-,-,-,k,-,-,a,-,-,l,-,-,-,-,-,-,-,-,-,-,-
rita1239,-,d,-,-,-,a,-,-,-,-,-,k,-,-,a,-,-,l,-,-,-,-,-,-,-,-,-,-,-
yann1237,-,d,-,-,-,a,-,-,-,-,-,k,-,-,a,-,-,l,-,-,-,-,-,-,-,-,-,-,-
djin1253,-,T,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,l,-,-,-,-,-,-,-,-,-,-,-
waga1260,-,t,-,-,-,i,-,-,r,-,-,g,-,n,a,h,-,n,-,-,-,-,-,-,-,-,-,-,-
kala1377,-,b,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-
alya1239,-,-,-,-,-,a,-,-,-,-,-,r,-,-,e,-,y,l,-,-,-,-,-,-,-,-,-,-,-
west2441,-,-,-,-,-,i,-,-,-,-,-,l,-,k,a,-,i,y,-,-,-,-,a,-,-,-,-,-,-
