language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
gami1243,-,-,-,b,-,-,-,-,u,-,-,-,-,r,-,-,i,-,a,g,a,-
gami1243,-,-,-,b,-,-,-,-,u,-,-,-,-,r,-,-,i,-,a,g,a,-
wira1262,-,-,-,b,-,u,-,N,u,-,-,-,-,l,-,-,-,-,-,-,-,-
muru1266,-,-,-,w,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,a,-
kumb1268,-,-,-,T,-,-,-,-,a,-,-,-,-,L,-,-,i,-,-,g,a,m
darl1243,-,-,-,y,-,-,-,-,a,-,-,-,-,n,-,-,i,-,-,-,-,-
guny1241,-,-,-,g,-,-,-,-,u,-,-,-,-,p,-,-,u,-,-,-,-,-
marg1253,-,-,-,g,-,-,-,-,u,-,-,-,-,p,-,-,u,-,-,-,-,-
kung1258,d,u,N,g,-,-,-,-,u,-,-,-,-,b,-,-,a,-,-,r,a,5
kuku1273,-,-,-,k,-,-,-,-,u,l,-,-,-,k,-,-,a,-,-,-,-,-
dyaa1242,-,-,-,w,-,-,-,-,a,n,-,-,-,d,-,-,i,-,-,-,-,-
yidi1250,-,-,-,g,-,-,-,-,u,-,-,-,-,w,-,-,i,-,-,y,-,-
dyir1250,-,-,-,5,-,-,-,-,i,-,-,-,-,N,-,-,a,-,-,l,-,-
warr1255,-,-,-,d,-,-,-,y,u,-,-,-,-,d,-,-,u,-,-,-,-,-
paka1251,-,-,-,k,-,-,-,-,o,-,-,-,-,T,-,-,a,-,-,n,-,-
kuku1280,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,a,r,i,n,-,-
wikm1247,m,u,r,k,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,n,-,-
umpi1239,-,-,-,k,-,-,-,-,u,-,-,-,-,p,-,-,a,-,-,n,-,-
kuuk1238,-,-,-,k,-,-,-,-,u,-,-,-,-,p,-,-,a,-,-,n,a,-
gurd1238,-,-,-,w,-,-,-,-,i,-,-,-,-,t,-,-,a,-,-,n,-,-
ngaa1240,-,-,-,m,-,-,-,-,u,t,u,m,u,t,-,-,u,-,-,-,-,-
pitj1243,-,-,-,m,-,-,-,-,u,t,u,m,u,t,-,-,u,-,-,-,-,-
pint1250,-,-,-,m,-,-,-,-,u,-,-,-,-,r,-,-,u,-,-,-,-,-
kuka1246,-,-,-,m,-,-,-,-,u,-,-,-,-,r,-,-,u,-,-,-,-,-
nyam1271,T,u,-,m,-,-,-,p,a,-,-,-,-,k,-,-,u,-,-,t,-,-
nyan1301,-,-,-,m,-,-,-,-,u,L,-,-,-,k,-,-,u,-,-,-,-,-
mart1256,-,-,-,k,-,-,-,-,u,-,-,-,-,t,-,-,a,-,-,-,-,-
wanm1242,-,-,-,m,-,-,-,-,u,L,-,-,-,k,-,-,u,-,-,-,-,-
kara1476,-,-,-,m,-,-,-,-,a,l,-,-,e,d,-,-,a,-,-,-,-,-
kara1476,-,-,-,k,-,-,-,-,u,n,-,-,-,k,-,-,u,-,-,-,-,-
nhan1238,-,-,-,p,-,-,-,-,u,-,-,-,-,t,-,k,u,-,-,-,-,-
waja1257,-,-,-,m,-,-,-,-,a,-,-,-,-,t,a,r,a,-,-,-,-,-
bayu1240,-,-,-,t,-,a,-,d,u,-,-,-,-,l,-,-,a,-,-,-,-,-
dhal1245,-,-,-,t,-,a,-,b,u,-,-,-,-,L,-,-,a,-,-,-,-,-
dhar1247,-,-,-,T,-,a,-,p,-,-,-,-,-,-,-,-,a,-,-,-,-,-
kurr1243,-,-,-,k,-,-,-,-,u,-,-,-,-,t,-,-,a,-,-,-,-,-
pany1241,-,-,-,k,-,-,-,-,u,-,-,-,-,t,-,-,a,-,-,-,-,-
ngar1287,-,-,-,g,-,a,m,b,u,-,-,-,-,-,-,-,-,-,-,-,-,-
yind1247,-,-,-,g,-,-,-,-,u,-,-,-,-,d,-,-,a,-,-,-,-,-
nyun1247,-,-,-,k,-,-,-,-,u,-,-,-,-,r,-,-,a,-,-,t,-,-
warl1255,-,-,-,p,-,a,L,k,-,-,-,-,-,-,-,-,a,-,-,-,-,-
warl1254,-,-,-,d,-,a,N,k,a,-,-,-,-,L,-,p,a,-,-,-,-,-
waru1265,-,-,-,p,-,a,L,k,-,-,-,-,-,-,-,-,a,-,-,r,-,-
guri1247,-,-,-,l,-,u,t,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-
ngar1235,-,-,-,T,-,u,m,b,u,-,-,-,-,g,-,-,-,-,-,-,-,-
mudb1240,-,-,-,d,-,u,N,k,u,-,-,-,-,T,-,-,a,-,-,-,-,-
jaru1254,-,-,-,g,-,-,-,-,o,-,-,-,-,d,-,-,a,-,-,-,-,-
walm1241,-,-,-,k,-,-,-,-,u,-,-,-,-,t,-,-,a,-,-,-,-,-
adny1235,-,-,-,m,-,-,-,-,u,-,-,-,-,t,-,-,u,-,-,-,-,-
naru1238,-,-,-,b,-,-,-,-,a,-,-,-,-,d,-,-,u,-,-,-,-,-
dier1241,-,-,-,w,-,-,-,-,a,-,-,-,-,d,-,-,u,-,-,-,-,-
yand1253,-,-,-,w,-,-,-,-,a,n,-,-,-,t,-,-,a,-,-,-,-,-
dhuw1249,-,-,-,d,-,u,m,b,u,L,-,-,-,7,-,-,-,-,-,-,-,-
djam1256,-,-,-,d,-,u,m,b,u,L,-,-,-,7,-,-,-,-,-,-,-,-
gupa1247,-,-,-,d,-,u,m,b,u,L,-,-,-,7,-,-,-,-,-,-,-,-
guma1253,-,-,-,d,-,u,m,b,u,L,-,-,-,7,-,-,-,-,-,-,-,-
dhan1270,-,-,-,g,-,-,-,-,u,-,-,-,-,t,-,-,i,-,-,-,-,-
dayi1244,-,-,-,d,-,u,m,b,u,L,-,-,-,7,-,-,-,-,-,-,-,-
rita1239,-,-,-,d,-,u,-,b,u,d,-,-,u,7,-,-,-,-,-,-,-,-
yann1237,-,-,-,g,-,-,-,-,u,-,-,-,-,t,-,-,i,-,-,-,-,-
djin1253,-,-,-,d,T,u,-,b,i,r,-,-,-,i,-,-,-,-,-,-,-,-
waga1260,l,e,-,p,-,-,-,-,-,-,-,-,-,7,-,-,a,-,-,l,-,-
warl1256,-,-,-,p,-,-,-,-,u,r,-,-,-,s,-,-,a,-,-,-,-,-
yany1243,-,-,-,w,-,u,-,k,u,l,-,k,u,t,-,-,u,-,-,-,-,-
kala1377,-,-,-,t,-,a,-,-,u,-,-,-,-,p,-,-,a,-,-,-,i,-
alya1239,-,-,-,t,-,-,-,-,w,-,-,-,-,-,-,-,e,-,-,T,-,-
ande1247,-,u,-,t,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,T,-,-
west2441,-,-,-,t,-,-,-,-,u,N,-,-,-,k,-,-,a,-,-,-,-,-
