language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
gami1243,-,-,-,-,-,-,d,-,-,-,-,u,-,-,-,-,r,-,-,u,-,-,y,a,-,-,-,l,-,-,-,-
gami1243,-,-,-,-,-,-,d,-,-,-,-,u,-,-,-,-,r,-,-,u,-,-,y,a,-,-,-,l,-,-,-,-
wang1291,-,-,-,-,-,-,y,-,-,-,-,e,-,-,-,-,t,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
muru1266,-,-,-,p,i,-,t,-,-,-,-,a,-,-,-,-,r,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
kumb1268,-,-,-,-,-,-,T,-,-,-,-,u,-,-,-,-,N,-,-,-,-,-,-,a,-,-,-,l,-,-,-,-
darl1243,-,-,-,-,-,-,n,-,-,-,-,u,-,-,-,-,r,-,-,-,-,-,-,a,-,-,-,n,-,-,i,-
marg1253,-,-,-,-,-,-,w,-,-,-,-,a,-,-,-,-,d,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
gugu1255,-,-,-,-,-,-,m,-,-,-,-,a,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
kuku1273,-,-,-,-,-,-,m,-,-,-,-,a,-,-,-,-,l,-,-,-,-,-,-,a,-,b,a,y,-,-,i,-
dyaa1242,-,-,-,-,-,-,m,-,-,-,-,a,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-
yidi1250,-,-,-,-,-,-,m,-,-,-,-,a,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,n,-,-,u,-
warr1255,-,-,-,-,-,-,m,-,-,-,-,a,-,-,-,-,l,-,-,-,-,-,-,a,n,b,a,r,-,-,a,-
paka1251,-,-,-,-,-,-,m,-,-,-,-,a,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
kuku1280,-,-,-,-,-,-,m,-,-,-,-,a,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
wikm1247,-,-,-,-,-,-,m,-,-,-,-,a,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
umpi1239,-,-,-,-,-,-,m,-,-,-,-,i,-,-,-,-,n,i,T,i,-,-,k,u,-,-,-,-,-,-,-,-
kuuk1238,-,-,-,-,-,-,N,-,-,-,-,u,-,-,-,-,l,-,-,-,-,-,k,u,-,-,-,-,-,-,-,-
gurd1238,-,-,-,-,-,-,m,b,a,-,-,a,-,-,-,-,n,-,-,-,-,-,-,a,-,-,-,N,-,-,-,-
ngaa1240,-,-,-,w,a,-,k,-,-,-,-,u,-,-,-,-,N,-,-,-,-,-,-,u,-,-,-,r,-,-,u,-
