language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28
gami1243,-,-,-,k,-,-,-,-,-,-,-,a,-,i,-,-,-,n,-,m,-,-,-,u,-,r,a,-
gami1243,-,-,-,g,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-
wira1262,-,-,-,b,u,-,-,-,b,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-
wang1291,-,-,-,b,u,d,-,-,h,-,-,u,-,-,-,-,-,d,-,t,-,-,-,u,-,l,-,-
muru1266,-,-,-,k,-,-,-,-,-,-,-,i,-,-,-,-,-,t,-,T,-,-,-,u,-,-,-,-
kumb1268,-,-,-,T,-,-,-,-,-,-,-,u,-,-,-,-,-,n,-,-,-,-,-,u,-,y,-,-
darl1243,-,-,-,k,u,-,-,-,t,-,-,a,-,-,-,-,-,l,o,k,-,-,-,o,-,-,-,-
guny1241,-,-,-,d,-,-,-,-,y,-,-,i,-,-,-,-,-,p,-,-,-,-,-,u,-,-,-,-
marg1253,-,-,-,g,-,-,-,-,-,-,-,a,-,-,-,-,-,p,-,-,-,-,-,u,-,5,-,-
kung1258,-,-,-,g,-,-,-,-,-,-,-,a,-,i,-,-,m,b,-,-,-,-,-,a,-,r,a,-
bidy1243,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,y,-,-,-,-,-,u,-,-,-,-
maya1280,-,-,-,t,-,-,-,-,T,-,-,a,-,-,-,-,-,l,-,-,-,-,-,u,-,-,-,-
gugu1255,-,-,-,p,-,-,-,-,-,-,-,i,-,-,-,-,-,t,-,-,-,-,-,a,-,-,-,-
kuku1273,-,-,-,b,-,-,-,-,-,-,-,u,-,-,-,-,-,b,-,-,-,-,-,a,-,n,-,-
dyaa1242,-,-,-,b,-,-,-,-,-,-,-,i,b,u,y,a,N,g,-,-,-,-,-,a,-,n,-,-
yidi1250,-,-,-,g,-,-,-,-,-,-,-,i,-,-,-,-,-,d,-,-,-,-,-,i,-,l,-,-
dyir1250,-,-,-,m,-,-,-,-,-,-,-,i,-,-,-,-,-,d,-,-,-,-,-,i,-,-,-,-
warr1255,-,-,-,g,-,-,-,-,-,-,-,i,-,-,-,-,-,d,-,y,-,-,-,a,-,-,-,-
paka1251,-,-,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,5,-,-,-,-,-,a,-,-,-,-
kuku1280,-,-,-,m,e,-,-,-,p,-,-,e,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-
wikm1247,-,-,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-
kuuk1238,-,-,-,T,u,-,-,-,7,-,-,u,-,-,-,-,-,T,-,-,-,-,-,i,-,-,-,-
kanj1260,-,-,-,N,-,-,-,-,-,-,-,i,-,-,-,-,-,N,-,-,-,-,-,i,-,-,-,-
gurd1238,-,-,-,T,e,-,-,-,k,-,-,i,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-
ngaa1240,-,-,-,k,u,-,-,-,L,-,-,u,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-
pint1251,-,-,-,m,i,-,-,-,t,-,-,i,-,-,-,-,l,y,-,p,-,-,-,a,-,-,-,-
pitj1243,t,T,u,k,u,-,-,-,t,-,T,u,-,-,-,-,-,k,-,-,-,-,-,u,-,-,-,-
pint1250,-,-,-,5,u,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
kuka1246,-,-,-,l,a,-,-,m,p,-,-,a,-,-,-,-,-,n,-,p,-,-,-,a,-,-,-,-
nyam1271,-,-,-,t,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,k,a,r,a,-,-,-,-
nyan1301,-,-,-,w,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,a,t,u,-,-,-,-
mart1256,-,-,-,T,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,u,-,-,-,-
wanm1242,-,-,-,t,a,-,-,-,w,-,-,i,-,-,-,-,-,5,-,p,-,-,-,a,-,-,-,-
kara1476,-,-,-,w,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,a,t,u,-,-,-,-
nhan1238,-,-,-,p,u,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,i,-,-,-,-
waja1257,-,-,-,T,i,n,T,a,m,-,-,a,-,-,-,-,-,d,-,-,-,-,-,a,-,-,-,-
bayu1240,-,-,-,k,u,-,-,-,b,-,-,u,-,-,-,-,-,T,u,m,-,u,d,u,-,-,-,-
dhal1245,-,-,-,k,u,-,-,-,b,-,-,u,-,-,-,-,-,T,-,-,-,-,-,u,-,-,-,-
dhar1247,-,-,-,T,u,-,-,-,p,-,-,a,-,-,-,-,-,-,-,-,-,-,d,i,-,-,-,-
kurr1243,-,-,-,k,u,-,-,-,p,-,-,i,-,-,-,-,-,T,-,-,-,-,-,a,-,-,-,-
pany1241,-,-,-,k,u,-,-,-,b,-,-,i,-,-,-,-,-,T,-,-,-,-,-,a,-,-,-,-
ngar1287,-,-,-,g,u,-,-,-,L,u,g,u,-,-,-,-,-,L,-,-,-,-,-,u,-,-,-,-
yind1247,-,-,-,g,u,-,-,-,b,-,-,i,-,-,-,-,-,T,-,-,-,-,-,a,-,-,-,-
