language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
gami1243,-,-,-,g,-,-,-,i,-,-,-,-,-,-,-,l,-,-,-,-,e,-,-,-,-,-,-
gami1243,-,-,-,g,-,-,-,i,-,-,-,-,-,-,-,l,-,-,-,-,a,-,-,y,-,-,-
wira1262,-,-,-,g,-,-,-,i,-,-,-,-,-,-,-,w,-,-,-,-,a,-,-,N,-,-,-
wang1291,-,-,-,k,-,-,-,i,-,-,-,-,-,-,-,w,-,-,-,-,u,-,-,r,-,-,-
muru1266,-,-,-,k,-,-,-,i,-,-,-,-,-,-,-,y,-,-,-,-,a,-,-,n,-,-,-
kumb1268,-,-,-,g,-,-,-,i,-,-,-,-,-,-,-,d,-,-,-,-,a,-,-,5,-,-,-
darl1243,-,-,-,b,a,-,-,i,-,-,-,-,-,-,-,d,-,T,u,g,a,-,-,-,-,-,-
guny1241,-,-,-,d,i,l,-,-,-,-,-,-,-,-,-,g,-,-,-,-,a,-,-,n,-,-,-
marg1253,-,-,-,g,a,g,-,a,-,-,-,-,-,-,-,d,-,-,-,-,a,-,-,-,-,-,-
kung1258,-,-,-,g,a,g,-,a,-,-,-,-,-,-,-,r,-,-,-,-,a,-,-,-,-,-,-
bidy1243,-,-,-,k,o,k,-,e,-,-,-,-,-,-,-,r,-,-,-,-,a,-,-,-,-,-,-
maya1280,-,-,-,k,a,k,-,a,-,-,-,-,-,-,-,r,-,-,-,-,a,-,-,-,-,-,-
gugu1255,-,-,-,g,-,-,-,i,-,-,-,-,-,-,-,d,-,-,-,-,a,-,-,-,-,-,-
kuku1273,-,-,-,k,-,-,-,i,-,-,-,-,-,-,-,T,-,-,-,-,a,-,-,-,-,-,-
dyaa1242,-,-,-,g,-,-,-,i,-,n,-,-,-,-,-,d,-,-,-,-,a,-,-,n,-,-,-
yidi1250,-,-,-,g,-,-,-,i,-,n,-,-,-,-,-,d,-,-,-,-,a,-,-,n,-,u,-
dyir1250,-,-,-,g,a,g,-,a,-,-,-,-,-,-,-,r,-,-,-,-,a,-,-,-,-,-,-
