language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31
gami1243,-,-,-,-,-,d,-,-,-,-,i,-,r,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
gami1243,-,-,-,-,-,d,-,-,-,-,i,-,r,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
wira1262,-,-,-,b,a,r,a,-,b,-,a,-,r,-,-,-,-,-,-,-,-,-,-,-,-,a,n,d,i,n,-
wang1291,-,-,-,b,u,g,a,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
muru1266,-,-,-,w,a,t,-,-,-,-,u,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kumb1268,-,-,-,-,-,g,-,-,-,-,u,-,y,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
darl1243,-,-,-,w,i,d,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
guny1241,-,-,-,g,a,r,-,-,-,-,u,-,g,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,r,u
maya1280,-,-,-,m,-,-,-,-,-,-,u,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
gugu1255,-,-,-,m,u,-,-,-,g,-,u,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kuku1273,-,-,-,m,u,-,-,-,k,-,u,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dyaa1242,-,-,-,g,a,r,u,-,b,-,u,-,l,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,y,-
yidi1250,-,-,-,g,a,l,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,r,-
warr1255,-,-,-,g,-,-,-,-,-,-,i,-,l,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,5,-
paka1251,-,u,t,k,-,-,-,-,-,-,a,-,t,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
