language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36
gami1243,-,-,-,-,-,b,a,l,u,b,u,d,h,u,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
gami1243,-,-,-,-,-,b,-,-,-,-,-,-,-,u,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
wira1262,-,-,-,-,-,b,a,l,u,b,-,-,-,u,-,-,-,n,-,-,i,-,r,-,-,-,-,-,-,-,-,a,-,-,-,-
muru1266,-,-,-,-,-,p,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kumb1268,-,-,-,-,-,b,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
darl1243,-,-,-,-,-,b,-,-,-,-,-,-,-,u,g,a,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
guny1241,-,-,-,-,-,b,-,-,-,-,-,-,-,a,-,-,-,l,-,-,-,-,g,-,-,-,-,-,-,-,-,a,-,-,-,-
marg1253,-,-,-,-,-,b,-,-,-,-,-,-,-,a,-,-,-,l,-,-,-,-,g,-,-,-,-,-,-,-,-,a,-,-,-,-
gugu1255,-,-,-,-,-,g,-,-,-,-,-,-,-,u,-,-,-,n,-,-,-,-,d,-,-,-,-,-,-,-,-,a,-,-,-,-
kuku1273,-,-,-,-,-,k,-,-,-,-,-,-,-,u,-,-,-,n,-,-,i,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-
dyaa1242,-,-,-,-,-,d,-,-,-,-,-,-,-,u,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yidi1250,-,-,-,-,-,b,-,-,-,-,-,-,-,u,-,-,-,n,-,-,-,-,T,-,-,-,-,-,-,-,-,a,-,-,-,-
