language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
gami1243,-,y,-,-,-,-,-,-,-,-,-,u,d,h,a,-,l,-,-,-,a,-,-,-,-,-,-
gami1243,-,y,-,-,-,-,-,-,-,-,-,u,d,h,a,-,l,-,-,-,a,-,-,-,-,-,-
wira1262,-,g,-,-,-,-,-,-,-,-,-,i,-,-,-,-,l,-,-,-,u,-,-,-,N,-,-
wang1291,-,w,-,-,-,-,-,-,-,-,-,i,r,-,a,n,d,-,-,-,u,-,-,-,l,-,-
muru1266,-,p,-,-,-,-,-,-,-,-,-,i,-,-,-,-,y,-,-,-,a,-,-,-,-,-,-
kumb1268,-,N,-,-,-,-,-,-,-,-,-,u,r,g,a,-,n,-,-,-,-,-,-,-,-,-,-
darl1243,-,b,-,-,-,-,-,-,-,-,-,u,d,T,a,-,l,-,-,-,a,-,-,-,-,-,-
marg1253,-,b,-,-,-,-,-,-,-,-,-,u,-,-,-,-,T,-,-,-,a,-,-,-,-,-,-
gugu1255,-,m,-,-,-,-,-,-,-,-,-,u,-,-,-,-,l,i,r,b,u,-,d,o,n,-,-
kuku1273,-,T,-,-,-,-,-,-,-,-,-,a,-,-,-,-,l,-,N,k,u,-,-,-,n,-,-
dyaa1242,-,T,-,-,-,-,-,-,-,-,-,u,-,-,-,-,r,-,-,-,i,-,-,-,-,-,-
yidi1250,-,T,-,-,-,-,-,-,-,-,-,u,-,-,-,-,r,-,-,-,i,-,-,-,-,-,-
dyir1250,-,g,-,-,-,-,-,-,-,-,-,u,-,-,-,-,l,-,-,-,i,-,-,-,-,-,-
warr1255,-,d,y,a,-,-,-,-,b,-,-,i,-,-,-,-,n,-,-,-,i,-,-,-,-,-,-
wikm1247,-,p,-,-,-,-,-,-,-,-,-,e,p,-,a,-,n,-,-,-,-,-,-,-,-,-,-
umpi1239,-,k,-,-,-,-,-,-,-,-,-,i,t,-,a,-,r,-,-,-,i,-,-,-,-,-,-
kuuk1238,-,p,-,-,-,-,-,-,-,-,-,-,-,-,a,-,l,-,-,-,i,-,-,-,-,-,-
gurd1238,-,w,-,-,-,-,-,-,-,-,-,o,r,k,a,-,r,-,-,T,i,-,-,-,r,x,-
ngaa1240,-,y,-,-,-,-,-,-,-,-,-,i,-,-,-,-,r,-,-,-,i,-,-,-,-,-,-
pitj1243,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,r,-,-,-,i,-,-,-,-,-,-
pint1250,-,w,-,-,-,-,-,-,-,-,-,i,-,-,-,-,l,-,-,-,i,t,T,u,n,-,u
kuka1246,-,t,-,-,-,-,-,-,-,-,-,a,-,-,-,-,L,-,-,k,i,-,-,-,-,-,-
nyam1271,-,y,-,-,-,-,-,-,-,-,-,i,-,-,-,-,r,-,-,-,i,-,-,-,-,-,-
nyan1301,-,y,-,-,-,-,-,-,-,-,-,i,-,-,-,-,r,-,-,-,i,-,-,-,-,-,-
mart1256,-,T,-,-,-,-,-,-,-,-,-,a,-,-,-,-,l,-,-,-,i,-,-,-,5,p,a
wanm1242,-,T,-,-,-,-,-,-,-,-,-,a,-,-,-,-,l,-,-,-,i,-,-,-,5,p,a
kara1476,-,y,-,-,-,-,-,-,-,-,-,o,-,-,-,-,r,-,-,-,a,-,-,-,-,-,-
kara1476,-,T,-,a,-,-,-,-,w,-,-,a,-,k,a,-,n,-,-,-,i,-,-,-,5,-,-
waja1257,-,m,-,-,-,-,-,-,-,-,-,i,-,-,-,-,l,-,-,g,u,-,-,-,-,-,-
bayu1240,-,y,-,-,-,-,-,-,-,-,-,i,-,-,-,-,r,-,-,-,i,-,-,-,-,-,-
dhal1245,-,y,-,-,-,-,-,-,-,-,-,i,-,-,-,-,r,a,-,l,y,-,-,-,-,-,a
dhar1247,-,y,-,-,-,-,-,-,-,-,-,i,-,-,-,-,r,-,-,-,i,-,-,-,-,-,-
kurr1243,-,N,-,a,n,-,-,-,t,-,-,a,-,-,-,-,L,-,-,-,a,-,-,-,-,-,-
pany1241,-,y,-,-,-,-,-,-,-,-,-,i,-,-,-,-,r,-,-,-,i,-,-,-,-,-,-
ngar1287,-,b,-,a,-,-,-,-,T,-,-,a,-,b,u,-,d,-,-,-,u,-,-,-,-,-,-
yind1247,-,-,-,-,-,-,-,-,y,-,-,u,m,b,-,-,-,-,-,-,u,-,-,-,-,-,-
nyun1247,d,T,-,-,-,-,-,-,-,-,-,i,-,-,-,-,l,-,-,-,a,-,-,-,-,p,-
warl1255,-,T,-,a,l,-,-,-,k,-,-,a,-,-,-,-,r,-,-,-,a,-,-,-,-,-,-
warl1254,-,y,-,-,-,-,-,-,-,-,-,i,-,-,-,-,r,-,-,-,i,-,-,-,-,-,-
waru1265,-,T,-,a,l,-,-,-,k,-,-,a,-,-,-,-,r,-,-,-,a,-,-,-,-,-,-
guri1247,-,k,-,u,t,-,u,-,k,-,-,u,-,-,-,-,t,-,-,-,u,-,-,-,-,-,-
mudb1240,-,N,-,a,r,-,a,-,N,a,r,a,-,-,-,-,r,-,-,-,a,-,-,-,-,-,-
jaru1254,-,T,-,-,-,-,a,-,b,-,-,a,-,-,-,-,l,-,-,-,a,-,-,-,-,-,-
adny1235,-,y,-,a,d,L,a,-,T,-,-,a,-,w,u,-,r,-,-,-,a,-,-,-,-,-,-
dier1241,t,T,-,e,r,-,-,-,k,-,-,a,-,-,-,-,r,-,-,-,a,-,-,-,-,-,-
yand1253,t,T,-,a,l,p,a,t,T,-,-,a,-,-,-,-,l,-,-,p,a,-,-,-,r,-,i
dhuw1249,-,r,-,a,y,-,-,-,w,-,-,a,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-
djam1256,-,r,-,a,y,-,-,-,w,-,-,a,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-
gupa1247,-,r,-,a,y,-,-,-,w,-,-,a,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-
dayi1244,-,r,-,a,y,-,-,-,w,-,-,a,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-
rita1239,-,m,-,a,L,-,-,t,T,-,-,a,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-
yann1237,-,d,-,-,-,-,-,-,-,-,-,a,-,-,-,-,l,-,-,k,u,-,-,-,-,-,-
djin1253,-,d,-,-,T,-,-,-,-,-,-,a,-,-,-,-,r,-,-,k,u,-,-,-,t,-,-
waga1260,-,T,-,-,-,-,-,-,-,-,-,i,n,-,-,-,g,-,-,-,i,-,-,-,-,-,-
warl1256,-,w,-,a,L,-,-,-,k,-,-,a,-,-,-,-,r,-,-,-,a,-,-,-,-,-,-
yany1243,-,m,-,u,N,-,-,-,k,-,-,a,-,-,-,-,L,-,-,-,-,-,-,-,-,-,-
kala1377,-,g,-,-,-,-,-,-,-,-,-,i,-,-,-,-,z,-,-,-,u,-,-,-,-,-,-
alya1239,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,r,-,-,-,i,-,-,-,l,p,-
