language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33
gami1243,-,-,-,-,-,-,-,-,-,-,-,b,u,-,-,-,r,-,-,-,-,a,n,-,d,-,-,-,-,-,u,-,-
gami1243,-,-,-,-,-,-,-,-,-,-,-,b,u,-,-,-,m,-,-,-,-,a,-,-,-,-,-,-,-,-,i,-,-
wira1262,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,a,-,-,l,-,-,-,-,g,a,N,-
wang1291,-,-,-,-,-,-,-,-,-,-,-,b,i,-,-,-,-,-,-,-,-,e,-,-,r,-,-,-,-,-,-,-,-
muru1266,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,a,-,-,L,-,-,-,-,-,i,-,-
kumb1268,-,d,-,-,-,-,-,-,-,u,-,w,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
darl1243,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,a,-,-,d,-,-,i,-,r,i,-,-
guny1241,-,-,-,-,-,-,-,-,-,-,-,w,a,-,-,-,N,-,-,-,-,a,-,-,l,-,-,-,-,-,-,-,-
marg1253,-,-,-,-,-,-,-,-,-,-,-,w,a,-,-,-,N,-,-,-,-,a,-,-,l,-,-,-,-,-,-,-,-
kung1258,-,-,-,-,-,-,-,-,-,-,-,w,a,-,-,-,N,-,-,-,-,a,-,-,l,-,-,-,-,-,-,-,-
bidy1243,-,-,-,-,-,-,-,-,-,-,-,w,a,-,-,-,N,-,-,-,-,a,-,-,l,-,-,-,-,-,a,-,-
maya1280,-,-,-,-,-,-,-,-,-,-,-,y,a,-,-,-,l,-,k,a,p,a,-,-,r,-,-,-,-,-,i,-,-
gugu1255,-,-,-,-,-,-,-,-,-,-,-,w,a,-,-,-,N,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-
kuku1273,-,-,-,-,-,-,-,-,-,-,-,w,a,-,-,-,N,-,-,-,-,a,-,-,l,-,-,-,-,-,-,-,-
dyaa1242,-,-,-,-,-,-,-,-,-,-,-,w,a,-,-,-,N,-,-,-,-,a,-,-,l,-,-,-,-,-,-,-,-
yidi1250,-,-,-,-,-,-,-,-,-,-,-,m,a,-,-,-,N,-,-,-,-,a,-,-,5,-,-,-,-,-,-,-,-
dyir1250,-,m,-,-,-,-,-,-,-,-,-,u,-,-,-,-,5,-,-,-,-,a,-,-,n,-,-,-,-,-,-,-,-
warr1255,-,-,-,-,-,-,-,-,-,-,-,w,a,-,-,-,N,-,-,-,-,a,-,-,l,-,-,-,-,-,-,-,-
paka1251,-,-,-,-,-,-,-,-,-,-,-,w,i,-,-,-,5,-,-,-,-,-,-,-,T,-,-,-,-,-,i,-,-
kuku1280,-,-,-,-,-,-,-,-,-,-,-,w,e,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-
wikm1247,-,-,-,-,-,-,-,-,-,-,-,w,i,-,-,-,n,-,-,-,-,-,-,-,T,-,-,-,-,-,-,-,-
kuuk1238,-,-,-,-,-,-,-,-,-,-,-,k,u,-,-,-,n,-,k,-,-,a,-,-,m,-,-,-,-,-,u,-,-
gurd1238,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,o,-,-,r,-,-,-,-,-,T,-,-
ngaa1240,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,a,-,-,L,-,-,-,-,-,i,-,-
pitj1243,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,a,-,-,l,-,-,-,-,-,i,-,-
pint1250,t,T,a,-,-,-,-,-,r,a,N,k,-,-,-,-,-,-,-,-,-,a,-,-,r,-,-,-,-,p,a,-,-
kuka1246,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,a,-,-,L,-,-,-,-,-,i,-,-
nyam1271,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,a,-,-,L,-,-,-,-,-,i,-,-
nyan1301,-,p,a,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,a,-,-,l,-,-,-,-,y,i,-,-
mart1256,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,a,-,-,L,-,-,-,-,-,i,-,-
wanm1242,-,y,i,-,-,-,-,-,r,-,-,k,-,-,-,-,-,-,-,-,-,i,-,-,l,-,-,-,-,-,i,-,-
kara1476,-,N,a,d,T,u,g,o,r,a,-,g,-,-,-,-,-,-,-,-,-,a,-,-,L,-,-,-,-,-,i,-,-
kara1476,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,a,-,-,L,-,-,-,-,-,i,-,-
nhan1238,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,a,-,l,o,-,-
waja1257,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,a,-,-,L,-,-,a,-,n,u,-,-
bayu1240,-,t,-,-,-,-,-,-,-,a,-,w,-,-,-,-,-,-,-,-,-,a,-,-,d,-,-,-,-,-,a,-,-
dhal1245,-,t,-,-,-,-,-,-,-,a,-,w,-,-,-,-,-,-,-,-,-,a,-,-,d,-,-,-,-,-,a,-,-
dhar1247,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,i,-,y,a,-,-
pany1241,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,i,-,-,l,u,k,u,n,t,i,-,-
ngar1287,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,i,-,-,r,-,-,-,-,b,a,-,-
yind1247,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,i,-,-,r,-,-,i,-,d,i,-,-
nyun1247,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,y,-,-,l,-,-,-,-,-,i,-,e
warl1255,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,a,-,-,L,-,-,-,-,-,i,-,-
warl1254,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,a,-,-,L,-,-,-,-,-,i,-,-
waru1265,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,a,-,-,y,-,-,-,-,-,i,n,-
guri1247,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,a,-,-,L,-,-,-,-,-,i,-,-
ngar1235,-,m,i,n,-,-,-,-,d,i,-,w,-,-,-,-,-,-,-,-,-,i,-,-,r,-,-,-,-,-,i,-,-
mudb1240,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,a,r,i,t,-,-,-,-,-,i,l,a
jaru1254,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,a,-,-,L,-,-,-,-,-,i,-,-
adny1235,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,a,-,-,d,-,-,-,-,n,a,-,-
naru1238,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,a,-,-,d,-,-,-,-,n,a,-,-
dier1241,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,i,-,-,r,-,-,-,-,-,a,-,-
yand1253,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,a,-,-,d,-,-,-,-,-,a,-,-
dhuw1249,-,-,-,-,-,-,-,-,-,-,-,g,a,-,-,-,L,i,w,-,-,a,-,-,L,-,-,-,-,-,i,-,-
djam1256,-,-,-,-,-,-,-,-,-,-,-,g,a,-,-,-,L,i,w,-,-,a,-,-,L,-,-,-,-,-,i,-,-
gupa1247,-,-,-,-,-,-,-,-,-,-,-,g,a,-,-,-,L,i,g,-,-,a,-,-,L,-,-,-,-,-,i,-,-
guma1253,-,-,-,-,-,-,-,-,-,-,-,g,a,-,-,-,L,i,w,-,-,a,-,-,L,-,-,-,-,-,i,-,-
dhan1270,-,-,-,-,-,-,-,-,-,-,-,g,a,-,-,-,L,i,w,-,-,a,-,-,L,-,-,-,-,-,i,-,-
dayi1244,-,-,-,-,-,-,-,-,-,-,-,g,a,-,-,-,L,i,w,-,-,a,-,-,L,-,-,-,-,-,i,-,-
rita1239,-,-,-,-,-,-,-,-,-,-,-,g,a,-,-,-,L,i,g,-,-,a,-,-,L,-,-,-,-,-,i,-,-
yann1237,-,-,-,-,-,-,-,-,-,-,-,d,a,-,n,-,d,u,-,-,-,-,-,-,r,-,-,-,-,-,u,N,-
djin1253,-,-,-,-,-,-,-,-,-,-,-,g,a,-,-,-,L,i,g,-,-,a,-,-,L,-,-,-,-,-,i,-,-
waga1260,-,t,-,-,-,-,-,-,-,u,k,7,-,-,-,-,-,-,-,-,-,u,-,-,L,-,-,-,-,-,-,-,-
warl1256,-,t,-,-,-,-,-,-,-,u,-,w,-,-,-,-,-,-,-,-,-,a,-,-,L,-,-,-,-,-,i,-,-
yany1243,-,T,-,-,-,-,-,-,-,u,k,-,-,-,-,-,-,-,-,-,-,i,-,-,l,-,-,-,-,-,i,-,-
kala1377,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,u,b,-,-,a,-,-,-,-,-,-,-,-,i,-,-
alya1239,-,-,-,-,-,-,-,-,-,-,-,-,a,y,-,-,l,-,-,-,-,a,-,y,l,-,-,-,-,-,-,-,-
west2441,-,-,-,-,-,-,-,-,-,-,-,-,u,L,p,u,r,i,5,-,-,a,-,-,-,-,-,-,-,-,-,-,-
