language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28
gami1243,-,N,-,-,a,-,-,-,m,u,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-
wira1262,-,g,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,d,-,-,-,-,a,-,-,-,-
wang1291,-,w,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,r,-,-,-,-,u,-,-,-,-
muru1266,-,g,-,-,-,-,-,-,-,u,-,-,-,d,-,-,a,-,r,-,-,-,-,a,-,-,-,-
kumb1268,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,r,-,-,-,-,a,n,-,-,-
darl1243,-,m,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,b,-,-,-,-,o,-,-,-,-
guny1241,-,b,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,L,-,-,-,-,u,-,-,-,-
marg1253,-,g,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,b,-,-,-,-,u,n,-,-,-
bidy1243,-,w,-,-,-,-,-,-,-,o,-,b,i,5,-,-,e,-,l,-,-,-,-,a,-,-,-,-
maya1280,-,p,-,-,-,-,-,-,-,a,t,T,a,N,-,-,u,-,l,-,-,-,-,a,-,-,-,-
gugu1255,-,g,-,-,-,-,-,-,-,a,-,-,-,N,-,-,-,-,g,-,-,-,-,a,l,-,-,-
kuku1273,-,k,-,-,-,-,-,-,-,a,-,-,-,r,-,-,-,-,k,-,-,-,-,a,y,-,-,-
dyaa1242,-,b,-,-,-,-,-,-,-,i,-,b,u,n,-,-,-,-,b,-,-,-,-,a,y,-,-,-
yidi1250,-,T,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,T,-,-,-,-,a,-,-,-,-
dyir1250,-,5,-,-,-,-,-,-,-,a,-,-,-,l,-,-,-,-,m,-,-,-,-,a,r,-,u,-
warr1255,-,y,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,i,-
paka1251,-,t,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,w,-,-,-,-,e,-,-,-,-
kuku1280,-,p,-,-,-,-,-,-,-,u,-,-,-,k,-,-,-,-,p,-,-,-,-,e,-,-,-,-
wikm1247,-,t,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-
umpi1239,-,w,-,-,-,-,-,-,-,u,-,p,u,n,-,-,-,-,p,-,-,u,5,u,-,-,-,-
kuuk1238,-,w,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,p,-,-,u,y,u,-,-,-,-
gurd1238,-,d,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,T,-,-,-,-,i,r,-,x,-
ngaa1240,-,y,-,-,-,-,-,-,-,u,-,-,-,n,-,-,-,-,t,-,-,-,-,a,l,-,-,-
pint1251,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,T,i,l,k,u,-
pitj1243,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,t,-,-,-,T,a,-,-,-,-
pint1250,-,N,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,l,-,-,-,y,i,-,-,-,-
kuka1246,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,m,a,-,-,-,-
nyam1271,-,T,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,l,-,-,-,i,a,-,-,-,-
nyan1301,-,p,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,t,-,-,-,-,a,5,-,-,-
mart1256,-,p,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,r,-,-,-,k,a,-,-,-,-
wanm1242,-,T,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,T,-,-,-,-,i,-,-,-,-
kara1476,-,p,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,t,-,-,-,-,a,5,-,-,-
nhan1238,-,p,-,-,u,t,i,a,p,a,-,-,-,-,-,-,-,-,l,-,-,-,-,a,-,-,-,-
waja1257,-,T,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,a,-,-,-,-
bayu1240,-,k,-,-,u,-,-,-,b,u,-,-,-,-,-,-,-,-,T,-,-,-,-,a,r,-,i,-
dhal1245,-,k,-,-,u,-,-,-,b,u,-,-,-,-,-,-,-,-,T,-,-,-,-,-,-,-,u,-
dhar1247,-,T,-,-,u,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
kurr1243,-,k,-,-,-,-,-,-,-,a,-,-,-,5,-,-,-,-,T,-,-,-,-,a,r,-,i,-
pany1241,-,k,-,-,u,-,-,-,b,i,-,-,-,-,-,-,-,-,T,-,-,-,-,a,-,-,-,-
ngar1287,-,m,-,-,-,-,-,-,-,a,-,-,-,5,-,g,-,-,-,-,-,-,-,a,-,-,-,-
yind1247,-,m,-,-,-,-,-,-,-,a,-,-,-,N,-,g,u,-,L,-,-,-,-,a,-,-,-,-
nyun1247,-,g,-,-,o,-,-,-,l,a,-,-,-,N,-,g,u,-,r,-,-,-,-,a,-,-,-,-
warl1255,-,y,-,-,-,-,-,-,-,a,-,-,-,p,a,w,i,-,t,-,-,a,-,-,-,-,-,-
warl1254,-,N,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,l,-,-,a,p,i,-,-,-,-
waru1265,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,t,i,k,i,T,i,-,-,-,-
guri1247,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,r,-,-,-,-,u,-,-,-,-
ngar1235,-,g,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,r,-,-,-,-,u,-,-,-,-
mudb1240,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,r,-,-,-,-,u,-,-,-,-
jaru1254,-,b,-,-,i,-,-,-,l,a,-,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-
adny1235,-,y,-,-,a,-,-,-,k,a,-,-,-,-,-,-,-,-,t,-,-,-,-,i,-,-,-,-
naru1238,-,g,-,-,u,-,-,-,N,a,-,-,-,-,-,-,-,-,5,-,-,-,-,a,-,-,-,-
dier1241,-,k,-,-,u,-,-,-,p,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yand1253,-,m,u,d,u,-,-,-,w,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dhuw1249,-,w,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,k,-,-,-,-,u,-,-,-,-
djam1256,-,y,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,t,-,-,-,-,u,-,-,-,-
gupa1247,-,y,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,t,-,-,-,-,u,-,-,-,-
guma1253,d,T,-,-,-,-,-,-,-,a,-,-,-,m,-,-,a,r,k,-,-,-,-,u,L,-,i,-
dhan1270,-,y,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,t,-,-,-,-,u,-,-,-,-
dayi1244,d,T,-,-,-,-,-,-,-,a,-,-,-,m,-,-,a,r,k,-,-,-,-,u,L,-,i,-
rita1239,-,T,-,-,-,-,-,-,-,a,-,-,-,m,-,-,-,-,-,-,-,-,-,a,-,-,-,-
yann1237,-,r,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,t,-,-,-,-,a,-,-,-,-
djin1253,-,g,-,-,-,-,-,-,-,u,r,-,-,m,-,-,i,-,n,-,-,-,-,a,N,-,-,-
waga1260,-,k,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,r,-,-,e,w,a,-,-,-,-
warl1256,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,r,-,-,-,-,a,l,-,i,-
yany1243,-,k,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,y,-,-,-,-,a,T,-,i,-
kala1377,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,z,-,-,-,-,i,-,-,-,-
alya1239,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,l,-,-,-,-,e,r,-,e,y
ande1247,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,y,a,r,-,-,-
west2441,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,l,-,-,-,-,i,r,-,a,-
