language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51
gami1243,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,b,i,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
gami1243,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,b,i,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
wira1262,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,u,m,b,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
muru1266,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,a,N,k,u,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kumb1268,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w,a,-,-,r,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
darl1243,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,p,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
guny1241,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,l,-,-,y,i,-,-,-,-,-,-,-,-
marg1253,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,l,-,-,y,i,-,-,-,-,-,-,-,-
kung1258,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,n,-,-,d,-,-,-,a,-,-,-,-,-,-,-,-
gugu1255,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,u,m,p,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kuku1273,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,u,m,b,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dyaa1242,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,u,m,b,-,-,-,-,-,-,-,-,-,-,a,-,-,-,d,-,-,-,a,-,-,-,-,-,b,a,y
yidi1250,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,u,m,p,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dyir1250,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,u,m,p,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
warr1255,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,i,n,-,d,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
paka1251,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,k,-,-,-,-,-,-,-,-,-,-,a,-,-,-,t,-,-,-,i,-,-,-,-,-,-,-,-
kuku1280,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,k,-,-,-,-,-,-,-,-,-,-,a,-,-,-,t,-,-,-,i,-,-,-,-,-,-,-,-
wikm1247,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,e,k,a,N,m,a,k,a,N
umpi1239,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,i,-,-,-,-,-,-,-,-
gurd1238,-,-,-,-,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-
ngaa1240,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,t,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
pint1251,t,-,-,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,l,-,-,-,-,y,p,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
pitj1243,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,t,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
pint1250,t,-,-,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kuka1246,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,l,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
nyam1271,w,-,-,i,-,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
nyan1301,-,-,-,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,N,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mart1256,-,-,-,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,N,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
wanm1242,-,-,-,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,N,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kara1476,d,-,-,-,-,-,-,T,i,-,-,-,-,-,-,-,-,-,-,-,b,e,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kara1476,-,-,-,-,-,-,-,T,u,l,p,a,y,i,y,i,n,t,a,n,p,a,-,T,a,N,u,l,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
nhan1238,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,g,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
waja1257,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,d,-,-,-,g,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
