language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
gami1243,-,-,-,-,N,-,-,-,-,-,-,a,-,-,-,-,-,-,r,-,i,-,b,a,-,-,-,-,-
gami1243,-,-,-,-,N,-,-,-,-,-,-,a,-,-,-,-,-,-,r,-,i,-,b,a,-,-,-,-,-
wira1262,d,-,i,-,r,a,n,-,-,-,g,a,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-
wang1291,-,-,-,-,t,u,n,i,p,a,t,a,-,-,-,-,-,-,r,-,a,-,p,a,-,-,-,-,-
muru1266,-,-,-,-,p,-,-,-,-,-,-,a,-,-,-,-,-,-,r,-,-,-,-,a,-,-,y,-,-
kumb1268,-,-,-,-,w,-,-,-,-,-,-,a,-,-,-,-,-,-,r,-,-,-,-,i,-,-,-,-,-
darl1243,-,-,-,-,t,-,-,-,-,-,-,i,-,-,-,-,-,-,t,-,u,-,w,a,-,-,-,-,-
guny1241,-,-,-,-,N,-,-,-,-,-,-,a,-,-,-,-,-,-,d,-,-,-,b,a,-,-,-,-,-
marg1253,-,-,-,-,N,-,-,-,-,-,-,a,-,-,-,-,-,-,d,-,-,-,b,a,-,-,-,-,-
maya1280,p,-,u,-,r,-,-,-,-,-,-,a,-,-,-,-,-,-,l,-,-,-,-,a,-,-,-,-,-
gugu1255,-,-,-,-,n,-,-,-,-,-,-,a,-,-,-,-,-,-,g,-,-,-,-,a,-,-,r,-,-
kuku1273,-,-,-,-,n,-,-,-,-,-,-,a,-,-,-,-,-,-,k,-,-,-,-,a,-,-,-,-,-
dyaa1242,-,-,-,-,n,-,-,u,-,-,T,i,-,-,-,-,-,-,r,-,-,-,-,a,-,-,-,-,-
yidi1250,-,-,-,-,n,-,-,-,-,-,-,a,-,-,-,-,-,-,g,-,-,-,-,a,-,-,-,-,-
dyir1250,-,-,-,-,g,-,-,-,-,-,-,u,-,-,-,-,-,-,l,-,-,-,-,i,-,-,5,-,-
paka1251,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,w,-,-,-,-,a,-,-,-,-,-
kuku1280,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,w,-,-,-,-,a,-,-,-,-,-
