language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35
gami1243,-,-,-,-,-,-,-,-,b,-,-,-,a,-,-,r,a,n,-,b,-,-,-,-,-,-,-,a,y,l,-,-,i,7,7
gami1243,-,-,-,-,-,-,-,-,b,-,-,-,u,-,-,r,u,n,-,b,-,-,-,-,-,-,-,a,i,l,-,-,u,n,-
wira1262,-,-,-,-,-,-,-,-,b,-,-,-,a,g,u,r,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,i,n,-
muru1266,-,-,-,-,-,-,-,-,w,-,-,-,a,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-
kumb1268,-,-,-,-,-,-,-,-,w,-,-,-,a,-,-,r,-,-,-,g,-,-,-,-,-,-,-,a,-,-,-,-,-,N,-
darl1243,-,-,-,-,-,-,-,-,w,-,-,-,a,-,-,r,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
kuku1273,-,-,-,-,-,-,-,-,T,i,-,r,a,-,-,-,-,-,-,T,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
dyaa1242,-,-,-,-,-,-,-,-,T,u,n,d,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-
yidi1250,-,-,-,-,-,-,-,-,w,-,-,-,a,-,-,-,-,-,-,g,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
dyir1250,-,-,-,-,-,-,-,-,w,-,-,-,a,-,-,-,-,-,-,g,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
warr1255,-,-,-,-,-,-,-,-,m,-,-,-,a,-,-,-,-,-,-,g,-,-,-,-,-,-,-,u,-,l,-,-,-,-,-
umpi1239,-,-,-,-,-,-,-,-,w,-,-,-,a,-,-,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
gurd1238,-,-,-,-,-,-,-,-,w,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ngaa1240,-,-,-,-,-,-,-,-,w,-,-,-,a,-,-,r,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
pitj1243,-,-,-,-,-,-,-,-,w,-,-,-,a,-,-,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
pint1250,-,-,-,-,-,-,-,-,N,-,-,-,a,-,-,r,u,5,t,T,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-
kuka1246,z,-,-,-,-,-,-,-,w,-,-,-,a,-,-,r,u,-,-,k,-,u,l,-,-,-,-,a,-,-,-,-,-,-,-
nyam1271,-,-,-,-,-,-,-,-,w,-,-,-,a,-,-,r,-,-,-,k,-,-,-,-,-,-,-,a,-,m,-,-,u,-,-
nyan1301,-,-,-,-,-,-,-,-,w,-,-,-,a,-,-,r,-,-,-,k,-,-,-,-,-,-,-,a,-,m,-,-,-,-,-
mart1256,-,-,-,-,-,-,-,-,w,-,-,-,a,-,-,r,-,-,-,k,-,-,-,-,-,-,-,a,-,m,-,-,u,-,-
kara1476,-,-,-,-,-,-,-,-,w,-,-,-,a,-,-,r,-,-,-,g,-,-,-,-,-,-,-,a,-,m,-,-,-,-,-
kara1476,-,-,-,-,-,-,-,-,w,-,-,-,a,-,-,r,-,-,-,g,-,-,-,-,-,-,-,a,-,m,-,-,-,-,-
nhan1238,-,-,-,-,-,-,-,-,w,-,-,-,a,-,-,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
dhal1245,-,-,-,-,-,-,-,-,w,-,-,-,a,-,-,r,-,-,-,g,-,-,-,-,-,-,-,a,-,m,-,-,u,-,-
dhar1247,-,-,-,-,-,-,-,-,w,-,-,-,a,-,-,r,-,-,-,g,-,-,-,-,-,-,-,a,-,m,-,-,u,r,a
yind1247,-,-,-,-,-,-,-,-,w,-,-,-,a,-,-,r,-,-,-,g,-,-,-,-,-,-,-,a,-,m,-,-,-,-,-
nyun1247,-,-,-,-,-,-,-,-,y,-,-,-,a,-,-,-,-,-,-,k,-,-,-,-,-,-,-,e,-,r,-,-,-,-,-
warl1255,-,-,-,-,-,-,-,-,w,-,-,-,a,-,-,-,-,-,-,k,T,a,r,-,-,-,-,a,-,-,-,-,-,-,-
warl1254,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,i,n,-,-,-,-,i,-,-,-,-,-,-,-
waru1265,-,-,-,-,-,-,-,-,p,-,-,-,u,-,-,-,-,-,-,k,-,u,n,T,i,n,t,a,-,-,-,-,-,-,-
guri1247,T,-,-,-,-,-,-,a,p,-,m,-,a,-,-,n,a,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,3,-,-
