language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33
wira1262,-,-,-,-,b,-,-,a,n,d,a,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-
wang1291,-,-,-,-,p,-,-,a,n,t,a,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-
muru1266,-,-,-,-,p,-,-,a,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-
kumb1268,-,-,-,-,g,-,-,a,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-
darl1243,-,-,-,-,m,-,-,u,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-
guny1241,-,-,-,-,g,-,-,a,-,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-
marg1253,-,-,-,-,g,-,-,a,-,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-
gugu1255,-,-,-,-,g,-,-,a,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-
kuku1273,-,-,-,-,k,-,-,a,-,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-
dyaa1242,-,-,-,-,g,-,-,a,n,-,i,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yidi1250,-,-,-,-,m,-,-,-,-,-,i,l,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,a,-,-,-
warr1255,-,-,-,-,d,-,-,-,y,-,u,d,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,a,-,-,-
wikm1247,-,-,-,-,m,-,-,u,n,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,N,-
umpi1239,-,-,-,-,k,-,-,a,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-
kuuk1238,-,-,-,-,k,-,-,a,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,a,n,-,-,-,a,-,-,-
gurd1238,-,-,m,o,k,-,-,a,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,i,l,k,-
ngaa1240,-,-,-,-,k,-,-,a,-,-,-,r,-,-,-,-,-,-,-,-,p,-,-,-,i,l,-,-,p,a,-,-,-
pint1251,-,-,-,-,k,-,-,a,-,-,-,r,-,-,-,-,-,-,-,-,p,-,-,-,i,l,-,-,p,a,-,-,-
pitj1243,-,-,-,-,k,-,-,a,-,-,-,r,-,-,-,-,-,-,-,-,p,-,-,-,i,n,-,-,-,i,-,-,-
pint1250,-,-,-,-,t,i,t,i,-,-,-,r,-,-,-,-,-,-,-,-,p,-,-,-,u,N,-,-,-,u,-,-,-
kuka1246,-,-,-,-,k,-,-,a,-,-,-,r,-,-,-,-,-,-,-,-,p,-,-,-,i,l,-,-,-,a,-,-,-
nyam1271,-,-,-,-,k,-,-,u,-,-,-,5,-,-,-,-,-,T,i,-,p,-,-,-,-,-,-,-,-,i,-,-,-
nyan1301,-,-,-,-,k,-,-,a,-,-,-,r,-,-,-,-,-,-,-,-,p,-,-,-,i,n,-,-,-,i,-,-,-
