language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42
yawa1258,t,e,-,p,i,-,-,-,n,-,-,-,-,-,a,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
dier1241,t,e,-,p,i,N,-,a,n,-,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
ngam1284,-,-,-,k,-,-,-,a,l,-,-,-,p,-,a,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
yarl1238,t,i,-,p,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
arab1267,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,N,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
wang1290,-,-,-,N,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
mith1236,-,-,-,k,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
guya1249,t,e,-,p,i,-,-,-,n,-,-,-,-,-,i,-,-,-,-,-,-,n,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
nhir1234,t,i,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
pitt1247,-,-,-,k,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,m,-,-,-,-,p,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
wang1289,-,-,-,4,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,N,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,l,-,-,i
bang1339,-,i,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
wira1265,-,-,-,y,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
kaur1267,-,-,-,p,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,u,-,n,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
naru1238,m,a,m,b,-,-,-,-,-,-,-,-,-,-,a,-,-,l,-,i,-,y,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
adny1235,-,i,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
darl1243,-,-,-,b,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,i,-,n,-,-,-,-,T,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
