language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
gami1243,-,-,g,-,-,-,-,-,-,a,l,-,-,-,-,-,-,-,a,n,-,-,u,-,-,-,-,-,-,-,-,-
gami1243,-,-,g,-,-,-,-,-,-,a,l,-,-,-,-,-,-,-,a,n,-,-,u,-,-,-,-,-,-,-,-,-
wira1262,d,u,g,-,-,-,-,-,-,u,w,-,-,-,-,-,-,-,a,y,i,b,u,-,-,-,-,-,-,l,-,-
muru1266,-,-,k,-,-,-,-,-,-,a,r,-,-,-,-,k,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
darl1243,-,-,N,-,-,-,-,-,-,a,r,-,-,-,-,-,-,-,a,d,-,T,a,-,-,-,-,-,-,-,-,-
guny1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,u,4,-,t,u,-,-,-,-,-,-,-,-,-
gugu1255,-,-,g,-,-,-,-,-,-,o,-,-,-,-,-,m,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
dyaa1242,-,-,b,-,-,-,-,-,-,a,r,-,-,-,-,m,-,-,a,l,-,-,-,-,-,-,-,-,-,-,-,-
wikm1247,-,-,k,-,-,-,-,-,-,u,N,-,-,-,-,m,a,k,a,n,-,-,-,-,-,-,-,-,-,-,-,-
umpi1239,-,-,m,-,-,-,-,-,-,u,n,p,u,t,a,m,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
kuuk1238,-,-,m,-,-,-,-,-,-,a,N,k,u,-,-,m,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
gurd1238,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,l,-,-,-,-,-,-,-,-,-,-,-,-
ngaa1240,-,-,k,-,-,-,-,-,-,a,w,-,-,-,-,-,-,-,a,-,-,k,u,-,-,-,-,-,-,-,-,-
pint1251,-,-,-,-,-,-,-,-,-,i,y,-,-,-,-,-,-,-,a,l,-,t,u,-,-,-,-,-,-,-,-,-
pint1250,-,-,k,-,-,-,-,-,-,a,w,-,-,-,-,-,-,-,a,-,-,k,u,-,-,-,-,-,-,-,-,-
kuka1246,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,u,r,t,T,u,-,-,-,-,-,-,-,-,-
