language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36
gami1243,-,-,-,-,t,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,r,u,n,-,-,-,-,-,e,-,-,-,-
gami1243,-,-,-,-,d,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,a,-,-,y,-
wira1262,-,-,-,-,w,-,-,-,-,-,-,-,i,-,n,-,-,-,-,a,n,-,-,g,a,n,-,-,-,-,-,a,-,-,-,-
wang1291,-,-,-,-,t,-,-,-,-,-,-,-,i,r,p,-,-,-,-,a,-,-,-,k,i,r,-,-,-,-,-,i,-,-,-,-
muru1266,-,-,-,-,N,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,n,-,-,-,-,t,-,-,-,-,-,a,-,-,-,-
kumb1268,-,-,-,-,N,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,r,a,N,-,-,-,-,-,a,-,-,-,-
darl1243,-,-,-,-,y,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-
guny1241,-,-,-,-,d,-,-,-,-,-,-,-,i,-,4,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,u,-,-,-,-
marg1253,-,-,-,-,d,-,-,-,-,-,-,-,i,-,4,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,u,-,-,-,-
gugu1255,-,-,-,-,b,-,-,-,-,-,-,-,i,-,n,-,-,-,-,a,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-
kuku1273,-,-,-,-,b,-,-,-,-,-,-,-,i,-,n,-,-,-,-,a,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-
dyaa1242,T,-,-,a,b,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dyir1250,-,-,-,i,b,-,-,-,-,-,-,-,i,-,T,-,-,-,-,i,-,-,-,l,-,b,-,-,-,-,-,i,-,-,-,-
wikm1247,-,-,-,-,t,-,-,-,-,-,-,-,i,-,T,-,-,-,-,a,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-
umpi1239,-,-,-,-,p,-,-,-,-,-,-,-,i,-,t,-,-,-,-,a,-,-,-,n,-,T,-,-,-,-,-,i,-,-,-,-
