language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
waru1265,-,-,-,-,p,-,-,-,-,i,n,t,i,n,u,r,-,-,-,-,-,-,-,u,-,-,-,-,-
nyun1247,-,-,-,-,T,e,i,t,T,o,-,-,-,-,-,n,-,-,-,-,t,-,-,-,-,-,-,-,-
waju1234,-,-,-,-,m,-,-,-,-,a,-,-,-,-,-,N,-,-,-,-,k,-,-,a,-,-,-,-,-
ward1248,-,-,-,-,d,-,u,r,-,a,-,-,-,-,-,n,-,-,-,-,T,-,-,-,-,-,-,-,-
dhuw1249,-,-,-,-,y,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,-,-,-,u,-,-,-,-,-
djam1256,-,-,-,-,y,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,-,-,-,u,-,-,-,-,-
djap1238,-,-,-,-,y,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,-,-,-,u,-,-,-,-,-
guma1253,-,-,-,-,y,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,-,-,-,u,-,k,u,l,-
gupa1247,-,-,-,-,y,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,-,-,-,u,-,-,-,-,-
dayi1244,-,-,-,-,y,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,-,-,-,u,-,-,-,-,-
rita1239,-,-,-,-,y,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,-,-,-,u,-,-,-,-,-
yann1237,-,-,-,-,y,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,-,-,-,u,-,-,-,-,-
djin1253,-,-,-,-,y,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,-,-,-,u,-,-,-,-,-
madh1244,-,-,-,-,l,-,-,-,-,a,-,-,-,-,-,n,-,-,-,-,-,-,-,u,-,-,-,-,-
