language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
wang1291,b,-,-,i,-,l,-,-,o,-,n,-,-,-,-,-,-,-,-,-,-
kumb1268,N,-,-,a,-,l,-,-,a,-,5,-,-,-,-,-,-,-,-,-,-
kuku1273,y,-,-,a,-,w,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-
paka1251,N,-,-,a,-,q,a,w,e,-,m,-,p,-,-,a,-,-,-,-,-
wikm1247,m,-,-,u,-,t,-,-,i,-,T,-,-,-,-,-,-,-,-,-,-
gurd1238,-,-,-,a,-,r,-,t,o,-,r,-,-,-,-,-,-,-,-,-,-
nyan1301,y,-,-,a,-,r,-,-,a,-,-,-,p,-,-,a,-,-,-,-,-
kara1476,g,-,-,a,-,l,o,g,a,-,l,o,b,i,g,i,-,-,-,-,-
bayu1240,y,-,-,a,m,b,-,-,a,-,n,-,-,-,-,a,-,-,-,-,-
ngar1287,b,i,l,a,-,N,-,-,a,-,r,-,-,-,-,a,-,-,-,-,-
nyun1247,b,-,-,a,m,b,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
naru1238,g,-,-,a,-,d,-,-,a,-,r,-,-,-,-,a,-,-,-,-,-
dhuw1249,m,-,-,a,-,r,-,-,a,5,d,-,T,-,-,a,l,-,-,-,k
djam1256,m,-,-,a,-,r,-,-,a,5,d,-,T,-,-,a,l,-,-,-,k
gupa1247,m,-,-,a,-,r,-,k,a,-,l,-,-,-,-,a,-,-,-,-,-
guma1253,-,-,-,-,-,d,-,T,u,-,L,-,-,-,-,a,y,m,-,u,N
dhan1270,-,-,-,-,-,d,-,T,u,-,L,-,-,-,-,a,y,m,-,u,N
yann1237,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,m,b,i,-
djin1253,L,a,w,a,-,r,-,-,a,-,5,-,-,-,-,a,-,-,-,-,-
yany1243,-,-,-,a,-,d,-,-,u,-,-,-,m,-,-,u,-,-,-,-,-
kala1377,g,-,u,i,-,-,-,-,e,-,r,-,-,-,-,-,-,-,-,-,-
