language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56
gami1243,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,a,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,r,-,-,-,a,-,-,y
gami1243,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,a,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,r,-,-,-,a,-,-,y
wira1262,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,y,-,-,a,-,-,m,-,b,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,N,-,-,-,a,-,-,-
muru1266,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,i,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kumb1268,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,i,l,i,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,r,-,-,-,-,-,-,i
darl1243,d,a,m,-,-,-,b,-,-,-,-,-,-,-,-,-,-,a,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,m,-,-,b,a,-,-,-
kung1258,g,a,m,-,-,-,b,-,-,-,-,-,-,-,-,-,-,i,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
gugu1255,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,i,-,-,n,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-
kuku1273,-,-,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-
dyaa1242,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,l,-,-,-,-,-,n,-,g,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-
