language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26
gami1243,-,-,-,-,-,y,-,-,-,-,-,u,-,-,-,-,-,l,-,-,u,-,-,-,-,-
gami1243,-,-,-,-,-,y,-,-,-,-,-,u,-,-,-,-,-,l,-,-,u,-,-,-,-,-
wira1262,-,-,-,-,-,y,-,-,-,-,-,u,-,-,-,-,-,l,-,-,u,-,-,-,-,-
wang1291,-,-,-,-,-,y,-,-,-,-,-,u,-,-,-,-,-,l,-,-,u,-,-,-,-,-
muru1266,-,-,-,-,-,p,-,-,-,-,-,i,-,-,-,-,-,k,-,-,a,-,-,5,-,-
kumb1268,-,-,-,-,-,d,-,-,-,-,-,a,-,n,-,-,-,g,-,-,i,-,-,-,-,-
darl1243,-,-,-,-,-,m,-,-,-,-,-,i,-,-,-,-,-,l,-,-,i,-,-,-,-,-
guny1241,-,-,-,-,-,b,-,-,-,-,-,i,-,-,-,-,-,N,-,-,u,-,-,5,-,-
marg1253,-,-,-,-,-,b,-,-,-,-,-,i,-,-,-,-,-,k,-,-,a,-,-,5,-,-
maya1280,m,a,l,-,a,p,-,-,-,-,-,i,-,t,-,-,-,T,-,-,i,-,-,-,-,-
kuku1273,-,-,-,-,-,b,-,-,-,-,-,e,-,-,-,-,-,r,-,-,e,-,-,-,-,-
dyaa1242,-,-,-,-,-,b,-,-,-,-,-,i,-,-,-,-,-,g,-,-,u,-,-,m,-,-
yidi1250,-,-,-,-,-,b,-,-,-,-,-,i,-,-,-,-,-,g,-,-,u,-,-,5,-,-
dyir1250,-,-,-,-,-,b,-,-,-,-,-,i,-,-,-,-,-,g,-,-,u,-,-,5,-,-
warr1255,-,-,-,-,-,5,-,-,-,-,-,i,-,-,-,-,-,g,-,-,i,-,-,5,-,-
paka1251,-,-,-,-,-,m,a,-,q,-,-,e,-,-,-,-,-,k,-,-,a,-,-,-,-,-
kuku1280,-,-,-,-,-,m,a,-,7,a,-,e,-,-,-,-,-,k,-,-,a,-,-,-,-,-
wikm1247,-,-,-,-,-,m,a,-,7,-,-,e,-,-,-,-,-,k,-,-,-,-,-,-,-,-
umpi1239,-,-,-,-,-,w,u,-,t,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kuuk1238,-,-,-,-,-,w,u,-,t,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-
gurd1238,-,-,-,-,-,m,a,-,d,-,-,i,-,-,-,-,-,r,-,-,i,-,-,m,-,-
ngaa1240,-,-,-,-,-,m,-,-,-,-,-,i,-,-,-,-,-,l,t,T,i,-,-,-,-,-
pint1251,-,-,-,-,-,m,-,-,-,-,-,i,-,-,-,-,-,l,t,T,i,-,-,-,-,-
pint1250,-,-,-,-,-,m,-,-,-,-,-,i,-,-,-,-,-,l,-,p,i,-,-,n,p,a
kuka1246,-,-,-,-,-,m,-,-,-,-,-,i,-,-,-,-,-,l,d,T,a,-,-,n,-,-
nyam1271,-,-,-,-,-,m,-,-,-,-,-,i,-,-,-,-,-,T,-,-,u,-,-,-,-,-
nyan1301,-,-,-,-,-,m,-,-,-,-,-,i,-,-,-,-,-,l,-,p,i,-,-,5,-,-
mart1256,-,-,-,-,-,m,-,-,-,-,-,i,-,-,-,-,-,l,-,p,i,-,-,5,p,a
