language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31
gami1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,a,-,-,l,-,-,-
gami1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,a,-,-,l,-,-,-
wira1262,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,u,n,-,-,b,-,-,a,-,-,y,-,-,-
wang1291,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,a,-,-,g,-,-,u
muru1266,-,-,-,-,y,-,-,-,-,-,-,a,-,-,-,m,-,-,-,-,-,-,-,-,a,-,-,n,-,-,-
kumb1268,-,-,-,-,g,-,-,-,-,-,-,a,-,-,-,L,-,u,-,-,-,g,-,-,u,-,-,n,-,-,-
darl1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,i,-,-,-,T,-,-,a,-,-,-,-,-,-
guny1241,-,-,-,-,w,-,-,-,-,-,-,a,-,-,-,N,-,-,-,-,-,g,-,-,a,-,-,r,-,-,a
marg1253,-,-,-,-,w,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,k,-,-,a,-,-,5,-,-,u
bidy1243,-,-,-,-,w,-,-,-,-,-,-,a,-,-,-,N,-,-,-,-,-,k,-,-,a,-,-,r,-,-,a
maya1280,-,-,-,-,w,-,-,-,-,-,-,a,-,-,-,N,-,-,-,-,-,g,-,-,a,-,-,r,-,-,i
gugu1255,-,-,-,-,5,-,-,-,-,-,-,u,-,-,-,p,-,-,-,-,-,-,-,-,u,-,-,n,-,-,-
kuku1273,-,-,-,-,5,-,-,-,-,-,-,u,-,-,-,b,-,-,-,-,-,-,-,-,u,-,-,n,-,-,-
dyaa1242,-,-,-,-,5,-,-,-,-,-,-,i,-,-,-,w,-,-,-,-,-,-,-,-,u,-,-,l,-,-,-
yidi1250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,u,m,a,n,-,-,-
dyir1250,-,-,-,-,5,-,-,-,-,-,-,u,-,-,-,N,-,-,-,-,-,-,-,-,u,-,-,l,-,-,-
