language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
gami1243,b,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,y,-,-,u,-,-
gami1243,b,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,y,-,-,u,-,-
wira1262,m,-,-,-,-,u,-,-,-,-,N,-,-,-,-,-,-,g,-,-,o,-,-
wang1291,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,l,-,-,o,-,-
muru1266,p,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,L,-,-,a,-,-
kumb1268,T,-,-,-,-,a,-,-,-,-,N,-,-,-,-,-,-,g,-,-,a,r,-
darl1243,k,-,-,-,-,u,-,-,-,-,r,-,-,a,-,-,-,5,-,-,a,-,-
guny1241,b,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,L,-,-,a,-,-
gugu1255,N,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,r,-,-,i,-,-
dyaa1242,b,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,l,-,-,a,-,-
yidi1250,b,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,n,b,-,a,-,-
paka1251,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,k,-,a,-,-
wikm1247,y,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,N,k,p,u,n,-
kuuk1238,t,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,l,-,-,i,-,-
gurd1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,a,T,-
ngaa1240,m,-,-,-,-,u,-,-,-,-,n,-,-,-,-,-,-,g,-,-,u,-,-
pint1251,m,-,-,-,-,u,-,-,-,-,n,-,-,-,-,-,-,N,-,-,u,-,-
pint1250,m,-,-,-,-,u,-,-,-,-,n,-,-,-,-,-,-,g,-,-,u,-,-
kuka1246,m,-,-,-,-,u,-,-,-,-,n,-,-,-,-,-,-,N,-,-,u,-,-
nyam1271,k,-,-,-,-,a,-,-,-,-,n,-,t,a,-,-,-,r,-,-,a,-,-
nyan1301,m,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,N,-,-,u,-,-
mart1256,N,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,5,T,-,u,-,-
wanm1242,T,i,r,-,-,a,-,-,-,-,-,-,-,-,-,-,-,r,-,-,a,-,-
kara1476,T,-,-,-,-,a,-,-,-,-,n,-,k,a,-,-,-,l,-,-,a,-,-
waja1257,g,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,b,-,-,u,-,-
bayu1240,N,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,L,-,-,a,5,-
dhal1245,p,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,l,-,-,a,n,-
dhar1247,p,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,l,-,-,a,n,-
kurr1243,m,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,N,-,-,u,n,-
ngar1287,g,u,l,a,m,a,-,-,-,-,-,-,-,-,-,-,-,r,-,-,a,-,-
yind1247,w,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,t,-,-,a,-,-
nyun1247,w,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,l,-,-,i,t,T
warl1254,p,-,-,-,-,a,-,-,-,-,L,-,-,-,-,-,-,p,-,-,a,-,-
guri1247,k,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,p,-,-,u,-,-
ngar1235,g,-,-,-,-,u,-,-,-,-,d,-,-,-,-,-,-,b,-,-,u,-,-
mudb1240,N,-,-,-,-,a,-,-,-,-,T,-,-,a,-,-,-,r,-,-,a,-,-
jaru1254,g,-,-,-,-,a,-,-,-,-,l,a,w,a,-,-,-,r,-,-,a,-,-
adny1235,y,-,-,-,-,a,-,-,-,-,l,-,d,a,-,k,a,v,-,-,a,n,i
naru1238,b,-,-,-,-,u,-,-,-,-,-,-,d,-,-,-,-,l,-,-,a,-,-
dier1241,d,-,-,-,-,i,-,-,-,-,l,-,-,-,-,-,-,t,T,-,a,-,-
yand1253,m,-,-,-,-,i,-,-,-,-,l,-,-,i,-,-,-,r,-,-,i,-,-
dhuw1249,w,-,-,-,-,a,-,-,-,-,m,-,-,-,-,-,-,b,-,-,a,l,-
djam1256,w,-,-,-,-,a,-,-,-,-,m,-,-,-,-,-,-,b,-,-,a,l,-
gupa1247,w,-,-,-,-,a,-,-,-,-,m,-,-,-,-,-,-,b,-,-,a,l,-
guma1253,w,-,-,-,-,a,-,-,-,-,m,-,-,-,-,-,-,b,-,-,a,l,-
djin1253,b,-,-,-,-,a,t,T,i,r,m,-,-,u,5,d,-,T,-,-,a,l,-
waga1260,N,-,-,-,-,i,-,-,-,-,l,e,N,a,-,-,-,l,-,-,a,-,-
warl1256,w,-,-,-,-,u,-,-,-,-,T,-,-,u,-,-,-,r,-,-,u,-,-
kala1377,b,-,r,-,-,u,-,-,-,-,-,-,-,-,-,-,-,m,-,-,a,d,-
alya1239,-,-,-,-,-,a,-,-,-,-,T,-,-,-,-,-,-,w,-,-,e,-,-
west2441,p,-,-,-,-,a,-,-,-,-,t,-,-,a,n,-,-,p,-,-,a,-,-
