language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36
gami1243,-,-,-,-,g,-,-,u,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,a,y,-,-,a,-,-,l,-,-,i,-,-
gami1243,-,-,-,-,g,-,-,u,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,a,y,-,-,a,-,-,l,-,-,i,-,-
wira1262,-,-,-,-,b,-,-,e,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,r,-,-,-,-,-
wang1291,-,-,-,-,m,-,-,e,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,a,k,-,-,o,-,-,-,-,-,-,-,-
muru1266,-,-,-,-,t,-,-,u,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,a,y,-,-,i,-,-,t,-,-,a,-,-
darl1243,-,-,-,-,n,-,-,u,-,-,-,-,n,-,-,-,k,-,-,-,-,-,-,o,-,-,-,-,-,-,r,-,-,-,-,-
marg1253,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,t,-,-,a,-,-
bidy1243,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,r,-,-,a,-,-
maya1280,-,-,-,-,w,-,-,a,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,t,i,N,i,-,-
kuku1273,-,-,-,-,b,-,-,u,-,-,-,-,l,-,-,-,w,-,-,-,-,-,-,a,-,-,-,-,-,-,r,-,-,a,-,-
dyaa1242,-,-,-,-,w,-,-,u,-,-,-,-,r,-,m,-,b,-,-,-,-,-,-,u,-,-,-,-,-,-,l,-,-,-,-,-
yidi1250,-,-,-,-,w,-,-,u,-,-,-,-,r,-,-,-,g,-,-,-,-,-,-,u,-,-,-,-,-,-,l,-,-,v,-,-
warr1255,-,-,-,-,y,-,-,i,-,-,-,-,-,-,m,-,b,-,-,-,-,-,-,u,-,-,-,-,-,-,r,-,-,-,-,-
paka1251,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,t,-,-,e,-,-
kuku1280,m,i,4,a,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,d,-,-,e,-,-
wikm1247,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,t,-,-,-,-,-
umpi1239,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,t,-,-,u,y,-
kuuk1238,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,t,-,-,u,y,-
gurd1238,m,-,-,-,p,o,5,i,-,-,-,-,N,-,-,-,k,u,-,-,-,-,-,a,-,-,-,-,-,-,t,-,-,-,-,-
pint1250,-,-,-,-,p,-,-,i,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,k,-,-,i,n,-
