language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
gami1243,-,-,-,-,b,-,-,a,-,-,m,-,-,-,-,-,-,-,-,-,-,a,n,-,-,d,-,-,-,i,-,-
gami1243,-,-,-,-,b,-,-,a,-,-,m,-,-,-,-,-,-,-,-,-,-,a,n,-,-,d,-,-,-,i,-,-
wira1262,-,-,-,-,p,-,-,a,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,l,-,-,-,i,-,-
wang1291,-,-,-,-,k,-,-,a,-,-,m,-,-,-,-,-,i,-,y,-,-,a,-,-,-,n,-,-,-,-,-,-
muru1266,-,-,-,-,m,u,k,i,-,-,m,-,-,-,-,-,-,-,-,-,-,u,-,-,-,k,-,-,-,i,-,-
kumb1268,-,-,-,-,p,-,-,a,-,-,r,-,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,-
darl1243,-,-,-,-,-,-,-,a,5,-,m,-,-,-,-,-,u,-,T,-,-,a,-,-,-,-,-,-,-,-,-,-
guny1241,-,-,-,-,y,-,-,a,-,-,p,-,-,-,-,-,-,-,-,-,-,u,-,-,-,t,-,-,-,u,-,-
marg1253,-,-,-,-,w,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,a,n,-
bidy1243,-,-,-,-,p,-,-,a,-,-,N,-,-,-,-,-,-,-,-,-,-,u,-,-,-,l,-,-,-,a,-,-
gugu1255,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,u,-,k,a,k,a,-,-,-,y,-,-,-,-,-,-
kuku1273,-,-,-,-,p,-,-,i,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,y,-,-,-,-,-,-
dyaa1242,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,y,-,-,-,i,-,-
