language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35
gami1243,-,-,b,-,-,-,-,u,-,-,-,-,b,-,-,-,-,-,-,i,-,-,-,l,-,-,-,-,-,a,-,-,-,-,-
gami1243,-,-,b,-,-,-,-,u,-,-,-,-,b,-,-,-,-,-,-,i,-,-,-,l,-,-,-,-,-,i,-,-,-,-,-
wira1262,-,-,g,i,r,a,r,u,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,r,-,-,-,-,-,a,-,-,-,-,-
wang1291,-,-,p,-,-,-,-,u,-,-,m,-,p,-,-,-,-,-,-,i,-,-,-,l,-,-,-,-,-,i,-,-,-,-,-
muru1266,N,a,y,-,-,-,-,i,-,-,n,-,N,-,-,-,-,-,-,a,-,-,-,y,-,-,-,-,-,i,n,-,-,-,-
kumb1268,-,-,b,-,-,-,-,u,-,-,m,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
darl1243,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,d,-,-,-,-,-,a,-,-,-,-,-
guny1241,-,-,b,-,-,-,-,u,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
marg1253,-,-,b,-,-,-,-,a,-,-,5,d,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
kung1258,-,-,b,-,-,-,-,u,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
gugu1255,-,-,b,-,-,-,-,u,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,r,-,-,-,-
kuku1273,-,-,b,-,-,-,-,u,-,-,-,-,n,-,-,T,-,-,-,u,-,-,-,r,-,-,-,-,-,i,l,-,-,-,-
dyaa1242,-,-,b,-,-,-,-,u,-,-,-,-,y,-,-,b,-,-,-,i,-,-,-,r,-,-,-,-,-,i,l,-,-,-,-
yidi1250,-,-,b,-,-,-,-,i,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
dyir1250,-,-,b,-,-,-,-,u,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,l,-,-,-,-
warr1255,-,-,b,-,-,-,-,u,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
