language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46
gami1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,u,-,-,-,l,-,-,-,-,i,-,b,-,-,-,-,-,-,a,-,-,-,-,-,-
gami1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,u,-,-,-,l,-,-,-,-,i,-,b,-,-,-,-,-,-,a,-,-,-,-,-,-
wira1262,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,u,-,-,-,l,-,-,a,N,u,n,b,-,-,-,-,-,-,a,-,-,-,-,y,-
wang1291,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,u,-,-,-,l,-,-,-,-,i,-,b,-,-,-,-,-,-,a,-,-,-,-,-,-
muru1266,-,b,-,-,u,-,r,-,-,u,-,-,-,-,-,-,-,-,g,-,-,u,-,-,-,l,-,-,o,-,y,a,m,-,-,-,-,-,-,a,-,-,-,-,n,-
kumb1268,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,u,-,-,-,l,-,-,a,r,i,-,g,-,-,-,-,-,-,a,r,u,g,u,n,-
darl1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,o,-,-,-,l,-,-,a,n,i,-,T,-,-,-,-,-,-,a,-,-,-,-,-,-
marg1253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,o,-,-,-,l,-,-,-,-,-,-,k,-,u,-,-,-,r,a,-,-,-,-,-,-
kung1258,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,i,-,-,-,r,i,-,-,-,-,-,-
bidy1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w,-,-,o,-,-,-,l,-,-,-,-,-,-,b,-,i,n,-,-,t,u,-,-,-,-,m,-
maya1280,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,u,-,-,-,r,-,p,a,-,y,a,w,-,a,N,g,a,r,i,-,-,-,-,-,-
gugu1255,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,u,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-
kuku1273,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,u,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,r,-
dyaa1242,-,-,-,-,-,-,d,-,-,a,-,-,-,-,-,-,-,-,w,-,-,u,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yidi1250,-,-,-,-,-,-,d,-,-,a,-,-,-,-,-,-,-,-,g,-,-,u,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dyir1250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,a,-,-,-,r,-,-,-,-,-,-,b,-,-,-,-,-,-,u,-,-,-,-,-,-
warr1255,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,a,-,-,-,r,-,-,-,-,-,-,b,-,-,-,-,-,-,u,-,-,-,-,-,-
paka1251,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,o,-,q,a,l,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-
kuku1280,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,o,-,7,e,l,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-
wikm1247,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,7,-,-,u,-,m,a,d,-,-,-,-,-,-,y,-,-,-,-,-,-,u,-,-,-,-,m,-
umpi1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,u,-,k,u,t,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
kuuk1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,u,-,l,n,t,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-
gurd1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,u,-,-,a,d,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,N,-
ngaa1240,-,-,-,-,-,-,m,-,-,a,n,-,-,-,-,-,-,-,k,-,-,u,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
pint1251,-,-,-,-,-,-,m,-,-,a,n,-,-,-,-,-,-,-,k,-,-,u,-,-,-,r,-,p,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
pitj1243,-,-,-,-,-,-,m,-,-,a,-,-,-,-,-,-,-,-,k,-,-,u,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
pint1250,t,T,i,r,i,-,p,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
kuka1246,-,-,-,-,-,-,m,-,-,a,-,-,-,-,-,-,-,-,N,-,-,u,-,-,-,r,-,b,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
nyam1271,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,u,-,T,a,r,a,p,a,-,-,-,w,-,a,-,r,a,T,a,-,-,-,-,-,-
nyan1301,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w,-,-,i,-,-,-,r,-,p,a,-,-,-,m,-,a,-,-,-,t,a,-,-,-,-,-,-
wanm1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,u,-,T,a,r,-,-,a,k,u,-,m,p,i,-,-,-,5,a,-,-,-,-,-,-
kara1476,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,u,d,T,a,r,-,-,a,-,-,-,w,-,a,-,r,-,-,a,-,-,-,-,n,T
