language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
gami1243,-,-,-,m,-,-,-,-,-,u,b,-,a,-,l,-,-,-,y,a,-,-,-,l,-,-,-,-,-,-,-,-
gami1243,-,-,-,m,-,-,-,-,-,u,b,-,a,-,l,-,-,-,y,a,-,-,-,l,-,-,-,-,-,-,-,-
wira1262,-,-,-,b,-,-,-,-,-,u,-,-,-,-,l,-,-,-,b,e,-,-,-,n,-,-,-,-,-,-,T,-
wang1291,-,-,-,N,-,-,-,-,-,u,-,-,-,-,r,-,-,-,g,a,m,b,o,n,-,-,-,-,-,-,-,-
muru1266,-,-,-,t,-,-,-,-,-,u,k,-,u,-,y,-,i,-,t,a,-,-,-,-,-,-,-,-,-,-,-,-
kumb1268,-,-,-,b,-,-,-,-,-,u,-,-,-,-,l,-,u,5,g,a,-,-,-,r,-,-,-,-,-,-,i,-
darl1243,-,-,-,b,-,-,-,-,-,-,-,-,a,-,L,-,u,-,g,a,-,-,-,-,-,-,-,-,-,-,-,-
guny1241,-,-,-,b,-,-,-,-,-,a,5,-,-,-,d,y,u,d,b,a,-,-,-,y,-,-,-,-,-,-,i,-
marg1253,-,-,-,b,-,-,-,-,-,a,-,-,-,-,t,-,i,-,b,a,-,-,-,r,-,-,-,-,-,-,i,-
gugu1255,-,-,-,g,-,-,-,-,-,a,-,-,-,-,-,N,-,-,g,a,-,-,-,l,-,-,-,t,T,-,i,r
kuku1273,-,-,-,k,-,-,-,-,-,u,-,-,-,-,l,N,-,-,k,u,-,-,-,l,-,-,-,-,-,-,-,-
dyaa1242,-,-,-,b,-,-,-,-,-,i,-,-,-,-,r,-,-,-,g,a,-,-,-,5,-,-,-,-,T,-,i,-
yidi1250,-,-,-,g,-,-,-,-,-,u,-,-,-,-,-,-,-,-,T,a,-,-,-,l,-,-,-,-,-,-,-,-
paka1251,-,-,-,t,-,-,-,-,-,i,p,-,a,-,l,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-
wikm1247,-,-,-,t,-,-,-,-,-,a,p,t,i,-,n,-,-,-,t,i,-,-,-,y,-,-,-,-,-,-,-,-
ngaa1240,k,a,-,p,-,-,-,-,-,i,-,-,-,-,N,-,u,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-
pint1251,t,-,-,T,-,-,-,-,-,u,-,-,-,-,n,-,i,t,T,a,-,-,-,r,-,-,-,-,-,-,a,-
pint1250,-,-,-,m,-,-,-,-,-,u,k,-,a,-,l,-,a,t,T,a,-,-,-,r,-,-,-,-,-,-,a,-
kuka1246,-,-,-,m,-,-,-,-,-,u,-,-,-,-,n,-,-,t,-,a,-,k,u,L,-,-,-,-,-,-,u,-
nyan1301,-,-,-,N,-,-,-,-,-,-,-,-,a,-,L,-,u,-,-,-,-,-,-,N,-,-,-,-,-,-,u,-
kara1476,-,-,-,d,-,-,-,-,-,o,-,-,-,-,l,-,o,-,-,-,-,-,-,N,-,-,-,-,-,-,o,-
nhan1238,-,a,-,b,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,L,-,-,a,-,w,-,a,-
waja1257,-,-,-,w,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,L,-,-,-,-,g,-,u,-
bayu1240,-,-,-,p,-,-,-,-,-,u,-,-,-,-,-,-,-,-,T,a,-,-,-,r,-,-,-,-,-,-,i,-
dhal1245,-,-,-,p,-,-,-,-,-,u,-,-,-,-,-,-,-,-,T,a,-,-,-,r,-,-,-,-,-,-,i,-
ngar1287,-,-,-,m,-,-,a,d,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,g,-,a,-
yind1247,-,-,-,m,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,g,-,u,-
nyun1247,T,o,r,p,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,e,l
warl1255,-,-,-,p,-,-,-,-,-,i,t,t,a,-,T,-,-,-,-,a,-,-,-,N,-,-,-,-,k,-,a,-
warl1254,-,-,-,N,-,-,-,-,-,-,-,-,a,-,y,-,-,-,-,a,-,-,-,r,-,-,-,-,k,-,a,-
waru1265,-,-,-,k,-,-,-,-,-,-,-,-,a,-,p,-,-,-,-,a,-,-,-,l,-,-,-,-,-,-,a,-
guri1247,-,-,-,m,-,-,-,-,-,u,n,t,a,-,t,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-
ngar1235,-,-,-,N,-,-,-,-,-,-,-,-,a,-,d,-,-,-,-,u,-,-,-,r,-,-,-,-,-,-,-,-
mudb1240,-,-,-,k,-,-,-,-,-,-,-,-,a,-,r,-,u,-,w,u,-,-,-,r,-,-,-,-,-,-,u,-
jaru1254,-,-,-,b,-,-,-,-,-,-,-,-,a,-,r,-,-,-,-,i,-,-,-,d,-,-,-,-,T,-,i,-
dier1241,-,-,-,m,-,-,-,-,-,-,-,-,a,n,d,-,a,-,b,u,-,-,-,r,-,-,-,-,-,-,u,-
yand1253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,u,n,d,-,r,u,m,i,n,T,-,i,-
yann1237,-,-,-,d,-,-,-,-,-,i,-,-,-,-,r,N,-,-,d,i,-,-,-,r,-,-,-,N,w,a,y,-
djin1253,-,-,-,g,a,p,a,L,m,i,-,-,-,-,r,-,-,-,p,i,-,-,-,l,-,-,-,-,-,-,i,-
alya1239,-,-,-,-,-,-,-,-,-,a,-,-,-,-,t,n,e,-,t,a,-,t,-,n,-,-,-,-,-,-,e,t
