language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
gami1243,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,l,-,-,-,a,-,i,-,-
gami1243,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,a,-,i,-,-
wira1262,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,l,-,-,-,-,-,i,n,e
muru1266,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,a,n,T,-,-
kumb1268,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,l,-,-,-,a,-,m,-,-
darl1243,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,l,-,d,-,a,-,-,-,-
guny1241,-,-,-,-,m,-,-,u,-,d,-,-,-,-,-,-,-,g,-,-,u,-,-,5,-,-,-,-,-,-,-,-
marg1253,-,-,-,-,b,-,-,a,n,d,-,-,-,-,-,-,-,-,-,-,i,-,-,l,-,-,-,-,-,-,-,-
kung1258,-,-,-,-,N,u,m,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-
bidy1243,-,-,-,-,m,-,-,a,-,r,-,-,-,-,-,-,-,k,-,-,o,-,-,r,-,-,-,a,-,-,-,-
maya1280,-,-,-,-,y,-,-,a,-,-,-,-,-,-,-,-,-,k,-,-,a,-,-,L,-,-,-,i,-,7,7,-
gugu1255,-,-,-,-,N,-,-,a,-,r,a,w,a,l,u,y,l,k,u,d,i,-,-,r,-,-,-,-,-,-,-,-
kuku1273,-,-,-,-,p,-,-,a,-,-,-,-,-,-,-,-,N,k,-,-,a,-,-,r,-,-,-,-,-,-,-,-
dyaa1242,-,-,-,-,d,-,-,-,-,-,-,-,-,-,u,-,m,b,-,-,u,-,-,l,-,-,-,-,-,-,-,-
yidi1250,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,g,-,-,-,a,-,-,-,-
dyir1250,-,-,-,-,m,-,-,a,-,-,-,-,-,-,-,-,-,g,-,-,a,-,-,r,-,-,-,a,-,-,-,-
warr1255,-,-,-,-,b,-,-,i,-,d,-,-,-,-,-,-,-,y,-,-,a,-,-,l,-,-,-,-,-,-,-,-
paka1251,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,k,-,-,u,-,-,-,-,-,-,-,-,-,-,-
kuku1280,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,k,-,-,u,-,-,-,-,-,-,-,-,-,-,-
wikm1247,-,-,-,-,p,-,-,e,-,-,-,-,-,-,-,-,-,7,-,-,n,-,-,-,-,-,-,-,-,-,-,-
umpi1239,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,w,-,-,a,-,-,y,-,-,-,-,-,-,-,-
kuuk1238,-,-,-,-,k,-,-,u,-,l,-,-,-,-,-,-,-,k,-,-,u,-,-,l,-,-,-,-,-,-,-,-
kanj1260,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,w,-,-,a,-,-,y,-,-,-,-,-,-,-,-
gurd1238,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,r,-,-,-,x,-,-,-,-
ngaa1240,-,m,i,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,r,-,-,-,a,-,-,-,-
