language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
gami1243,-,-,-,-,-,-,-,-,g,-,-,-,u,-,-,-,r,-,-,-,-,-,-,-,-,-,-,u,-,-
gami1243,-,-,-,-,-,-,-,-,g,-,-,-,u,-,-,-,r,-,-,-,-,-,-,-,-,-,-,u,-,-
wira1262,-,-,-,-,-,-,-,-,g,-,-,-,u,-,-,-,r,a,-,-,-,w,-,-,-,-,-,u,N,-
wang1291,-,-,-,-,-,-,-,-,k,-,-,-,u,-,-,-,r,-,-,-,-,-,-,-,-,-,-,u,-,-
muru1266,p,-,-,i,-,N,-,-,k,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
darl1243,-,-,-,-,-,-,-,-,g,-,-,-,u,d,-,-,d,-,-,-,-,-,-,-,-,-,-,i,-,-
dyaa1242,-,-,-,-,-,-,-,-,T,-,-,-,u,5,T,u,r,-,-,-,-,-,-,-,-,-,-,u,-,-
warr1255,-,-,-,-,-,-,-,-,g,-,-,-,u,d,y,i,l,-,-,-,-,-,-,-,-,-,-,a,-,-
paka1251,m,-,-,i,-,4,a,-,k,-,-,-,u,-,-,-,t,-,-,-,-,-,-,-,-,-,-,u,-,-
kuku1280,m,-,-,i,-,4,a,-,k,-,-,-,a,N,-,-,g,-,-,-,-,-,-,-,-,-,-,u,-,-
wikm1247,-,-,-,-,-,-,-,-,k,-,-,-,u,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-
kuuk1238,-,-,-,-,-,-,-,-,k,-,-,-,u,-,-,-,l,-,-,-,-,p,-,-,-,-,-,a,-,-
gurd1238,n,-,-,-,-,-,-,-,t,-,-,-,o,-,-,-,l,-,-,-,-,-,-,-,-,-,-,i,N,k
pint1250,n,-,-,a,-,t,a,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,i,-,-
kuka1246,n,-,-,-,-,T,a,-,-,-,-,-,-,-,-,-,l,-,-,-,-,g,-,-,-,-,-,o,-,-
nyam1271,m,-,-,u,-,5,a,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,i,-,-
nyan1301,m,-,-,i,-,t,a,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,a,-,-
wanm1242,m,-,-,i,-,t,a,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,a,-,-
kara1476,n,-,-,-,-,-,a,l,g,-,-,-,o,-,m,i,d,-,-,-,-,-,-,-,-,-,-,i,-,-
nhan1238,w,-,-,u,-,n,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,i,-,-
ngar1287,k,a,t,u,-,k,a,-,-,-,-,-,-,-,-,-,L,-,-,-,-,-,-,-,-,-,-,i,-,-
nyun1247,-,-,-,u,e,n,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-
warl1254,w,-,-,-,-,-,a,-,d,a,l,y,a,-,-,-,r,-,-,-,-,-,-,-,-,-,-,i,-,-
waru1265,p,-,-,-,-,-,a,-,k,-,-,-,u,-,-,-,r,-,-,-,-,-,-,-,-,-,-,u,-,-
guri1247,p,-,-,-,-,-,a,-,k,-,-,-,u,-,-,-,r,-,-,-,-,-,-,-,-,-,-,u,-,-
ngar1235,b,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,l,a,d,m,a,w,-,-,-,-,-,u,-,-
mudb1240,b,-,-,-,-,-,a,d,k,-,-,-,u,-,-,-,l,-,-,-,-,-,-,-,-,-,-,a,-,-
jaru1254,5,-,-,-,-,-,a,L,g,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
naru1238,m,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,i,-,-
dier1241,k,-,-,-,-,-,a,-,p,-,-,-,i,-,-,-,t,-,-,-,-,-,-,-,-,-,-,a,-,-
rita1239,w,-,-,-,-,-,a,n,g,-,-,-,u,-,-,-,r,-,-,-,-,-,-,-,-,-,-,a,-,7
yann1237,w,-,-,-,-,-,a,n,k,-,-,-,u,-,-,-,r,-,-,-,-,-,-,-,-,-,-,a,-,-
djin1253,w,-,-,-,-,-,a,n,g,-,-,-,u,-,-,-,r,-,-,-,-,-,-,-,-,-,-,a,-,-
waga1260,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,l,-,-,-,-,p,u,N,i,n,T,u,-,-
