language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28
gami1243,-,-,-,-,-,-,d,i,n,-,-,-,-,-,-,m,-,i,-,r,-,-,-,-,-,-,-,-
gami1243,-,-,-,-,-,-,d,i,n,-,-,-,-,-,-,m,-,i,-,r,-,-,-,-,-,-,-,-
wira1262,-,-,-,-,-,-,d,i,n,-,-,-,-,-,-,m,-,i,-,r,-,-,-,-,-,-,-,-
wang1291,-,-,-,-,-,-,d,i,l,-,-,-,-,-,-,m,-,u,-,r,-,-,e,-,-,-,-,-
muru1266,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,i,-,k,-,-,u,-,-,-,-,-
kumb1268,-,-,-,-,-,-,y,i,r,-,-,-,-,-,-,m,-,i,-,r,-,-,-,-,-,-,-,-
darl1243,-,-,-,-,-,-,m,i,N,-,-,g,-,-,u,b,-,u,-,l,-,g,i,-,-,-,-,-
gugu1255,-,-,-,-,-,-,n,i,n,-,-,-,-,-,-,g,-,a,-,-,-,-,-,-,-,-,-,-
dyaa1242,-,-,w,u,-,-,T,a,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yidi1250,-,-,-,-,-,-,b,a,n,-,-,-,-,-,-,b,-,i,-,-,-,-,-,-,-,-,-,-
warr1255,-,-,b,u,-,-,y,i,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
paka1251,-,-,-,-,-,-,m,e,t,-,-,-,-,-,a,t,-,a,-,-,-,-,-,-,-,-,-,-
wikm1247,-,-,-,-,-,-,m,e,7,-,-,-,-,-,-,p,-,a,-,m,-,-,-,-,-,-,-,-
umpi1239,-,-,-,-,-,-,m,i,l,-,-,-,-,-,-,m,-,u,-,y,-,-,-,-,-,-,-,-
ngaa1240,-,-,-,-,-,-,5,i,n,-,-,-,-,-,-,p,-,i,-,5,-,-,-,-,-,-,-,-
pint1251,k,u,r,u,-,-,5,i,n,-,-,-,-,-,-,p,-,i,-,n,-,p,a,-,-,-,-,-
pint1250,-,-,-,-,-,-,5,i,n,-,-,-,-,-,-,p,-,i,-,5,-,p,a,-,-,-,-,-
kuka1246,-,-,-,-,-,-,N,a,n,-,-,-,-,-,-,k,-,i,-,r,-,-,i,-,-,-,-,-
nyam1271,-,-,-,-,-,-,T,a,l,-,-,-,-,-,-,p,-,a,-,n,-,-,-,-,-,-,-,-
nyan1301,-,-,-,-,-,-,T,a,n,-,-,-,-,-,i,T,-,a,-,n,-,-,i,-,-,-,-,-
mart1256,-,-,-,-,-,-,5,a,n,-,-,-,-,-,-,p,-,i,-,5,-,p,a,-,-,-,-,-
wanm1242,-,-,-,-,-,-,5,a,n,-,-,-,-,-,-,p,-,i,-,5,-,-,-,-,-,-,-,-
kara1476,-,-,-,-,-,-,N,o,n,-,-,-,-,-,-,d,-,i,-,-,-,-,-,-,-,-,-,-
waja1257,-,-,-,-,-,-,5,a,n,-,-,-,-,-,i,m,-,i,-,4,-,-,-,-,-,-,-,-
bayu1240,-,-,-,-,-,-,4,a,4,-,-,-,-,-,i,m,-,a,-,r,-,-,a,-,-,-,-,-
dhar1247,-,-,-,-,-,-,m,i,n,-,-,-,-,-,-,m,-,i,-,d,-,b,i,-,-,-,-,-
kurr1243,-,-,-,-,-,-,5,a,n,-,-,-,-,-,-,-,-,-,-,t,-,-,i,-,-,-,-,-
yind1247,-,-,-,-,-,-,5,a,n,-,-,-,-,-,-,-,-,-,-,d,-,-,i,-,-,-,-,-
nyun1247,-,-,-,-,-,-,m,e,l,-,-,-,-,-,-,w,-,e,n,d,-,-,u,-,-,-,-,-
warl1255,-,-,-,-,-,-,y,i,l,p,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
warl1254,-,-,-,-,-,-,m,i,l,p,i,r,-,-,i,m,p,i,-,r,-,-,i,-,-,-,-,-
waru1265,-,-,-,-,-,-,m,i,r,p,-,-,-,-,i,n,p,-,-,-,-,-,i,-,-,-,-,-
guri1247,-,-,-,-,-,-,m,i,l,p,u,r,-,-,u,m,p,u,-,r,-,-,u,-,-,-,-,-
ngar1235,-,-,y,i,-,-,m,i,-,-,-,T,-,-,i,m,-,i,-,T,-,-,i,-,-,-,-,-
mudb1240,-,-,y,i,-,-,b,i,-,-,-,T,-,-,i,b,-,i,-,T,-,-,i,-,-,-,-,-
jaru1254,-,-,-,-,-,-,N,a,l,-,d,T,-,-,i,-,-,-,-,l,-,-,i,-,-,-,-,-
adny1235,-,-,-,-,-,-,v,i,-,-,-,-,-,-,-,-,-,-,-,k,-,-,u,-,-,-,-,-
naru1238,-,-,-,-,-,-,b,i,-,-,-,-,-,-,-,-,-,-,-,g,-,-,u,-,-,-,-,-
dier1241,-,-,-,-,-,-,m,i,l,-,-,-,-,-,-,k,-,i,-,k,-,-,u,-,t,T,a,-
