language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31
wang1291,k,u,-,p,-,a,-,-,-,-,-,-,-,-,-,-,l,-,-,i,-,-,-,-,-,-,-,-,-,-,-
muru1266,-,-,-,w,-,a,-,-,-,-,-,-,-,-,-,-,N,-,-,a,-,-,-,-,-,-,-,-,-,-,-
darl1243,d,u,r,g,-,u,-,-,l,-,-,-,-,-,-,u,N,-,-,u,-,-,-,-,-,-,-,-,-,-,-
guny1241,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,N,-,-,a,-,-,-,-,-,-,-,-,-,-,-
marg1253,-,-,-,d,-,i,-,-,-,-,-,-,-,-,-,-,d,-,b,a,-,-,-,-,-,-,-,-,-,-,-
kung1258,-,-,-,y,-,u,-,-,-,-,-,-,-,-,-,a,m,-,-,a,-,-,-,-,-,-,-,-,-,-,-
gugu1255,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,d,i,n,-,-,-,-,-
dyaa1242,d,u,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,y,-,-,-,-,-
warr1255,-,-,-,w,-,u,-,-,-,-,-,-,-,-,-,-,N,-,-,a,-,-,-,-,-,-,-,-,-,-,-
wikm1247,-,-,-,w,-,a,-,-,-,-,-,-,-,-,-,-,k,-,-,a,-,-,-,-,-,N,-,-,-,-,-
kuuk1238,-,-,-,w,-,a,-,-,-,-,-,-,-,-,-,-,l,-,p,a,-,-,-,t,i,n,-,-,a,-,-
gurd1238,N,-,-,k,-,o,-,-,-,-,-,-,-,-,-,-,l,-,-,a,-,-,-,-,-,N,-,-,k,-,-
pint1251,-,-,-,N,-,u,L,u,r,-,-,a,-,-,w,a,n,-,-,a,-,-,-,-,-,l,-,-,a,-,-
kuka1246,-,-,-,N,-,u,-,-,-,-,-,-,-,-,l,-,-,-,-,a,-,-,-,-,-,l,-,-,a,-,-
nyam1271,-,-,-,N,-,u,-,-,m,-,-,-,-,-,p,-,-,-,-,a,-,-,-,-,-,l,-,-,a,-,-
nyan1301,-,-,-,p,-,u,-,-,r,-,T,a,-,-,p,-,-,-,-,i,-,-,-,-,-,n,-,-,i,-,-
kara1476,-,-,-,T,-,i,-,-,-,-,-,-,-,-,-,-,n,-,-,a,-,-,-,-,-,n,-,p,a,-,-
nhan1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,a,-,-,-,-,-,d,-,-,a,-,-
bayu1240,-,-,-,k,-,u,d,u,N,-,-,-,-,-,g,a,n,-,m,a,-,-,-,-,-,y,-,-,i,-,-
dhal1245,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,a,N,-,-,a,-,-,-,-,-,l,-,g,i,n,-
dhar1247,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,i,n,-,-,i,-,-,-,-,-,r,-,-,i,a,-
pany1241,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,a,N,-,-,a,-,-,-,-,-,l,-,k,u,-,-
ngar1287,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,i,n,-,b,a,-,-,-,-,-,-,-,-,-,-,-
yind1247,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,i,n,-,b,a,-,-,-,-,-,-,-,-,-,-,-
nyun1247,-,-,-,m,-,u,-,-,r,-,-,-,-,-,d,-,-,-,-,a,-,-,-,-,-,l,a,N,i,N,y
warl1255,-,-,-,k,-,a,-,-,r,i,k,a,-,-,r,i,m,-,-,a,-,-,-,-,-,n,-,t,a,-,-
warl1254,-,-,-,N,-,i,-,-,y,-,-,-,-,-,-,i,p,-,-,i,-,-,-,-,-,5,-,-,i,-,-
waru1265,-,-,-,w,-,a,L,i,r,-,5,i,-,-,r,i,-,-,-,-,-,-,-,-,-,n,-,t,a,-,-
guri1247,-,-,-,k,-,a,y,i,p,-,-,a,-,-,-,-,n,-,-,a,-,-,-,-,-,n,-,-,a,-,-
ngar1235,-,-,-,w,-,a,g,u,d,-,-,u,-,-,-,-,d,-,-,u,-,-,-,-,-,d,-,-,u,-,-
mudb1240,-,-,-,k,-,i,-,-,d,-,-,i,-,-,-,-,k,-,-,i,-,-,-,-,-,d,-,-,i,-,-
