language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38
gami1243,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-
gami1243,-,p,o,m,-,-,-,o,-,-,a,-,n,-,-,-,d,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,e,-,-
wira1262,-,-,-,m,-,-,-,-,-,-,i,-,-,-,-,-,T,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-
wang1291,-,-,-,m,-,-,-,-,-,-,i,-,-,-,-,-,k,-,-,i,-,-,-,m,i,-,-,-,-,-,n,-,-,-,-,a,-,-
muru1266,-,w,a,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,n,-,-,-,-,T,-,-
kumb1268,-,-,-,m,-,-,-,-,-,-,a,-,L,-,a,w,g,-,-,a,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-
darl1243,-,-,-,b,-,-,-,-,-,-,i,-,n,-,-,-,d,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-
guny1241,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,g,u,-,-,r,-,-,-,-,u,-,-
marg1253,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,n,-,-,-,-,-,-,-,i,-,-,-,-,-,5,-,-,-,-,-,-,-
maya1280,-,-,-,y,-,-,-,-,-,-,a,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,b,a,-,-,r,-,-,-,-,i,-,-
gugu1255,-,-,-,d,-,-,-,-,-,-,a,r,i,m,a,-,l,-,-,-,-,-,-,-,i,-,g,o,l,o,n,d,a,m,b,a,r,-
kuku1273,-,-,-,b,-,-,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,a,y,-
dyaa1242,-,-,-,T,-,-,-,-,-,-,u,-,-,m,-,-,b,-,-,-,-,-,-,-,u,-,-,-,-,-,n,-,-,-,-,-,-,-
yidi1250,-,-,-,T,-,-,-,-,-,-,u,-,-,-,-,-,T,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-
dyir1250,-,-,-,p,-,-,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,-,-,m,e,-,-,-,-,-,n,-,-,-,-,o,-,-
warr1255,-,-,-,m,-,-,-,-,-,-,a,-,y,-,-,-,d,-,-,-,-,-,-,y,a,-,-,-,-,-,l,-,-,-,-,a,-,-
paka1251,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,y,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-
kuku1280,-,-,-,t,-,-,-,e,-,p,a,-,n,-,-,-,d,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
wikm1247,-,-,-,N,-,-,-,-,-,-,a,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kuuk1238,-,-,-,t,-,-,-,a,y,w,a,-,y,-,-,-,l,-,-,-,-,-,-,-,i,-,-,-,-,-,n,-,-,-,-,-,-,-
gurd1238,-,-,-,T,-,-,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-
ngaa1240,-,-,-,w,-,-,-,-,-,-,a,-,-,-,-,-,n,-,-,a,-,-,-,N,a,-,-,-,-,-,r,-,-,-,-,a,-,-
pint1251,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,i,-,-,-,m,a,-,-,-,-,-,r,-,-,-,-,a,-,-
pitj1243,-,-,-,w,-,-,-,-,-,-,i,-,-,-,-,-,n,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,a,-,-
kuka1246,-,-,-,w,-,-,-,-,-,-,i,-,-,-,-,-,n,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,a,-,-
nyam1271,-,-,-,w,-,-,-,-,-,-,i,-,-,-,-,-,l,u,T,-,-,-,-,-,u,-,-,-,-,-,r,-,-,-,-,a,-,-
nyan1301,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,r,-,T,i,-,-,-,m,a,-,-,-,-,-,r,-,-,-,T,i,-,-
wanm1242,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,l,-,y,u,p,a,r,m,a,-,-,-,-,-,l,-,-,-,-,a,-,-
kara1476,-,-,-,g,-,-,-,-,-,-,a,-,-,-,-,-,n,d,T,i,-,-,-,N,a,-,-,-,-,-,d,-,-,-,-,o,-,-
kara1476,-,-,-,g,-,-,-,-,-,-,a,-,-,-,-,-,n,d,T,i,-,-,-,N,a,-,-,-,-,-,d,-,-,-,-,o,-,-
waja1257,-,-,-,b,-,-,-,-,-,-,i,-,-,-,-,-,n,-,-,d,-,-,-,-,a,-,-,-,-,-,4,-,-,-,-,a,-,-
