language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33
gami1243,-,-,-,-,-,-,-,y,-,-,-,-,e,n,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-
wira1262,-,-,-,-,-,-,-,y,-,-,-,-,a,n,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,y,-,-,-
wang1291,-,-,-,-,-,-,-,y,-,-,-,-,a,n,-,-,-,-,-,-,-,a,-,k,-,i,r,-,-,i,-,-,-
muru1266,-,-,-,-,-,-,-,y,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kumb1268,T,i,n,a,N,g,u,y,-,-,-,-,a,n,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
darl1243,-,-,-,-,-,-,-,t,-,-,-,-,a,n,-,i,n,-,T,-,-,e,-,-,-,-,r,-,-,i,-,-,-
guny1241,-,-,-,-,-,-,-,w,-,-,-,-,a,-,-,-,-,-,b,-,-,a,-,-,-,-,-,-,-,-,-,-,-
marg1253,-,-,-,-,-,-,-,w,-,-,-,-,a,-,-,-,-,-,b,-,-,a,-,-,-,-,-,-,-,-,-,-,-
kung1258,-,-,-,-,-,-,-,m,-,-,-,-,a,n,-,-,-,-,d,-,-,a,-,-,-,-,-,-,-,-,-,-,-
bidy1243,-,-,-,-,-,-,-,w,-,-,-,-,a,d,-,-,-,-,y,-,-,a,-,-,-,-,-,-,-,-,-,-,-
gugu1255,-,-,-,-,-,-,-,d,-,-,-,-,a,d,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
kuku1273,-,-,-,-,-,-,-,T,-,-,-,-,i,l,-,-,-,-,b,-,-,a,-,-,-,-,-,-,-,-,-,-,-
dyaa1242,-,-,-,-,-,-,-,T,-,-,-,-,i,n,-,-,-,-,b,-,-,a,-,-,-,-,l,-,-,-,-,-,-
yidi1250,-,-,-,-,-,-,-,w,-,-,-,-,a,-,-,-,-,-,b,-,-,a,-,-,-,-,r,-,-,-,-,-,-
dyir1250,-,-,-,-,-,-,-,y,-,-,-,-,a,n,-,-,-,-,-,-,-,o,-,-,-,-,l,-,-,e,-,-,-
wikm1247,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,e,-,-,T,-,-,a,-,-,-,-,N,-,-,-,-,-,-
umpi1239,-,-,-,-,-,-,-,w,-,-,-,-,a,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
