language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41
gami1243,-,-,-,-,w,i,-,-,n,-,-,u,-,-,N,-,-,-,u,-,-,l,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-
gami1243,-,-,-,-,w,i,-,-,n,-,-,a,-,-,N,-,-,-,a,-,-,l,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-
wira1262,-,-,-,-,-,u,-,-,d,-,-,a,-,-,g,-,-,-,a,-,-,r,-,b,-,-,i,-,-,-,-,-,-,-,-,-,N,-,-,-,a
wang1291,-,-,-,-,w,i,-,-,n,-,-,u,-,-,N,-,-,-,-,-,-,g,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-
muru1266,-,-,-,-,p,i,-,-,n,-,-,-,-,-,-,-,-,-,a,-,-,t,-,-,-,-,i,-,-,-,-,-,-,-,-,-,n,-,-,-,a
kumb1268,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,a,-,-,r,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-
darl1243,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,r,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-
guny1241,-,-,-,-,-,-,-,-,-,-,-,i,-,-,m,-,-,b,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
marg1253,-,-,-,-,-,-,-,-,-,-,-,i,-,-,m,-,-,b,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kung1258,-,-,-,-,m,a,-,-,N,a,d,a,-,-,n,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kuku1273,-,-,-,-,-,-,-,-,5,-,-,a,-,-,T,-,-,-,i,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dyaa1242,-,-,-,-,b,i,-,-,n,-,-,a,-,-,N,u,n,d,a,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yidi1250,-,-,-,-,-,-,-,-,5,-,-,u,-,-,m,-,-,b,u,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dyir1250,-,-,-,-,-,-,-,-,N,-,-,a,-,-,m,-,-,b,a,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
warr1255,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,a,-,-,r,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-
paka1251,-,-,-,-,-,-,-,-,N,a,y,a,-,-,N,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kuku1280,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
wikm1247,-,-,-,-,-,-,-,-,N,a,l,a,-,-,m,-,-,p,a,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
umpi1239,-,-,-,-,-,-,-,-,N,-,-,a,-,-,m,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kuuk1238,-,-,-,-,-,-,-,-,N,-,-,a,-,-,m,-,-,-,i,-,-,n,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kanj1260,-,-,-,-,-,-,-,-,N,-,-,a,-,-,m,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
gurd1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ngaa1240,-,-,-,-,k,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,-,-,-,l,k,-,-,u
pitj1243,-,-,-,-,k,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,-,-,-,n,-,-,-,i
