language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
gami1243,-,-,-,-,b,-,-,-,i,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-
gami1243,-,-,-,-,b,-,-,-,i,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-
wira1262,-,-,-,-,b,-,-,-,i,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,a,-,-,N,-
wang1291,-,-,-,-,k,-,-,-,u,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,a,-,-,r,-
muru1266,-,-,-,-,g,u,-,-,a,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-
kumb1268,-,-,-,-,m,-,-,-,a,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,i,-,-,r,-
darl1243,-,-,-,-,b,-,-,-,a,r,i,d,T,i,r,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
guny1241,-,-,-,-,g,a,m,b,a,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
marg1253,-,-,-,-,g,a,m,b,a,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
gugu1255,-,-,-,-,k,-,-,-,a,-,-,-,-,-,d,-,-,-,e,-,g,o,-,-,-,-,-,-,-,-
kuku1273,-,-,-,-,k,-,-,-,a,-,-,-,-,-,l,-,-,-,a,-,k,a,l,b,a,y,-,-,-,-
dyaa1242,-,-,-,-,g,-,-,-,a,-,-,-,-,-,g,-,-,-,-,-,-,a,-,-,-,y,-,-,-,-
yidi1250,-,-,-,-,k,-,-,-,a,-,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
paka1251,-,a,n,a,k,-,-,-,a,-,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
kuku1280,-,-,-,-,k,-,-,-,a,-,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
wikm1247,-,-,-,-,k,-,-,-,a,-,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
umpi1239,-,-,-,-,k,-,-,-,a,-,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
kuuk1238,-,-,-,-,k,-,-,-,a,-,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
