language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26
madh1244,-,-,-,-,T,-,-,a,-,-,-,-,T,-,-,-,-,-,-,-,-,e,-,-,-,-
wadi1249,-,-,-,-,m,-,7,e,-,-,-,-,n,-,-,-,-,-,-,-,-,o,-,-,-,-
gund1249,-,-,-,-,T,-,-,a,-,-,-,-,T,-,-,-,-,-,-,-,-,e,-,-,-,-
wadi1260,-,-,-,-,m,e,k,a,-,-,-,-,n,-,-,-,-,-,-,-,-,a,-,-,-,-
wath1238,-,-,t,-,T,-,-,a,t,T,-,a,r,-,-,-,-,-,-,-,-,a,N,-,-,-
woiw1238,-,-,-,-,l,-,-,a,n,-,-,-,d,-,-,-,-,-,-,-,-,a,n,-,-,-
bung1264,-,-,t,-,T,-,-,a,-,-,-,-,t,-,-,-,-,-,-,-,-,i,-,-,-,-
yort1237,-,-,-,-,d,-,-,a,t,-,-,-,T,-,-,-,-,-,-,-,-,i,p,-,-,-
yabu1234,-,-,-,-,d,-,y,e,t,-,-,-,y,-,-,-,-,-,-,-,-,a,-,-,-,-
pall1243,-,-,-,-,t,-,-,a,y,-,-,i,g,-,-,-,-,-,-,-,-,a,-,-,-,-
dhud1236,-,-,-,-,t,-,-,-,-,-,-,i,g,-,-,-,-,-,-,-,-,a,-,-,-,-
wang1291,-,-,-,-,n,-,-,a,-,-,-,-,r,b,-,-,-,o,-,-,-,e,-,-,-,-
wira1262,-,-,-,-,b,-,-,o,-,-,-,-,r,-,-,-,-,-,-,-,-,e,-,-,-,-
gami1243,-,-,-,-,b,-,-,a,-,-,-,-,w,-,-,-,-,-,-,-,-,a,-,-,-,-
gami1243,-,-,-,-,b,-,-,a,-,-,-,-,w,-,-,-,-,-,-,-,-,a,-,-,-,-
yuwa1242,-,-,-,-,b,-,-,a,-,-,-,-,w,-,-,-,-,-,-,-,-,a,-,-,-,-
band1358,-,-,-,-,n,-,-,a,-,-,-,-,n,-,-,-,-,-,-,-,-,u,N,-,-,-
yuga1244,-,-,-,-,n,-,-,a,-,-,-,-,n,-,-,-,-,-,-,-,-,a,N,-,-,-
minj1242,-,-,-,-,n,-,-,u,-,-,-,-,n,-,-,-,-,-,-,-,-,u,N,-,-,-
yaga1262,-,-,d,-,T,-,-,a,-,-,-,-,d,T,-,-,-,-,-,-,-,i,N,-,-,-
yaga1256,-,-,-,-,d,-,-,a,-,-,-,-,d,T,-,-,-,-,-,-,-,i,N,-,-,-
baty1234,-,-,-,-,y,-,-,a,-,-,-,-,-,b,-,-,-,-,-,-,-,u,n,-,-,-
duun1241,-,-,d,-,T,-,-,a,-,-,-,-,d,T,-,-,-,-,-,-,-,i,-,-,-,-
birr1241,-,-,-,-,n,-,-,a,-,-,-,-,r,-,-,-,-,e,n,d,-,o,-,-,-,-
sydn1236,-,-,-,-,g,u,w,a,-,-,-,-,l,g,-,-,-,a,-,l,y,u,N,-,-,-
hawk1239,-,-,-,-,N,-,-,a,-,-,-,-,r,-,-,-,-,-,-,-,-,i,n,-,-,-
nort2760,-,-,-,-,d,-,-,a,-,-,-,-,d,-,-,-,-,-,-,-,-,u,N,-,-,-
ngun1277,-,-,-,-,g,-,-,u,-,-,-,-,l,-,-,-,-,-,-,-,-,u,N,-,-,-
ngar1297,-,-,-,-,N,-,-,a,-,-,-,-,m,-,-,-,-,-,-,-,-,a,n,-,-,-
thur1254,-,-,-,-,m,-,-,a,-,-,-,-,m,-,-,-,-,-,-,-,-,a,N,-,-,-
dhur1239,-,-,-,-,m,-,-,a,-,-,-,-,m,-,-,-,-,-,-,-,-,a,-,-,-,-
lowe1402,-,-,-,-,m,-,-,i,-,-,-,-,N,-,-,-,-,-,-,-,-,a,n,-,-,-
narr1259,-,-,-,-,m,-,-,a,-,-,-,-,r,-,-,-,-,-,-,-,-,a,n,o,w,i
alya1239,-,-,-,-,-,-,-,a,N,k,w,e,r,-,-,-,-,-,-,-,-,e,y,-,-,-
west2441,-,-,-,-,k,-,w,a,-,-,-,i,y,-,-,-,-,-,-,-,-,a,-,-,-,-
mbab1239,-,-,-,-,y,-,-,a,-,-,-,-,b,-,-,-,-,o,-,r,-,o,-,-,-,-
aghu1254,-,-,-,-,p,-,-,a,-,-,-,-,k,-,-,-,-,-,-,-,-,a,-,-,-,-
leni1238,-,-,k,i,y,-,-,i,-,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-
