language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46
gami1243,-,-,-,-,-,-,-,k,-,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,e,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,i,n,-,-,-,-
gami1243,-,-,-,-,-,-,-,k,-,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,e,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,i,n,-,-,-,-
wira1262,-,-,-,-,-,-,-,y,-,-,-,-,-,a,-,-,-,-,-,l,-,g,-,o,e,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,u,N,-,-,-,-
wang1291,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,r,-,b,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-
muru1266,-,-,-,-,-,-,-,p,-,-,-,-,-,a,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
kumb1268,-,-,-,-,-,-,-,b,-,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,u,-,-,-,N,-,-,-,-,-,-,g,-,-,-,-,i,-,-,-,-,-
darl1243,-,n,o,-,-,-,-,k,-,-,-,-,-,o,-,-,-,-,-,w,-,-,-,-,e,-,-,t,h,-,-,-,-,-,-,-,-,-,-,-,i,k,-,u,p,a
guny1241,-,-,-,-,-,-,-,N,-,-,-,-,-,a,4,-,-,-,-,d,-,-,-,-,a,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
marg1253,-,-,-,-,-,-,-,N,-,-,-,-,-,a,-,-,-,-,-,d,-,y,-,-,a,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
bidy1243,-,-,-,-,-,-,-,n,-,-,-,-,-,o,w,-,-,-,-,-,-,-,-,-,e,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kuku1273,-,-,-,-,-,-,-,w,-,-,-,-,-,a,w,-,-,-,-,-,-,-,-,-,o,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
dyaa1242,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,l,-,-,-,-,-,N,g,-,-,-,-,u,r,-,-,-,-
paka1251,-,-,-,-,-,-,-,w,-,-,-,-,-,e,-,-,-,-,-,T,e,m,-,-,a,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
wikm1247,-,N,a,-,-,-,-,k,a,-,-,m,-,u,-,-,-,-,-,t,a,m,-,-,a,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
umpi1239,-,-,-,-,-,-,-,p,-,-,-,-,-,u,-,-,-,-,-,T,-,-,-,-,a,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kuuk1238,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,n,k,u,n,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
gurd1238,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,l,N,k,n,T,a,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-
ngaa1240,-,-,-,-,-,-,-,k,-,-,-,-,-,a,p,i,t,T,i,r,-,-,-,-,a,-,-,-,t,-,-,-,-,-,-,T,-,-,-,-,a,-,-,-,-,-
pint1250,-,-,-,-,-,-,-,k,-,-,-,-,-,a,p,i,t,T,i,r,-,-,-,-,a,-,-,-,t,-,-,-,-,-,-,T,-,-,-,-,a,-,-,-,-,-
kuka1246,-,-,-,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,u,-,-,-,-,-
nyam1271,-,-,-,-,-,-,-,y,-,-,-,-,-,o,-,-,-,-,-,r,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,o,t,-,-,-,-
nyan1301,-,-,-,-,-,-,-,w,-,-,-,-,-,i,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
mart1256,-,-,-,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,u,-,-,-,-,-
wanm1242,-,-,-,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,a,-,-,-,-,-
kara1476,-,-,-,-,-,-,-,w,-,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,a,-,-,-,-,-
nhan1238,-,-,-,-,-,-,-,w,-,-,-,-,-,o,-,-,-,g,e,r,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,a,n,-,e,r,-
waja1257,-,-,-,-,-,-,-,y,-,-,-,-,-,u,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,n,-,-,-,-
bayu1240,-,-,-,-,-,-,-,k,a,m,-,b,-,a,-,-,-,-,-,d,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,r,i,-,-,m,a,-,-,-,-,-
dhal1245,-,-,-,-,-,-,-,k,u,n,-,-,-,u,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,a,-,-,-,-,-
dhar1247,-,-,-,-,-,-,-,k,a,-,-,p,-,a,-,-,-,-,-,d,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,a,-,-,-,-,-
kurr1243,-,-,-,-,-,-,-,p,-,-,-,-,-,i,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
