language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26
gami1243,-,-,-,-,-,g,-,-,u,-,-,n,-,a,-,g,u,-,-,-,-,-,l,-,a,-
gami1243,-,-,-,-,-,y,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,u,-
wira1262,-,-,-,-,-,g,-,-,u,-,-,n,-,a,N,g,a,-,-,-,-,-,l,-,a,N
wang1291,-,-,-,-,-,g,-,-,u,-,-,n,u,a,-,g,u,-,-,-,-,-,l,-,a,-
muru1266,-,-,-,-,-,p,-,-,a,-,-,n,-,-,-,-,-,-,-,-,-,-,t,-,a,-
darl1243,-,-,-,-,-,g,-,-,a,-,-,l,-,-,-,g,a,-,-,-,-,-,r,-,a,-
guny1241,-,-,-,-,-,b,-,-,a,-,-,n,-,-,-,d,a,-,-,-,-,-,d,-,a,-
marg1253,-,-,-,-,-,b,-,-,a,-,-,n,-,-,-,d,a,-,-,-,-,-,d,-,a,-
kung1258,-,-,-,-,-,b,-,-,a,-,-,n,-,-,-,-,-,-,-,-,-,-,d,-,a,-
maya1280,-,-,-,-,-,m,-,-,a,-,-,-,-,-,-,r,a,-,-,m,-,a,r,-,a,-
gugu1255,-,-,-,d,-,T,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,i,-
kuku1273,-,-,-,-,-,T,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,i,-
dyaa1242,-,-,-,-,-,T,-,-,i,-,-,n,-,-,-,g,a,-,-,-,-,-,l,-,-,-
yidi1250,-,-,-,-,-,y,-,-,i,-,-,-,-,-,-,g,a,-,-,-,-,-,n,-,-,-
warr1255,-,-,-,d,-,y,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,a,-
paka1251,-,-,-,a,-,k,-,-,u,-,-,-,-,-,-,p,a,-,-,-,-,-,4,t,a,-
