language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28
gami1243,-,-,-,g,-,-,-,-,u,-,-,l,-,-,-,-,-,-,-,i,-,-,y,-,-,a,-,-
gami1243,-,-,-,g,-,-,-,-,u,-,-,l,-,-,-,-,-,-,-,i,-,-,y,-,-,a,-,-
wira1262,-,-,-,b,-,-,-,-,i,-,-,r,-,-,a,-,g,-,-,u,-,-,n,-,-,-,-,-
wang1291,-,-,-,p,-,-,-,-,a,-,-,r,-,-,-,-,-,-,-,a,-,-,y,-,-,-,-,-
muru1266,-,-,-,k,-,-,-,-,a,-,-,t,-,-,-,-,-,-,-,u,-,-,k,-,-,a,t,u
darl1243,-,-,-,m,-,-,-,-,u,-,-,r,-,-,-,-,-,-,-,a,d,-,d,-,-,a,-,-
guny1241,-,-,-,y,-,-,-,-,a,-,-,-,-,-,-,-,b,-,-,a,-,-,n,-,-,a,-,-
marg1253,-,-,-,y,-,-,-,-,a,-,-,-,-,-,-,-,b,-,-,a,-,-,n,-,-,a,-,-
gugu1255,-,-,-,d,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,-,d,-,-,a,l,-
dyaa1242,-,-,-,g,-,-,-,-,i,-,-,r,-,-,i,-,g,-,-,i,-,-,r,-,-,i,-,-
yidi1250,-,-,-,g,-,-,-,-,u,-,-,-,-,-,-,-,y,-,-,-,-,-,g,-,-,a,-,-
warr1255,-,-,-,m,-,-,-,-,i,-,-,l,-,-,-,-,m,-,-,u,-,-,r,-,-,u,-,-
kuku1280,m,-,i,4,-,-,-,-,a,-,-,t,u,T,i,-,4,-,-,a,-,-,r,-,-,a,-,-
wikm1247,-,-,-,k,-,-,-,-,a,-,-,-,-,m,-,-,p,-,-,-,-,-,-,-,-,-,-,-
umpi1239,w,a,y,q,-,-,-,-,a,-,-,-,-,-,-,-,w,-,-,a,-,-,y,-,-,a,-,-
kuuk1238,w,a,y,7,-,-,-,-,a,-,-,-,-,-,-,-,w,-,-,a,-,-,y,-,-,a,-,-
gurd1238,-,-,-,-,-,-,-,-,o,-,e,r,-,m,-,-,p,-,-,-,-,-,-,-,-,-,-,-
ngaa1240,-,-,-,w,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,a,-,-
