language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37
gami1243,-,y,-,-,-,-,-,-,-,u,l,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,a,-,-,-,-
gami1243,-,y,-,-,-,-,-,-,-,u,l,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,a,-,-,-,-
wira1262,-,d,-,-,a,N,-,-,-,a,r,-,-,-,-,u,-,m,-,-,-,a,-,-,-,-,4,-,-,-,-,-,a,-,-,-,-
wang1291,-,w,-,-,a,k,a,k,-,i,r,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
muru1266,-,t,-,-,a,N,-,k,-,u,r,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-
darl1243,-,g,-,-,-,-,-,-,-,a,r,g,-,-,-,a,r,g,-,-,-,a,-,-,-,-,l,-,-,-,-,-,a,-,-,-,-
marg1253,-,w,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,a,-,-,-,-
dyaa1242,-,w,-,-,-,-,-,-,-,a,r,m,a,d,T,u,-,n,-,-,-,-,-,-,-,-,d,-,-,-,-,-,a,y,-,-,-
dyir1250,d,y,-,-,-,-,-,-,-,a,l,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,b,-,-,-,-,-,i,l,-,-,-
warr1255,-,5,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,-,i,-,-,-,-
kuku1280,-,-,-,-,-,-,-,k,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,-,i,-,-,-,-
wikm1247,-,p,-,-,u,N,-,k,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-
umpi1239,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,q,-,-,-,-,-,i,-,-,-,-
gurd1238,-,N,-,-,-,-,-,k,u,a,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-
ngaa1240,-,t,-,-,-,-,-,-,-,u,L,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-
pint1251,-,5,-,-,-,-,-,-,-,a,n,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
kuka1246,-,k,-,-,-,-,-,-,-,a,n,-,-,-,-,-,-,t,-,-,-,u,-,-,-,-,l,-,-,-,-,-,a,-,-,-,-
nyan1301,-,T,-,-,-,-,-,-,-,u,r,k,-,-,-,a,-,p,-,-,-,i,-,-,-,-,n,-,-,-,-,-,i,-,-,-,-
mart1256,-,T,-,-,-,-,-,-,-,u,r,k,-,-,-,a,-,p,-,-,-,u,-,-,-,-,N,-,-,-,-,-,u,-,-,-,-
wanm1242,-,t,-,-,-,-,-,-,-,a,r,-,-,-,-,a,-,p,a,-,r,i,-,-,-,-,T,-,-,-,-,-,u,w,-,a,-
nhan1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,4,-,-,-,-,-,i,-,-,-,-
waja1257,-,g,-,-,-,-,-,-,-,a,y,-,-,-,-,i,-,m,-,-,-,a,-,-,-,-,4,-,-,-,-,-,a,-,-,-,-
bayu1240,-,N,-,-,-,-,-,-,-,u,r,-,-,-,-,a,-,t,-,-,-,a,-,-,-,-,r,-,-,-,-,-,i,m,-,a,-
dhal1245,-,m,-,-,-,-,-,-,-,u,g,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,i,n,-,-,-
dhar1247,-,m,-,-,-,-,-,-,-,u,g,-,-,-,-,a,-,m,-,-,-,a,-,-,-,-,r,-,-,-,-,-,u,-,-,-,-
pany1241,-,y,-,-,-,-,-,-,-,i,r,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
ngar1287,-,N,-,-,-,-,-,-,-,u,r,-,-,-,-,u,-,N,-,-,-,u,-,-,-,-,r,-,-,-,-,-,u,-,-,-,-
nyun1247,-,y,-,-,-,-,-,-,-,e,n,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
warl1255,-,T,-,-,-,-,-,-,-,u,r,-,-,-,-,u,-,T,-,-,-,u,-,-,-,-,r,u,k,a,-,r,a,-,-,-,-
warl1254,-,m,-,-,-,-,-,-,-,u,r,-,-,-,-,-,-,m,-,-,-,u,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-
waru1265,-,k,-,-,-,-,-,-,-,i,r,-,-,-,-,-,-,k,-,-,-,i,-,-,-,-,t,-,-,-,-,-,a,-,-,-,-
guri1247,-,w,-,-,-,-,-,-,-,a,r,-,-,-,-,-,-,k,a,-,p,w,a,5,T,a,n,-,-,a,-,n,a,-,-,-,-
ngar1235,-,w,-,-,-,-,-,-,-,a,r,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,b,-,-,-
jaru1254,-,b,-,-,-,-,-,-,-,a,l,-,-,-,-,i,-,b,i,-,b,u,-,-,-,-,N,-,-,-,-,-,a,n,-,-,-
walm1241,-,T,-,-,-,-,-,-,-,u,T,-,-,-,-,u,-,k,a,-,T,i,-,-,-,-,l,-,-,-,-,-,a,5,p,u,t
adny1235,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,b,a,-,-,-,-
naru1238,-,g,-,-,-,-,-,-,-,u,r,-,-,-,-,i,-,b,-,-,-,u,-,-,-,-,N,-,g,u,d,T,a,-,-,-,-
dier1241,-,w,i,m,a,-,-,k,-,i,l,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,t,a,-,-,-,-
yand1253,-,d,-,-,-,-,-,-,-,-,r,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,a,-,-,-,-
dhuw1249,-,g,-,-,-,-,-,-,-,i,r,-,-,-,-,i,t,T,-,-,-,i,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-
djam1256,-,g,-,-,-,-,-,-,-,i,r,-,-,-,-,i,t,T,-,-,-,i,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-
gupa1247,-,g,-,-,-,-,-,-,-,i,r,-,-,-,-,i,-,T,-,-,-,i,-,-,-,-,r,-,-,-,-,-,i,-,-,-,-
dhan1270,-,b,-,-,-,-,-,-,-,u,r,-,-,-,-,-,7,y,-,-,-,u,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-
dayi1244,-,b,-,-,-,-,-,-,-,u,N,-,-,-,-,-,-,g,-,-,-,u,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-
yann1237,-,w,-,-,-,-,-,-,-,a,r,-,-,-,-,-,t,T,-,-,-,i,-,-,-,-,r,-,-,-,-,-,i,-,-,-,-
djin1253,-,w,-,-,-,-,-,-,-,a,l,-,-,-,-,-,-,N,-,-,-,i,-,-,-,-,r,-,-,i,-,T,i,-,-,-,-
waga1260,-,w,-,-,-,-,-,-,-,e,n,-,-,-,-,i,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
warl1256,-,L,-,-,-,-,-,-,-,a,T,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yany1243,-,l,-,-,-,-,-,-,-,a,n,-,-,-,-,i,-,m,a,n,t,a,-,-,-,-,r,-,-,-,-,-,a,-,-,-,-
kala1377,-,g,-,-,-,-,-,-,-,i,r,-,-,-,-,e,-,r,-,-,-,a,-,-,-,-,d,-,-,a,-,-,i,-,-,-,-
alya1239,-,t,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,t,-,-,-,w,e,-,-,-,y,-,-,-,-,-,e,l,-,-,-
west2441,-,u,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-
