language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50
gami1243,-,-,-,-,-,-,-,-,-,-,w,-,-,-,i,-,-,-,n,-,-,-,-,-,-,a,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,a,-,-,-,y,-,-
gami1243,-,-,-,-,-,-,-,-,-,-,w,-,-,-,i,-,-,-,n,-,-,-,-,-,-,a,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,a,-,-,-,y,-,-
wira1262,-,-,-,-,-,-,-,-,-,-,w,-,-,-,i,-,-,-,n,a,g,g,-,-,-,a,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
wang1291,-,-,-,-,-,-,-,-,-,-,w,-,-,-,i,-,-,-,n,-,-,-,-,-,-,a,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,a,k,i,r,i,-,-
muru1266,-,-,-,-,-,-,-,-,-,-,p,-,-,-,i,-,-,-,n,-,-,-,-,-,-,a,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,p,-,i,-,-,-,-,-,-
kumb1268,-,-,-,-,-,-,-,-,-,-,N,-,-,-,a,-,-,-,r,-,-,-,-,-,-,a,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
darl1243,-,-,-,-,-,-,-,-,-,-,y,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
marg1253,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,r,-,-,-,i,b,i,n,-,-,-,-,-,-,-,d,-,a,-,-,-,-,-,-
kung1258,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,r,-,-,-,i,-,-,-,-,-,-,-,-,-,-,l,m,a,-,-,-,-,-,-
kuku1273,-,-,-,-,-,-,-,-,-,-,m,-,-,-,i,-,-,-,l,-,-,-,-,-,-,-,k,-,a,b,u,b,a,y,-,-,-,-,-,-,-,k,-,a,-,-,-,l,-,-
dyaa1242,-,-,-,-,-,-,-,-,-,-,b,-,-,-,i,-,-,-,n,-,-,-,-,-,-,a,N,-,-,-,u,-,-,n,-,-,-,-,-,-,-,d,-,a,-,-,-,l,-,-
yidi1250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,u,-,-,n,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
wikm1247,-,-,-,-,-,-,-,-,-,-,k,-,-,-,o,n,t,o,7,-,-,-,-,-,-,a,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,a,-,-,-,N,-,-
umpi1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,a,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,p,-,a,-,-,-,-,-,-
kuuk1238,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,a,T,-,-,i,-,-,-,a,l,-,-,-,i,-,-,5,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
gurd1238,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,n,k,o,-,-,-,-,-,d,-,a,-,-,-,y,-,-
ngaa1240,-,-,-,-,-,-,-,-,-,-,k,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,i,-,-,l,-,-,-,-,-,-,-,k,-,u,-,-,-,-,-,-
pint1251,-,-,p,-,i,n,a,N,k,u,k,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,i,-,-,n,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
pitj1243,-,-,-,-,-,-,-,-,-,-,k,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,i,-,-,n,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
pint1250,-,-,m,-,i,-,-,-,-,-,k,a,-,w,u,-,-,-,t,-,-,-,-,-,-,a,r,-,-,-,i,-,-,N,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-
kuka1246,-,-,w,-,u,r,-,-,-,-,k,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,i,-,-,l,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
nyam1271,-,-,-,-,-,-,-,-,-,-,k,-,-,-,u,-,-,-,L,-,-,k,a,n,k,a,r,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
nyan1301,-,-,-,-,-,-,-,-,-,-,k,-,-,-,u,-,-,-,L,-,-,k,-,-,-,a,r,-,-,-,i,m,a,n,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
mart1256,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,a,N,k,u,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-
wanm1242,-,-,-,-,-,-,-,-,-,-,k,-,-,-,u,-,-,-,w,-,-,-,a,n,t,a,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
kara1476,-,-,-,-,-,-,-,-,-,-,b,-,-,-,i,-,-,-,d,-,-,T,-,-,-,a,l,-,-,m,a,-,-,n,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
kara1476,-,-,-,-,-,-,-,-,-,-,b,-,-,-,i,-,-,-,d,-,-,T,-,-,-,a,l,-,-,m,a,-,-,n,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
bayu1240,-,-,-,-,-,-,-,-,-,-,k,-,-,-,u,-,-,-,l,i,-,y,-,-,-,a,r,-,-,-,i,-,-,m,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
dhar1247,-,-,-,-,-,-,-,-,-,-,w,-,-,-,u,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
kurr1243,-,-,-,-,-,-,-,-,-,-,k,-,-,-,u,-,-,-,L,-,-,k,-,-,-,a,y,-,-,-,i,5,-,T,-,-,-,-,-,-,-,-,-,a,-,-,-,l,-,-
pany1241,-,-,-,-,-,-,-,-,-,-,k,-,-,-,u,-,-,-,L,-,-,k,-,-,-,a,y,-,-,-,i,-,-,k,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-
ngar1287,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,5,-,-,-,a,-,-,b,-,-,-,-,-,-,-,-,-,a,-,-,-,r,i,-
yind1247,-,-,-,-,-,-,-,-,-,-,g,-,-,-,u,-,-,-,r,-,-,g,-,-,-,a,5,-,-,-,-,-,-,T,-,-,-,-,-,-,-,-,-,a,-,-,-,g,u,-
nyun1247,-,-,-,-,-,-,-,-,-,-,k,-,-,-,u,-,-,-,d,-,-,-,-,-,-,a,d,-,-,y,i,-,-,N,-,-,-,-,-,-,-,-,-,i,-,-,-,N,y,-
warl1254,-,-,-,-,-,-,-,-,-,-,m,a,n,g,i,-,-,-,5,-,-,-,-,-,-,a,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
waru1265,-,-,-,-,-,-,-,-,-,-,p,-,-,-,i,-,-,-,n,-,-,-,-,-,-,a,n,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
guri1247,-,-,-,-,-,-,-,-,-,-,N,-,-,-,u,-,-,-,r,-,-,-,-,-,-,a,n,k,a,r,i,5,a,n,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
mudb1240,-,-,-,-,-,-,-,-,-,-,N,-,-,-,a,-,-,-,d,-,-,T,-,-,-,a,n,-,i,r,-,-,a,m,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
jaru1254,-,-,-,-,-,-,-,-,-,-,b,-,-,-,u,-,-,-,r,-,-,-,-,-,-,a,n,-,-,-,i,-,-,n,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
adny1235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,L,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
dier1241,-,-,-,-,-,-,-,-,-,-,N,-,-,-,u,n,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
yand1253,-,-,-,-,-,-,-,-,-,-,k,-,-,-,i,-,-,-,l,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
dhuw1249,-,-,-,-,-,-,-,-,-,-,g,-,-,-,u,-,-,-,y,-,-,-,-,-,-,a,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,i,-,-,-,r,-,-
djam1256,-,-,-,-,-,-,-,-,-,-,g,-,-,-,u,-,-,-,y,-,-,-,-,-,-,a,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
gupa1247,-,-,-,-,-,-,-,-,-,-,g,-,-,-,u,-,-,-,y,-,-,-,-,-,-,a,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,i,-,-,-,r,-,-
guma1253,-,-,-,-,-,-,-,-,-,-,g,-,-,-,u,-,-,-,y,-,-,-,-,-,-,a,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,i,-,-,-,r,-,-
dhan1270,-,-,-,-,-,-,-,-,-,-,g,-,-,-,u,-,-,-,y,-,-,-,-,-,-,a,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,i,-,-,-,r,-,-
dayi1244,-,-,-,-,-,-,-,-,-,-,g,-,-,-,u,-,-,-,y,-,-,-,-,-,-,a,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,i,-,-,-,y,i,n
rita1239,-,-,-,-,-,-,-,-,-,-,g,-,-,-,u,-,-,-,y,-,-,-,-,-,-,a,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
yann1237,-,-,-,-,-,-,-,-,-,-,g,-,-,-,a,-,-,-,y,-,-,-,-,-,-,a,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
djin1253,-,-,-,-,-,-,-,-,-,-,g,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,i,-,-,-,T,i,-
waga1260,-,-,m,-,u,n,-,-,-,-,k,-,-,-,u,-,-,-,w,-,-,-,-,-,-,a,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
