language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28
gami1243,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,h,-,-
gami1243,d,a,y,-,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,l,-,-
wira1262,-,-,-,-,w,-,-,-,-,-,-,-,u,-,-,-,r,-,-,-,-,-,-,-,a,N,-,-
wang1291,-,-,-,-,w,-,-,-,-,-,-,-,u,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-
muru1266,-,-,-,-,b,a,m,b,a,m,-,-,a,-,-,-,r,-,-,N,-,-,-,-,a,n,-,-
kumb1268,-,-,-,-,m,-,-,-,-,-,-,-,a,-,-,-,r,-,-,-,-,-,-,-,a,-,-,-
darl1243,t,e,t,e,b,-,-,-,-,-,-,-,o,-,-,-,l,-,-,k,-,-,-,-,a,-,-,-
guny1241,-,-,-,-,d,-,-,-,-,-,-,-,u,-,-,-,r,-,-,-,-,-,-,-,u,5,-,-
marg1253,-,-,-,-,d,-,-,-,-,-,-,-,u,-,-,-,r,-,-,-,-,-,-,-,u,5,-,-
kung1258,-,-,-,-,g,-,-,-,-,-,-,-,a,-,-,-,d,-,-,-,-,-,-,-,a,-,-,-
bidy1243,-,-,-,-,w,-,-,-,-,-,-,-,o,-,-,-,r,-,-,-,-,-,-,-,o,-,-,-
maya1280,-,-,-,-,w,-,-,-,-,-,-,-,a,-,-,-,r,u,m,p,-,-,-,-,u,-,-,-
gugu1255,-,-,-,-,m,-,-,-,-,-,-,-,o,-,-,-,r,-,-,y,-,-,-,-,e,-,-,-
kuku1273,-,-,-,-,m,-,-,-,-,-,-,-,u,-,-,-,N,-,-,k,-,-,-,-,a,-,-,-
dyaa1242,-,-,-,-,g,-,-,-,-,-,-,-,u,-,-,-,l,-,m,b,-,-,-,-,u,-,-,-
yidi1250,-,-,-,-,m,-,-,-,-,-,-,-,a,-,-,-,r,-,-,-,-,-,-,-,a,i,-,-
dyir1250,-,-,-,-,m,-,-,-,-,-,-,-,o,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-
warr1255,-,-,-,-,m,-,-,-,-,-,-,-,u,-,-,-,r,-,-,-,-,-,-,-,a,y,-,-
paka1251,-,-,-,-,p,-,-,-,-,-,-,-,a,-,-,-,5,-,-,T,-,-,-,-,i,-,-,-
kuku1280,-,-,-,-,y,-,-,-,-,-,-,-,e,-,-,-,N,-,-,-,-,-,-,-,a,n,-,-
wikm1247,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,N,-,-,k,-,-,-,-,a,l,a,m
umpi1239,-,-,-,-,y,-,-,-,-,-,-,-,a,-,-,-,N,-,-,-,-,-,-,-,a,n,-,-
