language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34
gami1243,-,-,-,-,b,-,-,-,i,-,-,l,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,r,-,-,-,-,-
gami1243,-,-,-,-,b,-,-,-,i,-,-,l,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,r,-,-,-,-,-
wira1262,-,-,-,-,t,-,-,-,u,-,-,l,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-
wang1291,-,-,-,-,m,-,-,-,u,-,-,r,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
muru1266,-,-,-,-,k,-,-,-,u,-,-,l,-,-,-,i,-,-,-,y,-,-,-,a,-,-,-,-,-,-,-,-,-,-
kumb1268,-,-,-,-,g,-,-,-,a,-,-,m,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,y,-,-,-,-,-
darl1243,-,-,-,-,k,-,-,-,a,-,-,r,-,-,k,o,-,-,-,r,-,-,-,o,-,-,-,-,-,-,-,-,-,-
guny1241,-,-,-,-,w,-,-,-,a,-,-,m,-,-,-,a,-,-,-,r,-,-,-,a,-,-,-,-,-,-,-,-,-,-
marg1253,-,b,i,-,w,-,-,-,-,-,-,-,-,-,-,i,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kung1258,-,-,-,-,g,-,-,-,u,-,-,l,-,-,-,i,-,-,-,r,-,-,-,a,-,-,-,-,-,-,-,-,-,-
bidy1243,-,-,-,-,k,-,-,-,u,-,-,l,-,-,-,-,-,-,-,y,-,-,-,a,-,-,-,-,-,-,-,-,-,-
maya1280,-,-,-,-,k,-,-,-,u,-,-,N,-,-,-,-,-,-,-,g,-,-,-,u,-,-,-,-,n,-,-,-,-,-
gugu1255,-,-,-,-,g,-,-,-,u,-,-,l,-,-,-,-,-,-,-,k,-,-,-,a,-,-,-,-,-,-,-,-,-,-
kuku1273,-,-,-,-,k,-,-,-,a,-,-,l,-,-,-,-,-,-,-,k,-,-,-,a,-,-,-,-,-,-,-,-,-,-
dyaa1242,-,b,i,-,w,-,-,-,u,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yidi1250,-,-,-,-,g,-,-,-,a,-,-,l,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
dyir1250,-,-,-,-,b,-,-,-,a,-,-,r,-,-,-,-,-,-,-,g,-,-,-,a,-,-,-,-,-,-,-,-,-,-
warr1255,-,-,-,-,b,-,-,-,a,-,-,N,-,-,-,-,-,-,-,g,-,-,-,a,-,-,-,-,y,-,-,-,-,-
paka1251,-,-,-,-,k,-,-,-,e,-,-,-,-,-,-,-,-,-,-,k,-,-,-,a,-,-,-,-,-,-,-,-,-,-
kuku1280,-,-,-,-,k,-,-,-,e,-,-,-,-,-,-,-,-,-,-,k,-,-,-,a,-,-,-,-,-,-,-,-,-,-
wikm1247,-,-,-,-,k,-,-,-,e,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-
umpi1239,-,-,-,-,k,-,-,-,a,-,-,l,-,-,-,-,-,-,-,k,-,-,-,a,-,-,-,-,-,-,-,-,-,-
kuuk1238,-,-,-,-,k,-,-,-,a,-,-,l,-,-,-,-,-,-,-,k,-,-,-,a,-,-,-,-,-,-,-,-,-,-
gurd1238,-,-,-,-,-,-,-,-,a,-,-,l,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ngaa1240,-,-,-,-,k,-,-,-,u,-,-,L,-,-,-,a,-,-,-,t,-,-,-,a,-,-,-,-,-,-,-,-,-,-
pint1251,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,a,-,-,-,t,-,T,-,i,-,-,-,-,-,-,-,-,-,-
pitj1243,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,k,-,-,-,a,-,-,-,-,-,-,-,-,-,-
pint1250,-,-,-,-,p,-,-,-,i,-,-,n,t,i,p,i,-,n,-,t,-,-,-,i,-,-,-,-,-,-,-,-,-,-
kuka1246,-,-,-,-,g,-,-,-,u,-,-,l,-,-,-,a,-,-,-,d,-,-,-,a,-,-,-,-,-,-,-,-,-,-
nyam1271,-,-,-,-,k,-,-,-,u,-,-,r,-,-,T,a,-,-,-,t,-,-,-,a,-,-,-,-,-,-,-,-,-,-
nyan1301,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,a,-,n,-,t,a,n,-,a,-,-,-,-,-,-,-,-,-,-
mart1256,-,-,-,-,T,-,-,-,a,-,-,r,-,a,p,a,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-
wanm1242,-,-,-,-,k,-,-,-,a,-,-,r,-,-,p,a,-,-,-,t,-,-,-,a,-,-,-,-,-,-,-,-,-,-
kara1476,-,-,-,-,g,-,-,-,o,-,-,r,-,-,-,a,-,d,-,T,a,d,-,a,-,-,-,-,-,-,-,-,-,-
kara1476,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,a,-,n,-,t,a,n,p,a,-,-,-,-,-,-,-,-,-,-
nhan1238,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,i,-,-,-,d,-,-,-,a,-,-,-,-,-,-,-,-,-,-
waja1257,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,i,-,-,-,r,-,-,-,a,-,-,-,-,N,-,u,-,-,-
bayu1240,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,a,-,-,-,d,a,n,m,a,-,-,-,-,-,-,-,-,-,-
dhal1245,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,5,T,u,-,-,-,-,-,-,-,-,-,-
dhar1247,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,a,-,-,-,d,-,-,-,a,-,-,-,-,-,-,-,-,-,-
kurr1243,-,-,-,-,k,-,-,-,u,-,-,r,-,-,y,a,-,-,-,t,-,-,-,a,-,-,-,-,-,-,-,-,-,-
pany1241,-,-,-,-,k,-,-,-,u,-,-,r,-,-,T,a,-,-,-,t,-,-,-,a,-,-,-,-,-,-,-,-,-,-
ngar1287,-,-,-,-,g,-,-,-,u,-,-,r,-,-,T,a,-,-,-,d,-,-,-,a,-,-,-,-,-,-,-,-,-,-
yind1247,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,a,-,-,-,d,-,-,-,a,-,-,-,-,g,-,u,-,-,-
nyun1247,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,i,-,-,-,d,-,g,-,e,-,-,-,-,y,-,-,-,-,-
warl1255,-,-,-,-,k,-,-,-,a,-,-,L,-,a,T,a,-,-,-,r,-,-,-,a,-,-,-,-,-,-,-,-,-,-
warl1254,-,-,-,-,k,-,-,-,u,-,-,L,-,-,-,a,-,-,-,d,-,-,-,a,-,-,-,-,-,-,-,-,-,-
waru1265,-,-,-,-,k,-,-,-,a,-,-,r,-,a,L,a,-,-,-,L,-,-,-,a,-,-,-,-,-,-,-,-,-,-
guri1247,-,-,-,-,m,-,-,-,i,-,-,l,-,-,-,a,-,-,-,r,-,-,-,a,-,-,-,-,N,-,-,-,-,-
ngar1235,-,-,-,-,m,-,-,-,i,-,-,l,-,-,-,a,-,-,-,r,-,-,-,a,-,-,-,-,N,-,-,-,-,-
mudb1240,-,-,-,-,b,a,n,k,i,-,-,l,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
jaru1254,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,a,-,-,-,m,-,-,-,a,-,-,-,-,N,g,i,-,-,r
adny1235,-,-,-,-,w,-,-,-,a,-,d,l,-,-,-,a,-,-,-,t,-,-,-,a,-,-,-,-,-,-,-,-,-,-
naru1238,-,-,-,-,w,-,-,-,i,-,-,n,-,-,-,-,-,-,-,d,-,-,-,a,-,-,-,-,-,-,-,-,-,-
dier1241,-,-,-,-,k,-,-,-,a,-,-,l,-,-,-,-,-,-,-,t,-,-,-,i,-,-,-,-,-,-,-,-,-,-
yand1253,-,-,-,-,w,-,-,-,i,n,d,r,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
dhuw1249,-,-,-,-,L,-,-,-,u,-,-,N,-,-,-,-,-,-,-,g,-,-,-,u,-,-,-,-,-,-,-,-,-,-
djam1256,-,-,-,-,g,-,-,-,a,-,-,-,-,-,-,-,-,-,-,r,-,-,-,a,-,-,-,-,-,-,-,-,-,-
gupa1247,-,m,a,t,T,-,-,-,a,-,-,-,-,-,-,-,-,-,-,k,-,-,-,a,-,-,-,-,-,-,-,-,-,-
guma1253,-,-,-,-,L,-,-,-,u,-,-,N,-,-,-,-,-,-,-,g,-,-,-,u,-,-,-,-,-,-,-,-,-,-
dhan1270,-,-,-,-,g,-,-,-,a,-,-,-,-,-,-,-,-,-,-,n,-,-,-,a,-,-,-,-,-,-,-,-,-,-
dayi1244,-,-,-,-,d,-,-,-,a,-,-,-,-,-,-,-,-,-,-,r,-,-,p,u,-,-,-,-,m,-,-,-,-,-
rita1239,-,-,-,-,g,-,-,-,a,-,-,-,-,-,-,-,-,-,-,m,-,-,-,i,-,-,-,-,-,-,-,-,-,-
