language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
gami1243,-,-,-,b,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,a,-,-
gami1243,-,-,-,b,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,a,-,-
wira1262,-,-,-,b,-,-,-,-,-,-,-,u,-,-,-,-,-,-,d,-,-,a,-,-,-,-,-,n,-,a,-,-
wang1291,-,-,-,b,-,-,-,-,-,-,-,u,-,-,-,-,-,-,t,-,-,h,-,-,-,-,-,-,-,a,-,-
muru1266,-,-,-,p,-,-,-,-,-,-,-,a,-,-,-,-,-,-,t,-,-,i,-,-,-,-,-,-,-,-,-,-
kumb1268,-,-,-,N,-,-,-,-,-,-,-,u,-,-,-,-,-,-,r,u,-,b,-,-,-,-,-,-,-,a,-,-
darl1243,-,-,-,b,-,-,-,-,-,-,-,u,-,-,n,-,-,-,d,-,-,-,-,-,-,-,-,-,-,a,-,-
guny1241,-,-,-,4,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,a,-,-
marg1253,-,-,-,4,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,a,-,-
kung1258,-,-,-,b,a,-,d,-,-,y,-,u,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-
gugu1255,-,-,-,5,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,a,-,-
kuku1273,-,-,-,5,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,a,-,-
dyaa1242,-,-,-,5,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,a,l,-
yidi1250,-,-,-,5,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,g,-,a,-,-
dyir1250,-,-,-,5,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,a,-,-
warr1255,-,-,-,b,-,-,-,-,-,-,-,a,-,-,-,-,-,-,l,-,-,m,-,-,-,-,-,b,-,i,-,-
paka1251,-,-,-,4,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,t,-,-,-,-,a,N,-,a,-,-
kuku1280,-,-,-,4,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,a,-,-
wikm1247,-,-,-,4,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-
umpi1239,-,-,-,4,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,N,k,-,-,-,-,-,-,a,-,-
kuuk1238,-,-,-,n,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,N,k,-,-,-,a,n,-,a,-,-
kanj1260,-,-,-,4,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,N,k,-,-,-,-,-,-,a,-,-
gurd1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,k,-
ngaa1240,-,-,-,p,-,-,-,-,-,-,-,a,-,-,n,-,-,-,t,-,-,i,-,-,-,-,-,-,-,-,-,-
pint1251,-,-,-,p,-,-,-,-,-,-,-,a,-,-,n,-,-,-,t,-,-,i,-,-,-,-,-,-,-,-,-,-
pitj1243,-,-,-,p,-,-,-,-,-,-,-,a,-,-,n,-,-,-,t,-,-,i,-,-,-,-,-,-,-,-,-,-
pint1250,-,-,-,p,-,-,-,-,-,-,-,a,-,-,n,-,-,-,t,-,-,i,-,-,-,-,-,-,-,-,-,-
kuka1246,-,-,-,p,-,-,-,-,-,-,-,a,-,-,n,-,-,-,t,-,-,i,N,-,-,-,a,r,-,a,-,-
nyam1271,-,-,-,p,-,-,-,-,-,-,-,u,-,-,l,-,-,-,y,-,-,a,-,-,-,-,-,r,-,a,m,-
nyan1301,-,-,-,p,-,-,-,-,-,-,-,a,-,-,n,-,-,-,t,-,-,i,-,-,-,-,-,l,-,a,-,-
mart1256,-,-,-,p,-,-,-,-,-,-,-,a,-,-,n,-,-,-,t,-,-,i,-,-,-,-,-,n,-,u,-,-
wanm1242,-,-,-,p,-,-,-,-,-,-,-,a,-,-,n,-,-,-,t,-,-,i,-,-,-,-,-,l,-,a,-,-
kara1476,-,-,-,b,-,-,-,-,-,-,-,a,-,-,n,-,-,-,d,-,-,i,m,-,-,-,a,n,-,a,-,-
kara1476,-,-,-,b,-,-,-,-,-,-,-,a,-,-,n,-,-,-,d,-,-,i,m,-,-,-,a,n,-,a,-,-
nhan1238,-,-,-,-,-,-,-,-,-,-,-,a,-,-,n,-,-,-,d,-,-,i,-,-,-,-,-,-,-,-,-,-
waja1257,-,-,-,b,-,-,-,-,-,-,-,a,-,-,n,-,-,-,d,-,-,i,n,m,-,-,a,4,-,a,-,-
bayu1240,-,-,-,p,-,-,-,-,-,-,-,a,-,-,n,-,-,-,d,-,-,i,n,-,-,-,-,m,-,a,-,-
dhal1245,-,-,-,p,-,-,-,-,-,-,-,a,-,-,n,-,-,-,d,-,-,i,l,-,-,-,-,g,-,i,n,-
dhar1247,-,-,-,p,-,-,-,-,-,-,-,a,-,-,-,-,-,-,t,-,-,i,-,-,-,-,-,k,-,u,-,-
kurr1243,-,-,-,p,-,-,-,-,-,-,-,a,-,-,n,-,-,-,t,-,-,i,-,-,-,-,-,l,-,-,-,-
pany1241,-,-,-,b,-,-,-,-,-,-,-,a,-,-,n,-,-,-,d,-,-,i,-,-,-,-,-,-,-,-,-,-
ngar1287,-,-,-,b,-,-,-,-,-,-,-,u,-,-,n,-,-,-,d,-,7,i,l,-,-,-,-,g,-,o,-,-
yind1247,-,-,-,b,-,-,-,-,-,-,-,a,-,-,n,-,-,-,d,-,-,i,-,-,-,-,-,g,-,u,-,-
nyun1247,-,-,-,k,-,-,-,-,-,-,-,a,-,-,n,-,-,-,d,-,-,u,-,-,-,-,-,n,-,-,-,-
warl1255,N,a,-,p,i,-,-,-,-,5,-,a,-,-,N,-,-,-,k,-,-,a,-,-,-,-,-,-,-,-,-,-
warl1254,-,-,-,p,-,-,-,-,-,-,-,a,-,-,n,-,-,-,t,-,-,i,-,-,-,-,-,-,-,-,-,-
waru1265,-,-,-,p,-,-,-,-,-,-,-,a,-,-,n,-,-,-,t,-,-,a,-,-,-,-,-,-,-,-,-,-
guri1247,N,a,-,p,u,-,-,-,-,k,m,a,n,a,n,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
ngar1235,N,a,-,b,u,-,-,-,-,g,m,a,-,-,n,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
mudb1240,N,a,-,b,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
jaru1254,N,a,d,b,-,-,-,-,-,-,-,a,-,-,n,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
adny1235,-,-,-,t,-,-,-,-,-,-,-,a,-,-,w,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
naru1238,-,-,-,m,-,-,-,-,-,-,-,u,-,-,l,-,-,-,-,-,-,i,-,-,-,-,-,n,-,a,-,-
dier1241,-,-,-,p,-,-,-,-,-,-,-,a,-,-,n,i,m,a,t,e,r,i,-,-,-,-,-,n,t,a,-,-
yand1253,-,-,-,p,-,-,-,-,-,-,-,a,-,-,4,-,-,-,t,-,-,a,-,-,-,-,-,m,-,a,-,-
dhuw1249,-,-,-,4,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,a,-,-
