language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39
naru1238,-,-,d,-,-,-,-,-,-,i,-,-,n,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
adny1235,-,-,-,-,-,-,-,-,-,i,-,-,n,-,-,-,i,-,-,-,-,5,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
ngad1257,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,r,-,-,-,i,-,N,T,a,-,-,-,-,-,-,-,-,-
darl1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,i,-,-,-,-,r,-,g,-,i,-,g,-,i,-,-,-,-,-,-,-,-,-
kula1275,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,i,-,-,-,-,r,a,k,-,e,k,y,p,i,-,-,-,-,n,-,-,a,-
nhan1238,-,-,-,-,-,-,-,-,-,i,-,-,n,d,a,T,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
badi1246,-,-,b,-,-,-,-,-,-,i,-,-,m,-,-,b,i,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
waja1257,-,-,b,-,-,-,-,-,-,i,-,-,m,-,-,b,i,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kurr1243,-,-,5,-,-,-,-,-,-,i,-,-,m,-,-,-,i,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
yind1247,-,-,t,-,-,-,-,-,-,a,-,-,m,-,-,p,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
pany1241,-,-,5,-,-,-,-,-,-,i,-,-,m,-,i,l,i,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
ngar1287,-,-,t,-,-,-,-,-,-,a,-,-,m,-,-,p,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kari1304,-,-,t,-,-,-,-,-,-,a,-,-,m,-,-,p,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bayu1240,-,-,m,-,-,-,-,-,-,i,-,-,-,-,-,L,i,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
dhal1245,-,-,p,-,-,-,-,-,-,a,-,-,N,-,-,g,u,-,-,-,-,r,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
djiw1241,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,i,-,-,-,-,m,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
wari1262,-,-,p,-,-,-,-,-,-,i,-,-,n,-,-,k,i,-,-,-,-,d,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
dhar1247,-,-,p,-,-,-,-,-,-,i,-,-,t,-,-,g,i,-,-,-,-,d,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
