language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
dhan1270,-,-,-,m,-,-,-,-,a,n,-,-,t,-,-,-,-,T,-,-,a,r,-,-
dayi1244,-,-,-,m,-,-,-,-,a,n,-,-,t,-,-,-,-,T,-,-,a,r,-,-
rita1239,-,-,-,m,-,-,-,-,a,n,-,-,T,-,-,-,-,-,-,-,a,r,-,7
waga1260,-,-,-,w,-,-,-,-,e,-,-,-,l,-,-,-,-,-,-,-,i,r,k,u
warl1256,-,-,-,w,-,-,-,-,i,-,-,-,L,-,-,-,-,w,-,-,i,L,-,i
yany1243,-,-,-,5,-,-,-,-,a,-,-,-,5,-,-,-,-,-,-,-,a,l,-,u
kala1377,-,l,u,p,-,-,-,-,a,-,-,-,d,-,-,-,-,-,-,-,i,-,-,-
alya1239,-,-,-,-,-,-,-,-,a,y,-,-,l,-,-,-,-,p,-,-,a,-,-,-
ande1247,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,y,-,-,a,r,-,k
west2441,i,l,-,p,-,-,-,-,a,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-
