language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26
kumb1268,-,-,m,i,l,-,-,-,-,g,a,-,-,-,-,-,-,-,-,d,u,n,d,a,-,-
kuku1273,-,-,T,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,T,-,-,-,i,-,-
dyaa1242,-,-,b,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,d,-,-,-,a,-,-
yidi1250,d,i,b,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-
pitj1243,-,-,w,i,l,t,T,a,t,T,a,n,a,t,T,u,l,p,i,t,T,a,r,a,-,-
nyun1247,-,-,m,o,l,-,-,-,-,y,a,-,-,-,-,-,r,-,e,t,T,-,-,-,-,-
warl1254,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,u,d,-,-,-,i,-,-
guri1247,-,-,-,-,-,-,-,-,-,k,a,n,-,-,-,-,t,-,a,t,-,-,-,a,-,-
dier1241,-,-,p,u,-,-,-,-,-,N,a,N,-,-,-,-,-,-,a,l,-,-,p,a,-,-
djin1253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,T,a,L,k
kala1377,-,-,b,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-
