language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51
gami1243,-,-,-,-,-,-,-,-,b,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-
gami1243,-,-,-,-,-,-,-,-,b,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,u,-,-,4,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
wira1262,-,-,-,-,-,-,-,-,b,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,u,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
wang1291,-,-,-,-,-,-,-,-,b,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,u,-,-,n,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-
muru1266,-,-,-,-,-,-,-,-,p,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
kumb1268,-,-,-,-,-,-,-,-,w,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
darl1243,-,-,-,-,-,-,-,-,b,u,g,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
guny1241,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
marg1253,-,-,-,-,-,-,-,-,g,-,-,-,-,u,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
bidy1243,-,-,-,-,-,-,-,-,k,-,-,-,-,u,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
maya1280,-,-,-,-,-,-,-,-,m,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
gugu1255,-,-,-,-,-,-,-,-,b,-,-,-,-,i,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
kuku1273,-,-,-,-,-,-,-,-,w,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,y,-
dyaa1242,-,-,-,-,-,-,-,-,w,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,y,-
yidi1250,-,-,-,-,-,-,-,-,w,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
dyir1250,-,-,-,-,-,-,-,-,b,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,a,p,-,-,-,-,-,i,n
warr1255,-,-,-,-,-,-,-,-,b,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
paka1251,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,a,-,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
kuku1280,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-
