language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35
kumb1268,-,-,-,d,-,-,-,-,-,-,u,-,l,u,l,b,i,m,b,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
kuku1273,-,-,-,d,-,-,-,-,-,-,a,-,l,-,-,-,-,-,k,-,-,-,-,-,i,-,l,-,-,-,-,-,-,-,-
dyaa1242,-,-,-,b,-,-,-,-,-,-,a,-,-,-,-,-,-,-,g,-,-,-,-,-,a,-,l,-,-,-,-,-,-,-,-
yidi1250,-,-,-,b,-,-,-,-,-,-,a,-,-,-,-,-,-,-,g,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
dyir1250,-,-,-,m,-,-,-,-,-,-,i,-,n,-,-,-,-,-,b,-,-,-,-,-,a,-,l,-,-,-,-,-,-,-,-
warr1255,-,-,-,b,-,-,-,-,-,-,u,-,n,-,-,-,-,-,d,-,-,-,-,y,a,-,-,-,-,-,-,-,-,-,-
wikm1247,-,-,-,p,-,-,-,-,-,-,u,-,N,-,-,-,-,-,-,-,-,-,-,-,a,-,N,-,-,-,-,-,-,-,-
gurd1238,-,-,-,m,e,l,k,e,r,x,i,-,N,k,d,-,i,-,x,-,-,-,-,-,a,-,l,k,-,-,-,-,-,-,-
pitj1243,-,-,-,p,a,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,i,-,-,-,-
nyam1271,-,-,-,p,a,y,-,-,-,-,i,-,5,-,-,-,-,-,T,-,-,-,-,-,a,-,l,-,-,-,a,-,-,-,-
nyan1301,r,u,-,w,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mart1256,T,u,-,t,a,m,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,u,-,-,-,-
kara1476,-,-,-,w,-,-,-,-,-,-,i,-,r,-,-,-,-,-,-,-,-,-,-,-,a,-,n,T,-,-,a,-,-,-,-
kara1476,-,-,-,w,-,-,-,-,-,-,i,-,r,-,-,-,-,-,-,-,-,-,-,-,a,-,n,T,-,-,a,-,-,-,-
nhan1238,-,-,-,w,-,-,-,-,-,-,u,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,a,-,-,-,-
bayu1240,-,-,-,p,-,-,-,-,-,-,a,-,t,-,-,-,-,-,-,-,-,-,-,-,a,-,n,m,-,-,a,-,-,-,-
ngar1287,-,-,-,m,-,-,-,-,-,-,i,n,d,-,-,-,-,-,-,-,-,-,-,-,i,l,y,-,-,g,a,-,-,-,-
yind1247,-,-,-,m,-,-,-,-,-,-,i,n,d,-,-,-,-,-,-,-,-,-,-,-,i,-,5,m,a,g,u,-,-,-,-
warl1255,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
warl1254,-,-,-,l,-,-,-,-,-,-,u,-,-,-,-,-,-,-,w,-,-,-,-,-,a,-,n,-,-,-,i,-,-,-,-
waru1265,w,u,-,r,-,-,-,-,-,-,u,-,n,-,-,T,-,-,T,-,-,-,-,-,a,-,n,-,-,-,-,-,-,-,-
guri1247,-,-,-,t,-,-,-,-,-,-,u,-,L,-,-,w,a,-,k,-,-,p,a,n,a,-,n,-,-,-,a,-,-,-,-
mudb1240,-,-,-,d,-,-,-,-,-,-,u,-,l,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
jaru1254,-,-,-,d,-,-,-,-,-,-,i,-,l,-,-,-,-,-,g,u,r,b,u,N,a,-,n,-,-,-,-,-,-,-,-
yand1253,-,-,-,d,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,a,-,5,-,-,-,i,-,-,-,-
dhuw1249,-,-,-,d,-,-,-,-,-,-,u,-,-,-,-,-,-,-,k,-,-,-,-,-,i,-,t,T,-,-,-,-,-,-,-
djam1256,-,-,-,d,-,-,-,-,-,-,u,-,-,-,-,-,-,-,k,-,-,-,-,-,i,-,t,T,-,-,-,-,-,-,-
gupa1247,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,L,t,T,a,w,u,n,u,m,a
dhan1270,-,-,-,d,-,-,-,-,-,-,u,-,-,-,-,-,-,-,k,-,-,-,-,-,i,-,t,T,-,-,-,-,-,-,-
rita1239,-,-,-,g,-,-,-,-,-,-,u,-,r,-,-,-,-,-,w,-,-,-,-,-,a,-,r,y,-,-,u,n,-,-,-
djin1253,b,a,n,d,-,-,-,-,-,-,i,-,-,-,-,-,-,-,r,-,-,-,-,-,i,-,-,T,i,g,i,-,-,-,-
waga1260,-,-,-,t,-,-,-,-,-,-,u,-,r,u,-,-,-,-,k,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,-
kala1377,-,-,-,g,-,-,-,-,-,-,a,-,g,a,-,-,i,-,p,-,-,-,-,-,a,-,l,-,a,-,i,-,-,-,-
