language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37
gami1243,-,-,-,-,-,-,-,-,-,-,-,g,-,-,i,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,u,w,i,-,-,-,-
gami1243,-,-,-,-,-,-,-,-,-,-,-,g,-,-,i,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,u,w,i,-,-,-,-
wira1262,-,-,-,-,-,-,-,-,-,-,-,d,-,-,i,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,a,-,-,r,-
wang1291,-,-,-,-,-,-,-,-,-,-,-,d,-,-,i,-,-,-,-,-,g,-,a,-,d,-,-,-,-,-,u,n,a,-,-,-,-
muru1266,-,-,-,-,-,-,-,-,-,-,-,k,-,-,i,-,-,N,-,-,k,-,-,-,-,-,-,-,-,-,u,r,u,-,-,-,-
darl1243,-,-,-,-,-,-,-,-,-,-,-,d,-,-,i,-,-,n,-,-,d,-,-,-,-,-,-,-,-,-,i,l,a,-,-,-,-
guny1241,-,-,-,-,-,-,-,-,-,-,-,n,-,-,i,-,-,m,-,-,b,-,-,-,-,-,-,-,-,-,u,d,a,-,-,5,-
marg1253,-,-,-,-,-,-,-,-,-,-,-,n,-,-,i,-,-,m,-,-,b,-,-,-,-,-,-,-,-,-,u,d,a,-,-,5,-
dyaa1242,-,-,-,-,-,-,-,-,-,-,-,T,-,-,i,-,-,N,a,-,T,-,-,-,-,-,-,-,-,-,a,r,a,y,i,y,-
yidi1250,-,-,-,-,-,-,-,-,-,-,-,d,-,y,i,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,y,-
dyir1250,-,-,-,-,-,-,-,-,-,-,-,k,-,-,i,-,-,N,a,r,T,-,-,-,-,-,-,-,-,-,e,b,a,-,-,h,-
wikm1247,-,-,-,a,-,-,-,-,-,-,-,T,-,-,i,-,-,y,-,-,t,-,-,-,-,-,-,-,-,-,a,w,a,-,-,N,-
umpi1239,-,-,-,-,-,-,-,-,-,-,-,T,-,-,i,-,-,5,-,-,q,-,-,-,-,-,-,-,-,-,a,k,a,-,-,-,-
ngaa1240,-,-,5,u,-,-,r,-,-,t,-,T,-,-,i,-,-,-,-,-,p,-,u,N,k,-,-,-,-,-,u,l,a,-,-,-,-
pint1251,-,-,5,u,-,-,r,-,-,t,-,T,-,-,i,-,-,-,-,-,p,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kuka1246,-,-,m,u,-,-,l,y,-,t,-,T,-,-,i,-,-,-,-,-,-,-,-,n,t,-,-,-,-,-,a,r,a,-,-,-,-
