language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
gami1243,d,-,-,-,-,u,-,r,-,-,-,a,-,-,-,-
gami1243,d,-,-,-,-,u,-,r,-,-,-,a,-,-,-,-
wira1262,g,a,w,i,y,i,-,r,-,-,-,-,-,-,-,-
darl1243,g,-,-,-,-,u,n,T,-,-,-,i,-,-,-,-
gugu1255,b,-,-,-,-,a,-,y,-,-,-,a,-,n,-,-
kuku1280,p,-,-,-,-,u,-,r,-,-,-,a,-,4,T,i
kara1476,-,-,-,-,-,-,-,r,o,m,b,a,n,T,-,-
bayu1240,p,-,-,-,-,a,-,r,-,-,-,a,-,d,-,a
dhal1245,p,-,-,-,-,a,-,r,-,-,-,a,-,d,-,a
ngar1287,m,-,-,-,-,-,-,-,-,-,-,i,-,d,-,u
nyun1247,t,-,-,-,-,o,-,L,-,-,-,o,i,t,-,-
ngar1235,m,-,-,-,-,-,-,-,-,-,-,a,-,r,-,u
dier1241,p,-,-,-,-,u,-,N,-,-,-,a,-,-,-,-
djin1253,g,-,-,-,-,i,-,L,-,-,k,a,-,L,-,-
