language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42
gami1243,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,r,-,-,i,-,-,-,-,-,r,-,-,-
gami1243,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,r,-,-,i,-,-,-,-,-,r,-,-,-
wira1262,-,-,-,g,-,-,-,u,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,N,-,g,u,n,-,-,a,-,N,-,-,-
wang1291,-,-,-,g,-,-,-,u,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,i,N,-,g,u,n,-,-,a,-,-,-,-,-
muru1266,-,-,-,k,-,-,-,u,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,k,u,n,-,-,a,-,n,-,-,-
kumb1268,-,-,-,d,-,-,-,u,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
darl1243,-,-,-,b,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,d,i,-,-,-,-,-,-,-,-,-
kung1258,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-
gugu1255,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,r,-,g,-,-,-,-,a,-,-,-,-,-
dyaa1242,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,r,-,g,-,-,-,-,a,-,-,-,-,-
yidi1250,-,-,-,m,a,r,g,a,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,r,-,g,-,-,-,-,a,-,-,-,-,-
kuku1280,-,-,-,k,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,a,w,u,-,-,-,-,-,-,-,-,-
wikm1247,p,i,p,T,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,T,o,-,-,-,-,-,r,-,-,-
pitj1243,-,-,-,-,-,-,-,u,n,-,t,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,u,-,-,-,-,-
pint1250,-,-,-,k,-,-,-,a,n,-,t,-,-,-,-,a,-,-,-,-,-,-,w,-,-,a,-,-,-,r,-,-,-,-,-,-,a,-,-,-,-,-
kuka1246,-,-,-,g,-,-,-,a,n,-,d,-,-,-,-,a,-,-,-,-,-,-,w,-,-,a,-,-,-,r,-,-,-,-,-,-,a,-,-,-,-,-
nyam1271,-,-,-,k,-,-,-,a,n,-,t,-,-,-,-,a,-,-,-,-,-,-,w,-,-,a,-,-,-,r,-,-,-,-,-,-,a,-,-,-,-,-
nyan1301,-,-,-,T,-,-,-,u,N,-,k,-,-,-,-,a,r,T,u,-,-,N,k,-,-,a,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-
mart1256,-,-,-,k,-,-,-,a,n,-,t,-,-,-,-,a,-,-,-,-,-,-,w,-,-,a,-,-,-,r,-,-,-,-,-,-,a,-,-,-,-,-
wanm1242,-,-,-,k,-,-,-,a,n,-,t,-,-,-,-,a,-,-,-,-,-,-,w,-,-,a,-,-,-,r,-,-,-,-,-,-,a,-,-,-,-,-
kara1476,-,-,-,b,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,a,-,-,-,g,-,-,o,n,-,-,a,-,-,-,-,-
kara1476,-,-,-,k,-,-,-,a,n,-,t,-,-,-,-,a,-,-,-,-,-,-,w,-,-,a,-,-,-,r,-,-,-,-,-,-,a,-,-,-,-,-
bayu1240,-,-,-,T,-,-,-,i,k,a,T,-,-,-,-,i,-,-,-,-,-,-,k,-,-,a,-,-,-,r,-,-,-,-,-,-,a,-,-,-,-,-
