language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
gami1243,-,-,-,-,b,u,n,d,-,-,a,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-
gami1243,-,-,-,-,N,u,-,l,-,-,a,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,o,-
wira1262,-,-,-,-,m,o,n,d,-,-,o,-,-,-,b,-,-,i,-,-,-,l,-,-,-,-,-,b,i,-
wang1291,-,-,-,-,m,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,u,3
muru1266,-,-,-,-,k,u,-,l,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kumb1268,-,-,-,-,T,i,-,r,i,w,a,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-
darl1243,-,-,-,-,d,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,d,a,-
bidy1243,-,-,-,-,m,-,-,-,-,-,a,d,-,-,y,-,-,u,-,-,m,b,-,-,-,-,-,-,a,-
maya1280,-,-,-,-,m,-,-,-,-,-,a,-,-,-,y,-,-,u,-,-,-,p,-,-,-,-,-,-,i,-
gugu1255,-,-,-,-,k,-,-,-,-,-,a,-,-,-,N,-,-,o,-,-,-,r,-,-,-,-,-,-,o,-
kuku1273,-,-,-,-,T,u,-,l,m,b,a,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,u,-
dyaa1242,-,-,-,-,b,-,-,-,-,-,a,-,-,-,n,-,-,d,-,-,-,T,-,-,-,-,-,-,i,l
yidi1250,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,i,-
dyir1250,-,-,-,-,y,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,i,-
warr1255,-,-,-,-,b,u,-,l,N,g,a,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,i,-
paka1251,m,i,-,-,4,-,-,-,-,-,a,-,-,-,k,-,-,u,-,-,-,T,-,-,-,-,-,-,a,-
kuku1280,k,e,k,a,T,-,-,-,-,-,a,-,-,-,w,-,-,a,-,-,-,r,-,-,-,-,-,-,a,-
