language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34
gami1243,-,-,-,-,-,-,-,d,-,-,u,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
gami1243,-,-,-,-,-,-,-,d,-,-,u,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
wira1262,-,-,-,-,-,-,-,d,-,-,u,-,-,n,-,-,-,-,-,-,b,-,-,-,-,-,-,-,a,-,-,-,y,n
wang1291,-,-,-,-,-,-,-,t,-,-,u,-,-,n,-,-,-,-,-,-,p,-,-,-,-,-,-,-,a,-,-,-,y,-
muru1266,-,-,m,u,-,-,-,k,-,-,i,-,-,n,-,-,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-
darl1243,-,-,k,a,-,-,n,t,i,k,u,-,-,n,-,-,-,-,-,-,t,-,-,a,-,-,r,-,a,-,-,-,-,-
gugu1255,d,i,n,-,-,-,-,-,-,-,a,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,d,-,a,-,-,-,r,-
dyaa1242,-,-,m,a,-,-,-,r,-,-,a,-,-,N,-,-,-,-,-,-,g,-,-,i,-,-,l,-,a,-,-,-,y,-
yidi1250,d,u,m,-,-,-,-,b,-,-,u,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
dyir1250,-,-,m,a,-,-,-,l,-,-,a,y,-,i,-,-,-,-,-,-,g,-,-,a,-,-,r,-,a,-,-,-,-,-
paka1251,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-
kuku1280,-,-,y,u,-,-,-,k,u,k,u,-,-,n,-,-,-,-,-,-,T,-,-,-,-,-,-,-,i,-,-,-,-,-
wikm1247,-,-,-,-,-,-,-,t,-,-,a,-,-,l,-,-,-,-,-,-,m,-,-,-,-,-,-,-,a,7,p,u,y,-
umpi1239,-,-,-,-,-,-,-,w,-,-,a,-,-,N,-,-,i,-,-,-,T,-,-,-,-,-,-,-,i,-,-,-,-,-
kuuk1238,-,-,-,-,-,-,-,w,-,-,a,-,-,N,-,-,i,-,-,-,T,-,-,-,-,-,-,-,i,-,-,-,-,-
gurd1238,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,m,-
ngaa1240,-,-,-,-,-,-,-,w,-,-,a,-,-,n,-,-,a,-,-,-,t,-,-,a,n,-,p,-,a,-,-,-,-,-
pint1251,-,-,-,-,-,-,-,p,-,-,i,-,-,t,-,-,i,-,-,-,t,-,T,a,L,i,L,-,i,-,-,-,-,-
pint1250,-,-,-,-,-,-,-,w,-,-,a,-,-,n,-,-,a,-,-,-,t,-,T,-,-,i,t,-,i,-,-,-,-,-
kuka1246,-,-,-,-,-,-,-,k,-,-,a,-,-,n,-,-,a,-,-,-,t,a,k,a,n,a,t,-,a,-,-,-,-,-
nyam1271,-,-,-,-,-,-,-,T,-,-,i,-,-,T,-,-,i,-,-,-,p,-,-,a,-,-,T,-,i,-,-,-,-,-
nyan1301,-,-,-,-,-,-,-,m,-,-,i,-,-,n,-,-,i,-,-,-,p,-,-,a,-,-,r,-,i,-,-,-,-,-
mart1256,-,-,-,-,-,-,-,k,-,-,a,-,-,n,-,-,-,-,-,-,p,-,-,-,-,-,-,-,a,-,-,-,-,-
wanm1242,-,-,-,-,-,-,-,T,-,-,i,-,-,5,-,-,-,-,-,-,T,-,-,a,T,a,r,-,a,-,-,-,-,-
kara1476,-,-,-,-,-,-,-,b,i,d,i,-,-,n,-,-,-,-,-,-,T,-,-,-,-,-,-,-,a,-,-,-,-,-
waja1257,-,-,-,-,-,-,-,g,-,-,a,-,-,n,-,-,-,-,-,-,b,-,-,-,-,-,-,-,a,-,-,-,-,-
bayu1240,-,-,-,-,-,-,-,k,-,-,a,-,-,n,-,-,-,-,-,-,b,-,-,-,-,-,-,-,a,-,-,-,-,-
dhal1245,-,-,-,-,-,-,-,k,-,-,a,-,-,n,-,-,a,-,-,-,r,-,-,-,-,-,-,-,a,-,-,-,-,-
dhar1247,-,-,-,-,-,-,-,k,-,-,a,-,-,t,-,-,-,-,-,-,b,-,-,-,-,-,-,-,a,-,-,-,-,-
kurr1243,-,-,-,-,-,-,-,y,-,-,a,-,-,n,-,-,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-
pany1241,-,-,-,-,-,-,-,y,-,-,a,-,-,n,-,-,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-
ngar1287,-,-,-,-,-,-,-,g,-,-,a,L,a,n,-,-,-,-,-,-,T,-,-,-,-,-,-,-,a,-,-,-,-,-
yind1247,-,-,-,-,-,-,-,g,-,-,a,L,a,5,-,-,-,-,-,-,T,-,-,-,-,-,-,-,a,-,-,-,-,-
nyun1247,-,-,-,-,-,-,-,w,-,-,a,-,-,n,-,-,e,-,-,-,y,-,-,-,-,-,-,-,a,-,-,-,d,-
warl1254,-,-,-,-,-,-,-,k,-,-,a,-,-,n,-,-,a,-,-,-,p,-,-,a,-,-,L,k,u,-,-,-,-,-
waru1265,-,-,-,-,-,-,-,m,-,-,u,-,-,n,-,-,-,-,-,-,t,-,-,a,-,-,L,-,a,-,-,-,-,-
guri1247,-,-,-,-,-,-,-,N,a,r,a,-,-,n,-,-,a,N,k,u,p,-,-,a,-,-,y,-,a,-,-,-,w,u
ngar1235,-,-,-,-,-,-,-,m,-,-,u,-,-,n,-,-,-,-,-,-,d,-,-,a,-,-,L,-,a,-,-,-,-,-
mudb1240,-,-,-,-,-,-,-,m,-,-,u,-,-,n,-,-,-,-,-,-,d,-,-,u,-,-,L,-,a,-,-,-,-,-
jaru1254,-,-,-,-,-,-,-,-,i,r,i,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,d,-,i,-,-,-,-,-
adny1235,-,-,-,-,-,-,-,-,-,-,a,-,-,n,-,-,a,-,-,-,l,-,-,a,-,-,l,-,a,-,-,-,-,-
naru1238,-,-,-,-,-,-,-,g,-,-,a,-,-,n,-,-,i,-,-,-,w,-,-,a,-,-,d,-,a,-,-,-,-,-
dier1241,-,-,-,-,-,-,-,k,-,-,a,d,-,n,-,-,i,-,-,-,n,-,-,i,n,-,t,-,i,-,-,-,-,-
dhuw1249,-,-,-,-,-,-,-,b,u,t,u,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
djam1256,-,-,-,-,-,-,-,b,u,t,u,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
gupa1247,-,-,-,-,-,-,-,b,u,t,u,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
guma1253,-,-,-,-,-,-,-,b,u,t,u,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
dhan1270,-,-,-,-,-,-,-,b,u,t,u,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
rita1239,-,-,N,a,r,a,m,b,a,l,i,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
waga1260,-,-,-,-,-,-,-,k,-,-,e,-,-,k,e,r,i,-,-,-,T,-,-,-,-,-,-,-,i,-,-,-,r,-
kala1377,-,-,-,-,-,-,-,d,-,-,i,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,i,-,-,-,-,-
alya1239,-,-,-,-,-,-,-,-,-,-,a,t,-,n,-,-,e,-,-,-,t,-,-,-,-,-,-,-,a,-,k,e,t,-
