language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28
gami1243,-,-,g,-,-,u,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-
gami1243,-,-,g,-,-,a,-,-,-,-,-,l,-,-,-,-,-,i,-,-,-,-,y,-,-,-,a,y
wira1262,-,-,k,-,-,a,-,-,-,-,-,l,-,-,-,-,-,i,-,-,a,-,n,-,-,-,a,-
wang1291,-,-,w,-,-,a,-,-,-,-,-,l,-,k,a,k,-,i,-,-,-,-,r,-,-,-,i,-
muru1266,-,-,p,-,-,a,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-
kumb1268,-,-,w,-,-,a,n,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-
darl1243,-,-,b,-,-,i,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-
guny1241,-,-,w,-,-,a,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-
marg1253,-,-,w,-,-,a,n,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-
gugu1255,-,-,m,-,-,a,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-
kuku1273,-,-,d,-,-,a,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,l
dyaa1242,-,-,m,-,-,a,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-
yidi1250,-,-,m,-,-,a,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-
dyir1250,-,-,b,-,-,i,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,y
paka1251,-,-,k,-,-,a,n,i,m,a,-,t,-,-,-,-,-,-,-,-,a,-,n,-,-,-,a,-
kuku1280,-,-,m,-,-,a,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-
wikm1247,-,-,w,-,-,a,r,-,m,a,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,N
umpi1239,-,-,p,-,-,i,y,i,N,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-
kuuk1238,-,-,p,-,-,i,-,-,N,-,-,k,-,-,-,-,-,-,-,-,a,-,n,-,-,-,a,-
