language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
gami1243,-,-,t,-,-,a,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-
gami1243,-,-,t,-,-,a,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-
wang1291,k,o,t,-,-,i,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-
muru1266,-,-,p,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kumb1268,-,-,d,-,-,u,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-
darl1243,-,-,m,-,-,u,-,-,d,-,d,-,-,-,-,-,-,i,-,-,-
guny1241,-,-,N,-,-,a,-,-,n,-,m,-,-,-,-,-,-,u,-,-,-
marg1253,-,-,N,-,-,a,-,-,n,-,m,-,-,-,-,-,-,u,-,-,-
gugu1255,-,-,b,-,-,a,-,-,r,-,-,-,-,-,-,-,-,i,-,-,-
dyaa1242,-,-,T,-,-,a,-,-,n,-,g,-,-,-,-,-,-,u,n,-,-
yidi1250,-,-,d,-,y,a,-,-,N,-,-,-,-,-,-,-,-,u,n,-,-
warr1255,-,-,N,-,-,a,-,-,N,-,-,-,-,-,-,-,-,u,l,-,-
paka1251,-,-,t,e,p,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kuku1280,-,-,t,e,p,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
wikm1247,-,-,N,e,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
umpi1239,-,-,-,-,k,a,-,-,t,-,-,-,-,-,-,-,-,u,-,-,-
kuuk1238,-,-,-,-,k,a,-,-,t,-,-,-,-,-,-,-,-,u,-,-,-
gurd1238,-,-,l,-,b,a,-,-,r,-,-,-,-,-,-,-,-,x,-,-,-
ngaa1240,-,-,k,-,-,a,-,-,n,t,T,-,-,-,-,-,-,a,-,-,-
pint1251,-,-,k,-,-,a,-,-,n,t,T,-,-,-,-,-,-,a,-,-,-
pint1250,-,-,N,-,-,u,-,-,-,t,-,-,-,-,-,-,-,u,-,-,-
kuka1246,-,-,k,-,-,a,-,-,n,t,T,-,-,-,-,-,-,a,-,-,-
nyam1271,-,-,N,-,-,a,-,-,n,-,N,-,-,-,-,-,-,a,5,p,a
nyan1301,-,-,N,-,-,a,-,-,n,-,N,-,-,-,-,-,-,a,5,-,-
wanm1242,-,-,N,-,-,a,-,-,n,-,N,-,-,-,-,-,-,a,5,-,-
kara1476,-,-,t,-,-,a,-,-,N,-,k,-,-,-,-,-,-,u,-,-,-
waja1257,-,-,N,-,-,a,-,-,n,-,N,-,-,-,-,-,-,a,n,-,-
bayu1240,-,-,5,-,-,i,-,-,5,-,-,-,-,-,-,-,-,a,n,-,-
dhal1245,-,-,5,-,-,i,-,-,5,-,-,-,-,-,-,-,-,a,n,-,-
dhar1247,-,-,5,-,-,i,-,-,5,-,-,-,-,-,-,-,-,a,n,-,-
kurr1243,-,-,N,-,-,a,-,-,n,-,g,-,-,-,-,-,-,a,n,-,-
pany1241,-,-,N,-,-,a,-,-,n,-,N,-,-,-,-,-,-,a,n,p,a
ngar1287,-,-,N,-,-,a,-,-,n,-,N,-,-,-,-,-,-,a,n,-,-
nyun1247,-,-,g,-,n,a,-,-,N,-,-,-,-,-,-,-,-,u,r,-,-
warl1255,-,-,T,a,5,a,-,-,n,-,k,-,-,-,-,-,-,a,-,-,-
warl1254,-,-,T,a,N,a,-,-,n,-,k,-,-,-,-,-,-,a,-,-,-
waru1265,-,-,T,a,5,a,-,-,n,-,k,-,-,-,-,-,-,a,-,-,-
guri1247,-,-,T,-,-,i,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-
jaru1254,-,-,N,-,-,a,-,-,n,-,g,-,-,-,-,-,-,a,-,-,-
walm1241,-,-,T,a,N,a,-,-,n,-,k,-,-,-,-,-,-,a,-,-,-
adny1235,w,a,k,-,-,a,-,-,t,-,-,-,-,-,-,-,-,a,-,-,-
naru1238,-,-,w,-,-,a,-,-,n,-,-,-,-,-,-,-,-,u,-,-,-
dier1241,-,-,N,-,-,a,-,-,n,-,k,a,t,T,a,-,t,a,-,-,-
yand1253,-,-,N,-,-,a,-,-,n,-,g,a,-,m,u,d,r,a,-,-,-
dhuw1249,-,-,d,-,-,a,-,-,-,-,k,-,-,-,-,-,-,a,l,-,-
djam1256,-,-,d,-,-,a,-,-,-,-,k,-,-,-,-,-,-,a,l,-,-
gupa1247,-,-,d,-,-,a,m,u,n,u,m,-,-,-,-,-,-,u,n,-,-
guma1253,-,-,d,-,-,a,m,u,n,u,m,-,-,-,-,-,-,u,n,-,-
dhan1270,-,-,d,-,-,a,m,u,n,u,m,-,-,-,-,-,-,u,n,-,-
dayi1244,-,-,d,-,-,a,m,u,n,u,m,-,-,-,-,-,-,u,n,-,-
rita1239,-,-,d,-,-,a,m,-,-,-,-,-,-,-,-,-,-,u,n,-,-
yann1237,-,-,d,-,-,a,m,a,n,u,m,-,-,-,-,-,-,u,n,-,-
djin1253,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,u,r,-,i
waga1260,-,-,N,-,-,a,m,-,p,-,-,-,-,-,-,-,-,i,-,-,-
warl1256,-,-,t,-,-,a,w,u,l,-,-,-,-,-,-,-,-,u,-,-,-
kala1377,-,-,-,-,-,i,-,-,-,-,b,-,-,-,-,-,-,u,-,-,-
alya1239,-,a,r,-,-,w,-,e,t,-,-,-,-,-,-,-,-,-,-,-,-
west2441,-,-,r,-,-,u,-,-,t,-,n,-,-,-,-,-,-,a,-,-,-
