language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34
mudb1240,-,-,w,-,a,-,L,a,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
jaru1254,-,-,g,-,u,n,T,a,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
adny1235,-,-,w,-,i,-,-,-,-,-,L,-,-,-,-,-,-,-,-,-,-,-,-,k,a,-,-,-,-,-,-,-,-,-
naru1238,-,-,k,-,a,-,d,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
dier1241,k,i,4,t,a,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
yand1253,-,-,p,-,a,-,n,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
dhuw1249,-,-,w,-,a,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
djam1256,-,-,w,-,a,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
gupa1247,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,N,g,a,n,-,-,-,-,-
guma1253,-,-,w,-,a,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
dhan1270,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,N,g,a,n,-,-,-,-,-
rita1239,-,-,w,-,a,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
yann1237,-,-,b,-,o,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,T,i,-,-,-,-,-,-,-,-,-
djin1253,-,-,b,-,u,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,T,i,-,-,-,y,-,-,-,-,-
waga1260,-,-,w,-,e,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
warl1256,-,-,w,-,a,-,-,-,-,-,r,-,-,-,-,-,-,-,-,a,w,u,-,L,a,-,-,-,-,-,-,-,-,-
yany1243,-,-,w,-,a,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,u,-,k,u,-,-,-,-,-,-,-,-,-
kala1377,-,-,-,-,u,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,i,-,-,-,-,-,-,-,-,-
alya1239,-,-,-,-,a,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,e,N,k,-,-,-,-,-,-,-
ande1247,-,-,-,-,a,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,e,N,k,-,-,-,-,-,-,-
west2441,k,N,w,-,e,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,y,e,-,-,-,-,-,-,-,-,-
