language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44
gami1243,-,-,-,-,b,i,-,-,-,-,-,-,-,g,i,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,l,-,-,-,-,a,-,-,-
gami1243,-,-,-,-,b,i,-,-,-,-,-,-,-,g,i,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,l,-,-,-,-,a,-,-,-
wira1262,-,-,-,-,-,-,-,-,-,-,-,-,-,g,a,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-
wang1291,-,-,-,-,t,i,-,-,-,-,-,-,-,k,a,-,r,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,l,-,-,-,-,a,-,-,-
muru1266,-,-,-,-,k,a,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,r,-,-,-,-,a,-,-,-
kumb1268,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,T,-,-,-,-,a,y,-,-
darl1243,-,-,-,-,y,a,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,l,-,-,-,-,i,-,-,-
guny1241,-,-,-,-,b,a,-,-,-,-,-,-,-,d,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,d,-,-,-,-,a,-,-,-
marg1253,-,-,-,-,b,a,-,-,-,-,-,-,-,d,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,d,-,-,-,-,a,-,-,-
kung1258,-,-,-,-,b,a,-,-,-,-,-,-,-,r,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,r,-,-,-,-,a,-,-,-
