language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46
wira1262,-,-,-,-,-,-,-,g,i,a,l,d,u,-,N,i,-,-,a,-,-,-,-,-,-,-,y,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
wang1291,-,-,-,-,-,-,-,k,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,a,-,-,-,-,-,n,-,-,-,-,-,-,-
muru1266,-,-,-,-,-,-,-,y,-,-,-,-,u,-,r,i,-,-,n,-,-,-,-,-,-,-,T,-,-,p,-,-,a,-,-,-,-,-,k,-,-,-,-,i,-,-
kumb1268,-,-,-,-,-,-,-,d,i,-,-,m,i,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
darl1243,-,-,-,-,-,-,-,b,-,-,-,-,a,L,d,a,w,a,N,-,-,-,-,-,-,-,g,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
gugu1255,-,-,-,-,-,-,-,m,-,-,-,-,u,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,n,-,-,-,-,-,-,-
kuku1273,-,-,-,-,-,-,-,m,-,-,-,-,u,-,r,u,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,d,-,-,-,a,y,-,-,-,-,-,-,-
dyaa1242,-,-,-,-,-,-,-,g,-,-,-,-,i,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,5,-,-,-,T,i,-,-
yidi1250,-,-,-,-,-,-,-,g,-,-,-,-,i,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,5,-,-,-,-,-,-,-
wikm1247,-,-,-,-,-,-,-,N,-,-,-,-,u,-,l,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,7,-,-,-,-,-,-,-
umpi1239,-,-,-,-,-,-,-,y,-,-,-,-,a,-,-,-,-,-,n,-,-,-,-,-,-,-,t,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
kuuk1238,-,-,-,-,-,-,-,y,-,-,-,-,a,-,-,-,-,-,n,-,-,-,-,-,-,-,t,-,-,-,-,-,a,n,-,-,-,-,k,-,u,-,p,i,-,-
gurd1238,-,-,-,-,-,-,-,y,-,-,-,-,e,-,d,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,y,-,-,-,-,-,-,-
ngaa1240,-,-,-,-,-,-,-,k,-,-,-,-,u,-,-,-,-,-,n,-,-,-,-,-,-,-,t,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
pint1251,5,-,-,-,-,a,-,k,-,-,-,-,u,-,-,-,-,-,l,-,-,-,-,a,w,a,t,-,-,-,-,-,a,r,k,-,-,u,r,-,-,-,-,i,-,-
pitj1243,p,i,w,i,y,a,-,r,-,-,-,-,i,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,5,-,-,-,-,i,-,-
pint1250,-,-,-,-,-,-,-,k,-,a,n,-,u,-,-,-,-,-,5,-,-,-,-,-,-,-,p,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
kuka1246,-,-,-,-,-,-,-,g,-,-,-,-,u,-,-,-,-,-,n,-,-,-,-,-,-,-,d,-,-,-,-,-,a,-,-,-,-,-,r,-,-,-,-,-,-,-
nyam1271,-,-,-,-,-,-,-,k,-,-,-,-,u,-,-,-,-,-,n,-,-,-,-,-,-,-,t,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
